Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
56933.430656675	57417.5352369288	57821.7914065809	58164.409070592	60581.5266121746	72339.4573567801
56973.619523661	57236.3364568305	57832.0288148246	58198.8342069383	60572.4448087744	72182.6784564392
56954.4185036963	57485.7305725362	57747.2930716406	58210.7305732834	60566.7969350998	72327.8493560744
56939.2158192376	57440.9181833687	57599.4529868046	58164.6295025753	60543.1608961096	72289.3081674923
56845.9222359017	57318.764183345	NaN	58096.0512394729	60378.0904270778	72142.9235248124
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.4444444445	40107.8333333334	40107.8368055556	40107.4444444445	40107.9305555556	40107.6215277779
40107.8159722222	40108.1458333334	40108.3125	40107.8472222222	40108.2604166667	40107.9479166667
40108.2881944445	40108.5	40108.8263888889	40108.2708333334	40108.5416666666	40108.3090277779
40108.8125	40108.8055555555	40109.1736111111	40108.7916666666	40108.8263888889	40108.8159722222
40109.1215277778	40109.1458333334	NaN	40109.1145833334	40109.1493055555	40109.1527777778
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
