Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
209.146772658536	207.227783279649	209.227705484524	206.661185665474	208.521519347506	197.970224098235
194.051781976687	193.707753415331	192.880861681651	192.806225720313	191.913267683942	183.105052165801
198.167877204464	197.114960003527	196.319105176695	197.416939016508	195.292679268404	186.939429142292
193.095848256573	197.02063375539	195.801119477863	192.725034867934	194.51689570134	186.348102120855
NaN	192.818545739963	190.840877451144	NaN	189.743168178825	181.889624315823
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.3715277779	40107.5138888889	40107.4722222222	40107.5104166667	40107.4895833334	40107.4340277779
40108.0451388889	40108.0069444445	40107.9548611111	40108.0555555556	40107.9756944445	40107.9756944445
40108.4652777778	40108.4444444445	40108.4201388889	40108.46875	40108.4305555555	40108.4305555555
40109.0520833334	40108.5972222222	40108.6145833334	40109.0520833334	40108.6006944445	40108.6076388889
NaN	40109.0555555555	40109.0451388889	NaN	40109.0451388889	40109.0555555555
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
