Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
192.108955408509	192.686244365927	192.861105678548	190.729948615326	191.11096284561	182.798563870563
192.333718796659	192.998662504363	191.695206737873	191.45825744916	190.164712033566	182.958744110793
187.223087843927	196.86826022633	195.510145928331	186.98836057037	194.423931067217	186.15469949529
189.47184493235	190.178012841032	188.229251153762	189.632388693089	185.616680743814	179.060293231581
NaN	190.240534142776	188.139859006305	NaN	185.752303354733	180.607430974766
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.8576388889	40107.8506944445	40107.9166666667	40107.8645833334	40107.8576388889	40107.8715277779
40108.2465277779	40108.1875	40108.1458333334	40108.2326388889	40108.1666666667	40108.0798611111
40108.8263888889	40108.53125	40108.5381944445	40108.8159722222	40108.5520833334	40108.5451388889
40109.2013888889	40108.8506944445	40108.8472222222	40109.1979166666	40108.8541666666	40108.8333333334
NaN	40109.1979166666	40109.1944444445	NaN	40109.1944444445	40109.1875
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
