Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
159.142339974517	160.056503754198	156.361414698155	157.253284364047	161.668930698104	153.333325858124
NaN	161.626123569735	NaN	163.169160566219	166.289693154073	154.871980655644
NaN	163.646255727885	NaN	168.401857288291	NaN	157.985105023662
NaN	NaN	NaN	170.462369810167	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.4201388889	40107.5972222222	40107.6111111111	40107.7291666667	40108.09375	40108.3125
NaN	40108.6111111111	NaN	40108.1319444445	40109.1388888889	40108.59375
NaN	40109.1354166666	NaN	40108.6076388889	NaN	40109.1319444445
NaN	NaN	NaN	40109.0972222222	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
