Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
154.936612304459	159.955445578496	151.911180354756	157.087641112746	154.535700699146	133.327199616175
NaN	157.302479902195	154.374789751516	163.056022752446	161.389824662161	153.285798233092
NaN	161.511164449103	NaN	166.833334248001	NaN	153.768011240448
NaN	162.355985101027	NaN	169.746571398006	NaN	157.520047672785
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.5763888889	40107.5555555556	40107.4861111111	40107.8125	40107.5104166667	40107.4722222222
NaN	40107.8055555556	40107.7395833334	40108.2118055556	40108.3402777779	40108.375
NaN	40108.7361111111	NaN	40108.7986111111	NaN	40108.7638888889
NaN	40109.3784722222	NaN	40109.2256944445	NaN	40109.2743055555
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
