Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
35.4316085048841	35.861641502095	36.081787334477	36.2904246917949	38.1001598650686	45.56198226756
35.5207424662169	35.8444130365062	36.1015165804431	36.3972474920527	38.1091082591538	45.6368089152735
35.5436214303116	35.7724540311655	36.1144196055857	36.3998892945697	38.1393091673231	45.6013751737793
35.5039981280945	35.8996635702654	36.0704459676349	36.3773421860187	38.0813407354028	45.6857419910016
NaN	35.8526574894747	NaN	NaN	NaN	45.6406295163005
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.4652777779	40107.4652777779	40107.4618055556	40107.4652777779	40107.4652777779	40107.46875
40107.7465277779	40107.7881944445	40107.75	40107.7673611111	40107.7361111111	40107.7152777779
40108.7465277778	40108.1423611111	40108.7916666666	40108.7395833334	40108.7777777778	40107.9479166667
40109.0972222222	40108.7673611111	40109.1180555555	40109.09375	40109.1111111111	40108.6979166666
NaN	40109.1076388889	NaN	NaN	NaN	40109.1076388889
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
