Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-66.8513694240346	-66.9439970985622	-68.6228547038184	-66.4505186140602	-66.9124811906876	-77.3944077178293
-66.1441530278626	-66.5690179143622	-67.734493230104	-65.3342367758756	-66.6351744698337	-76.5902958210667
-66.4474131083342	-66.766494410509	-67.2780337979666	-65.5683186220366	-67.1024925145316	-76.8088067979104
-66.7098664574834	-67.0348457051399	-66.5904970878548	-66.0139455931698	-67.0759752813391	-76.8657239168414
-66.8191279106317	-66.9950898447545	-66.6058841417914	-66.3797353082414	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.5694444445	40107.5763888889	40107.625	40107.5520833334	40107.8680555556	40107.8993055556
40107.8645833334	40107.8611111111	40107.8923611111	40107.8645833334	40108.25	40108.25
40108.25	40108.2395833334	40108.2534722222	40108.2430555556	40108.875	40108.8576388889
40108.8472222222	40108.875	40108.8923611111	40108.8333333334	40109.2048611111	40109.1840277778
40109.2083333334	40109.2048611111	40109.1805555555	40109.1979166666	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
