Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-66.9582848828278	-67.2112170521541	-72.1460689553565	-66.4970500444897	-67.9291998643447	-80.690496984984
-67.0360811256424	-67.1873301257155	-68.9833994698328	-66.5272863889306	-67.3900893447387	-77.6438646560652
-67.2961822456643	-67.329170474078	-68.2275549550427	-66.1169124282994	-67.769415237234	-77.7145892283624
-67.6260686274991	-67.8009007217778	-67.8385733761325	-66.8661823773643	-67.5681725680249	-77.2775314288931
-67.423412113588	-67.420251656275	-66.8481088014085	-66.7821743664293	NaN	-77.5441704752771
NaN	-67.5885114211007	-67.5468628552746	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.4930555556	40107.4791666667	40107.46875	40107.4826388889	40107.6319444445	40107.4930555556
40107.6770833334	40107.6909722222	40107.7152777779	40107.6423611111	40108.03125	40108.0138888889
40108.0555555556	40108.0451388889	40108.03125	40108.0451388889	40108.6180555555	40108.6354166666
40108.5972222222	40108.6006944445	40108.5555555555	40108.5902777778	40109.0520833334	40109.0381944445
40109.0520833334	40109.0520833334	40109.0520833334	40109.0555555555	NaN	40109.3541666666
NaN	40109.40625	40109.3958333334	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
