Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-1.28459488816588	0.455723631952424	-2.05327417399531	-2.13883594569779	-0.357235111820046	-0.459214647853514
-1.14945793654624	-4.13685233521392	-1.12277078397165	-0.332598709850572	-0.678702469100244	-5.43948253517738
-1.06677747084177	-7.38612034922699	-0.348896431190951	-0.735005773989542	-0.402744728977268	-1.31911210893304
-4.3852542702225	-2.00605701214226	-1.65806692415208	-0.994072758694529	-0.358450863393955	0.0247262674383819
-35.9739698065096	-1.60668527270172	-6.05321572854882	-4.80736002096091	-1.02414323086123	-1.07955922659312
NaN	-5.52618742304912	-31.8294697580204	-36.956752419268	-6.61272354328685	-6.62538398969627
NaN	-35.1987655583725	NaN	NaN	-36.1147140864414	-34.9901009745954
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.6909722222	40107.5138888889	40107.6770833334	40107.7361111111	40107.5381944445	40107.5659722222
40108.1493055556	40107.7361111111	40108.1840277779	40108.0694444445	40107.7638888889	40107.8645833334
40108.7083333334	40108.0625	40108.4479166666	40108.5590277778	40108.15625	40108.1944444445
40109.0520833334	40108.4097222222	40108.7222222222	40108.7118055555	40108.4618055555	40108.3923611111
40109.34375	40108.7083333334	40109.0763888889	40109.0451388889	40108.7569444445	40108.7083333334
NaN	40109.0625	40109.3472222222	40109.34375	40109.0659722222	40109.0729166666
NaN	40109.34375	NaN	NaN	40109.34375	40109.3472222222
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
