Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.00571927627203195	0.0364320267668461	0.00264103105826052	0.0597222696143263	0.036431140550917	0.0165294426765286
0.0586711792128938	0.0974515941994127	0.0960050965851167	0.150583537879896	0.113851301035481	0.100753710036713
0.157078233140084	0.0119855974035374	0.0207067738553519	0.132553511099587	0.00978602002672346	0.016044879315416
0.138639243110532	0.0648273610377714	0.0690016338888597	0.36954729807718	0.112253623765241	0.0758382812642537
0.413385375892119	0.344469589657166	0.394454361134194	NaN	0.452178853567005	0.337476900152609
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.5069444445	40107.90625	40107.9340277779	40107.9375	40107.9097222222	40107.9097222222
40107.9270833334	40108.3298611111	40108.3090277779	40108.3472222222	40108.3229166667	40108.3333333334
40108.3541666667	40108.5659722222	40108.5763888889	40108.8958333334	40108.5763888889	40108.5763888889
40108.9131944445	40108.9583333334	40108.9236111111	40109.3090277778	40108.9513888889	40108.9027777778
40109.3125	40109.3090277778	40109.3090277778	NaN	40109.3055555555	40109.3090277778
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
