Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.00922628591496277	-0.0115198143506348	-0.0215442617694208	-0.0238282720373206	-0.0160412459641748	0.0115805571048924
-0.0334775067573503	-0.0228062933517776	-0.0190350826872105	-0.0226844028774167	-0.0201692393896451	-0.0115439968093227
-0.0214134563962887	-0.0177844509254328	-0.0136944958639162	-0.0184287005038186	-0.0143347788328043	-0.0209986227194037
-0.0188287714990167	-0.0118790085396512	-0.00854695263534211	-0.0254123981503227	-0.0222223824973327	-0.0137092653180986
-0.0343330101840849	-0.0178662952535831	-0.026211931601992	NaN	NaN	-0.0228037264673731
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
40107.625	40107.6319444445	40107.6631944445	40107.9479166667	40107.9444444445	40107.6388888889
40107.9548611111	40107.9479166667	40107.9548611111	40108.3819444445	40108.375	40107.9513888889
40108.3715277779	40108.3680555556	40108.3506944445	40108.9548611111	40108.9722222222	40108.3541666667
40108.9548611111	40108.9722222222	40108.9756944445	40109.2881944445	40109.2881944445	40108.9513888889
40109.3055555555	40109.2847222222	40109.2743055555	NaN	NaN	40109.2638888889
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
