Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1
Sensor1	20244847.02	718021.9616	1043.999989	70800.00014	973658.6505	0.0354669	5.16E-05	0.003497186	0.048094147	1217.279594	213.7873985	8.204228301	166.1206518	28.11490375	1.399827341	190.7914038	8.164228302	155.1206518	27.89490375	579.3978281	205.9712968	8.194057361	157.1804809	27.97815161	332.9202381	4.87618597	0.009095556	2.862632619	0.049354961	0.011390831	0.604826298	-2.23E-07	6.65E-05	0.000523129	0.003701401	-5.37E-05	0.130999171
Sensor2	NaN	719320.9223	803.9999991	260849.999	974127.2826	0.035531062	3.97E-05	0.01288476	0.048117295	NaN	210.6618384	8.246097782	195.5714226	28.12082709	NaN	191.5610292	8.176097784	157.5714227	27.91082709	NaN	204.3147758	8.199089237	165.1782602	27.99159632	NaN	4.118287126	0.009936432	9.239119666	0.049168146	0.009995263	0.652883303	1.52E-06	0.002605866	0.006149105	0.049095646	-6.75E-05	0.208920319
Sensor3	NaN	780675.3783	2074.500001	88650.00006	974168.7687	0.038561683	0.000102471	0.004378892	0.048119345	NaN	213.5342257	8.309177446	171.0135158	28.12495025	NaN	192.8259171	8.209177446	154.0135158	27.90495025	NaN	205.6147641	8.248664626	156.6374474	27.99272803	NaN	4.331718504	0.01305467	3.158804052	0.052310596	0.009261918	0.506712687	1.83E-05	0.216868145	3.59E-05	1.43E-05	-7.37E-05	0.220268967
Sensor4	NaN	633366.6882	1143.000001	102150	973854.8175	0.031285328	5.65E-05	0.005045728	0.048103837	NaN	210.9473261	8.195694032	163.3436367	28.12377349	NaN	189.4095005	8.155694032	152.3436367	27.89377349	NaN	204.0159363	8.188343605	155.3009016	27.98377349	NaN	4.447833805	0.006616745	1.70391619	0.049775357	0.010470547	0.614217251	5.49E-06	0.076359974	-0.00239977	0.219848362	-5.08E-05	0.11543815
Sensor5	NaN	857847.3006	982.4999994	148500.0001	971892.5928	0.042373612	4.85E-05	0.0073352	0.048006912	NaN	212.1965244	8.225886076	181.4602673	28.0495429	NaN	190.4420135	8.195886076	155.4602672	27.8295429	NaN	205.0342886	8.214005734	159.8277886	27.92732068	NaN	4.788763562	0.005862156	5.243383834	0.052671904	0.011542682	0.643942427	2.69E-06	0.023400752	-0.000961278	0.003725243	-8.45E-05	0.28504878
Sensor6	NaN	664643.8352	2860.500004	212699.9965	1007647.819	0.032830272	0.000141295	0.010506377	0.049773052	NaN	202.1178237	8.569123481	153.6483427	29.07367297	NaN	181.127621	8.419123483	133.6483428	28.85367297	NaN	195.3653484	8.500747414	139.8534709	28.95469861	NaN	4.052887931	0.028736534	3.069703065	0.051534799	0.009036652	0.551018682	1.29E-05	0.022248818	-0.005560731	0.363706847	-5.66E-05	0.133553501
																																					
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2
	5465963.007	448969.425	1846.499985	362700	1257298.669	0.082139126	0.000337818	0.066356102	0.230023267	483.936096	204.3941741	8.214228301	166.1206518	27.96490375	1.135333329	185.3938242	8.184228301	162.1206518	27.79490375	120.6698296	195.3227218	8.205155454	163.186877	27.93934083	100.8106315	3.433084652	0.010792034	0.780332187	0.026448333	0.022242392	0.426586033	4.48E-05	0.175513564	0.002079626	0.072181203	8.30E-05	0.100041067
	NaN	546899.4349	1512	172199.9985	1257409.219	0.100055459	0.000276621	0.031504055	0.230043492	NaN	202.2654694	8.226097784	162.5714227	27.97082709	NaN	188.8962874	8.186097784	160.5714226	27.76082709	NaN	195.8146382	8.209607718	161.3992372	27.94172113	NaN	2.358592052	0.008884344	0.396006556	0.028694286	0.016944154	0.524501565	3.70E-05	0.176732619	-0.000879202	0.050094003	0.000113769	0.159761762
	NaN	528077.481	1065	352200	1257446.261	0.096611975	0.000194842	0.064435123	0.230050269	NaN	202.3964515	8.219177446	166.0135158	27.97495025	NaN	185.2880615	8.189177446	160.0135158	27.79495024	NaN	194.934351	8.212753605	161.8479528	27.94263237	NaN	2.574897762	0.007150233	0.941137351	0.028435745	0.014532602	0.323727376	3.32E-05	0.219149946	-2.12E-05	5.14E-06	0.000107626	0.145584526
	NaN	400774.2119	1434	631200	1257555.307	0.073321794	0.000262351	0.115478279	0.230070219	NaN	202.4614852	8.205694032	169.3436367	27.97377349	NaN	185.8802821	8.155694032	163.3436367	27.82377349	NaN	194.7394611	8.187415887	166.3701267	27.94509799	NaN	3.348731281	0.010878823	1.900691171	0.026246917	0.021364241	0.413644285	4.31E-05	0.159418475	0.003879625	0.042341777	8.74E-05	0.112648218
	NaN	589916.2658	1051.5	314250	1254648.43	0.107925404	0.000192372	0.057492156	0.229538405	NaN	201.6905027	8.225886076	165.4602673	27.9095429	NaN	185.2255936	8.185886076	160.4602672	27.7495429	NaN	193.5128921	8.209197334	162.4503335	27.88047005	NaN	2.78560681	0.009361044	0.990740799	0.027333764	0.019922757	0.519842637	3.39E-05	0.133530871	-0.00110306	0.012597693	8.96E-05	0.1091945
	NaN	408162.8535	1567.499999	912899.9955	1300285.784	0.074673548	0.000286775	0.1670154	0.237887776	NaN	192.8063072	8.509123481	157.6483427	28.93367297	NaN	178.4405464	8.419123483	152.6483427	28.66367297	NaN	185.3608786	8.453759244	153.9463559	28.89433522	NaN	2.751248262	0.021749324	0.814818604	0.03067396	0.017987709	0.434415009	6.58E-05	0.093059223	-0.000867415	0.011517149	0.000119326	0.153796537
																																					
	intPAR3	intDOXY3	intpH3	intORP3	intTC3	ratioDOXY_PAR3	ratiopH_PAR3	ratioORP_PAR3	ratioTC_PAR3	PARmax3	DOXYmax3	pHmax3	ORPmax3	TCmax3	PARmin3	DOXYmin3	pHmin3	ORPmin3	TCmin3	PARmean3	DOXYmean3	pHmean3	ORPmean3	TCmean3	PARstd3	DOXYstd3	pHstd3	ORPstd3	TCstd3	slopesDOXY_PAR3	rsqDOXY_PAR3	slopespH_PAR3	rsqpH_PAR3	slopesORP_PAR3	rsqORP_PAR3	slopesTC_PAR3	rsqTC_PAR3
	2878300.991	85152.92123	427.4999966	121800	292588.9894	0.029584439	0.000148525	0.042316631	0.101653368	787.796352	205.1956991	8.224228301	167.1206518	27.95490375	1.135333329	185.3938242	8.194228301	166.1206518	27.76490375	277.130439	193.55338	8.205061635	166.7039851	27.86407042	247.3274071	6.134096133	0.009373214	0.499999997	0.057786553	0.023418235	0.891562209	3.05E-05	0.648506527	0.00093338	0.213167803	-0.000117497	0.252898421
	NaN	110318.3718	332.9999999	54449.99965	292220.6844	0.038327601	0.000115693	0.01891741	0.101525409	NaN	205.3216485	8.216097784	163.5714226	27.96082709	NaN	183.6985573	8.196097784	161.5714226	27.70082709	NaN	194.2614722	8.207764451	162.7380893	27.82971598	NaN	5.226704142	0.006546537	0.654653669	0.074900993	0.018914444	0.801079819	1.69E-05	0.408446063	-0.002127049	0.645767735	-0.000114909	0.143972808
