Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
Sensor1	708428.1156	6457.500001	283499.9964	1015189.006	213.7873985	8.204228301	166.1206518	28.11490375	191.7168195	8.114228301	149.1206519	27.14490375	4.702464241	0.014449197	3.023370114	0.114612764	453078.2293	868.4999996	120150	1198537.871	0.001916888	0.265185993	2.645322139	196.594786	8.274228301	164.1206518	27.99490375	188.9714607	8.174228301	157.1206518	27.89490375	193.3481847	8.194506079	159.9262074	27.93802875	1.498201913	0.013687033	1.718992132	0.025294593	37.54808512	0.117666693	0.070284409	0.00650317	-8.056940627	0.018503548
Sensor2	752679.4349	20017.5	339449.9998	1015687.523	210.6618385	8.246097784	211.5714226	28.12082709	192.6320087	8.116097787	157.5714226	27.22082709	3.916656831	0.014269931	12.18334175	0.106402064	308150.3674	582	76800.00002	1198769.482	0.001888688	0.249228974	3.890209485	197.6202933	8.216097784	161.5714226	28.03082709	190.1024794	8.186097784	157.5714226	27.89082709	193.3305194	8.199674173	159.3630893	27.94357014	1.346359411	0.008313423	1.352929998	0.025820994	48.22007108	0.088653002	0.018824536	0.00035783	-0.969838279	0.000345957
Sensor3	818480.5944	20397	143549.9998	1015303.194	213.5342257	8.309177446	199.0135158	28.12495025	193.4295671	7.969177446	154.0135158	27.15495025	4.094339368	0.049862091	7.570004759	0.146848873	385226.1687	1648.5	133500	1198799.366	0.004279304	0.346549666	3.111936476	199.267197	8.229177446	163.0135158	28.05495025	188.8005936	8.199177446	155.0135158	27.88495025	192.8891586	8.217580224	158.1315713	27.94432525	1.700864893	0.007724558	1.799364797	0.029142014	92.08731922	0.174907065	-0.50010451	0.279911246	30.23865133	0.268425846
Sensor4	664687.0412	21127.5	172049.9988	1015392.478	210.9473261	8.195694032	163.3436367	28.12377349	190.3432284	8.155694032	150.3436367	27.14377349	4.275633145	0.007715648	1.841007982	0.116038134	472627.1704	860.9999996	180900	1198772.883	0.001821732	0.382754127	2.536402809	196.0061459	8.185694032	167.3436367	27.99377349	188.2515989	8.155694032	156.3436367	27.89377349	192.0473018	8.175832921	160.5728033	27.94349571	1.539924765	0.0082772	2.598328537	0.024350139	82.40962969	0.19621122	0.125238922	0.04465476	-17.44317602	0.076077289
Sensor5	819860.7482	13722	206249.9999	1013366.907	212.2725602	8.225886076	196.4602672	28.0495429	191.4498419	8.205886076	155.4602672	27.1695429	4.600886059	0.005740752	8.285896226	0.105799322	465195.6534	712.4999999	95549.99999	1196071.39	0.001531614	0.205397448	2.571114716	196.410443	8.215886076	164.4602672	27.9795429	187.4537497	8.185886076	158.4602672	27.8195429	191.289716	8.202552743	160.6963783	27.88086234	1.64052179	0.007385489	1.10931284	0.028536482	61.42102305	0.076459006	-0.373525326	0.063794638	16.69999001	0.084385782
Sensor6	699214.3521	43860	251249.9987	1050637.329	202.1178237	8.569123483	165.6483427	29.07367297	183.7889012	8.299123487	133.6483427	28.17367297	3.818399835	0.038446319	5.154101354	0.109322933	351279.5615	1609.500001	216600	1239649.57	0.004581821	0.616602911	3.528954446	187.2162684	8.519123483	153.6483427	28.98367297	180.0234481	8.419123483	143.6483427	28.84367297	183.2605611	8.456623483	148.6969538	28.89645075	1.482188958	0.021950357	3.530743817	0.027211794	22.04148995	0.106551098	-0.060959832	0.021086902	10.65991112	0.038301376
																																													
	intdayDOXY2	intdaypH2	intdayORP2	intdayTC2	maxdayDOXY2	maxdaypH2	maxdayORP2	maxdayTC2	mindayDOXY2	mindaypH2	mindayORP2	mindayTC2	meandayDOXY2	meandaypH2	meandayORP2	meandayTC2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_pH2	ratioDOXY_ORP2	ratioDOXY_TC2	DOXYmax2	pHmax2	ORPmax2	TCmax2	DOXYmin2	pHmin2	ORPmin2	TCmin2	DOXYmean2	pHmean2	ORPmean2	TCmean2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_pH2	rsqDOXY_pH2	slopesDOXY_ORP2	rsqDOXY_ORP2	slopesDOXY_TC2	rsqDOXY_TC2
	383089.0806	8335.5	612599.9956	1215451.813	204.3941741	8.214228301	166.1206518	27.96490375	186.7120217	8.184228301	162.1206518	27.87490375	3.36040829	0.010395123	0.769426413	0.023730099	317424.0804	1147.5	350700	1189197.4	0.003615038	1.104831113	3.746399448	196.2411825	8.214228301	166.1206518	27.96490375	182.7907384	8.184228301	164.1206518	27.69490375	190.2244897	8.201151378	165.351421	27.9152534	3.200149568	0.008576973	0.810948911	0.055403928	258.4147043	0.479691435	2.383834711	0.364920881	-2.01271084	0.001214237
	533841.9585	24538.5	167550	1215562.478	202.2654694	8.226097784	163.5714226	27.97082709	189.6200006	8.186097784	160.5714226	27.87082709	2.290103421	0.008516011	0.406663904	0.024858432	219570.354	786	221100	1189034.234	0.003579718	1.006966541	5.415276753	197.1832255	8.216097784	163.5714226	27.97082709	186.1442891	8.186097784	161.5714226	27.54082709	191.3043222	8.204559323	162.7602338	27.91145646	2.303668575	0.00807602	0.795684212	0.075816836	152.1083323	0.284354957	1.090074053	0.14175993	0.00775085	6.51E-08
