Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
52673.6174343368	52543.3098532348	52557.9109937192	52590.6017391875	52530.71391823	52572.2370953441
52626.1336549884	52513.849438064	52534.9526720839	52554.1561856276	52533.1212596056	52559.1849674714
52648.2588698096	52526.2511975841	52550.6180973572	52545.119762419	52523.9896583972	52564.0448044118
52675.8483968327	52590.8978367429	52567.0898936258	52526.0919335145	52535.1546102749	52600.7389797544
52704.8386831676	52598.9437627644	52564.127964295	52563.0583397799	52532.145480429	52537.1333648477
NaN	NaN	52550.3928440425	52554.8369070414	52525.3277309583	NaN
NaN	NaN	NaN	NaN	52679.5507257796	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.4583333333	39028.5763888889	39028.5555555555	39028.5	39028.59375	39028.6944444444
39028.96875	39028.8194444444	39028.8506944444	39028.8263888889	39028.7986111111	39029.0590277778
39029.3819444444	39029.1770833333	39029.1875	39029.125	39029.0347222221	39029.4444444444
39029.7256944445	39030	39029.7361111111	39029.4340277778	39029.28125	39029.8576388889
39030.3888888889	39030.2638888889	39030.0243055555	39029.8645833334	39029.6805555555	39030.1701388889
NaN	NaN	39030.3159722222	39030.2222222222	39029.9375	NaN
NaN	NaN	NaN	NaN	39030.3159722222	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
