Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
206.646799350513	188.809567409716	205.580814494638	188.38577603376	188.546895934076	187.432825876187
187.960900454845	188.98852713554	190.196474613395	188.492034244452	188.575242791175	187.165009619389
188.007232922201	190.120049839115	190.374966609206	187.92266441471	188.839218409812	187.39689367105
188.652446314829	184.225940795	191.002460718458	182.084739360997	183.350275274121	182.677889160368
183.662483844251	NaN	184.584908410762	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.4583333333	39028.9548611111	39028.4652777778	39028.9409722221	39028.9479166666	39028.9548611111
39028.9444444444	39029.2326388889	39028.9513888889	39029.2361111111	39029.2395833333	39029.2326388889
39029.2361111111	39029.8923611111	39029.2430555555	39029.8993055555	39029.8958333334	39029.8923611111
39029.8854166666	39030.1805555555	39029.9027777778	39030.1875	39030.1875	39030.1875
39030.1840277778	NaN	39030.1805555555	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
