Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
258.757806289606	255.41451803049	259.118711855127	256.633530391134	260.033964173698	252.758064422031
259.765526768862	258.344328509602	257.570878060344	256.168405442313	259.860181783318	261.708183332715
258.431441961028	261.653242570225	259.322450546161	263.798368505864	260.962126734061	263.408763991779
258.680294459344	263.056879431533	257.94937815266	NaN	NaN	264.789227081456
259.368029359764	NaN	NaN	NaN	NaN	NaN
262.54081534149	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.7291666666	39028.75	39028.7222222221	39028.7256944444	39029.4895833333	39028.8229166666
39029.1111111111	39029.2465277778	39029.125	39029.09375	39029.7083333334	39029.28125
39029.3576388889	39029.75	39029.5555555555	39030.2430555555	39030.4513888889	39029.8888888889
39029.78125	39030.2777777778	39029.9895833334	NaN	NaN	39030.2847222222
39029.9826388889	NaN	NaN	NaN	NaN	NaN
39030.3680555555	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
