Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
256.692620261403	252.793900024561	258.489875519996	252.324896718482	254.632704487797	252.589883186441
256.916729603565	254.390218703725	256.132629351183	253.75657081891	259.730395094931	260.464163095066
258.330965241716	257.075376618373	256.84469827317	254.58308537701	257.809186255516	260.597042078285
256.356650650542	260.678532120276	257.533146623221	263.349593281208	NaN	NaN
258.640141538089	NaN	257.325334016027	NaN	NaN	NaN
258.491289876013	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.5868055555	39028.5972222221	39028.6354166666	39028.6006944444	39028.9097222221	39028.8958333333
39028.90625	39028.8888888889	39028.9305555555	39028.8784722221	39029.6145833334	39029.5
39029.2881944444	39029.4201388889	39029.2777777778	39029.4513888889	39030.1354166666	39030.0763888889
39029.5659722222	39029.8888888889	39029.8541666666	39030.4097222222	NaN	NaN
39029.8333333334	NaN	39030.1666666666	NaN	NaN	NaN
39030.125	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
