Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-70.3086393559768	-69.6530862040804	-68.8929945168684	-69.5901464094152	-68.0940873196592	-68.509221519353
-68.2946493768398	-68.1950123243234	-68.4251395591688	-67.9661587856622	-68.2323734805667	-68.3700042862841
-68.1503309697755	-68.325126427147	-66.6067573122322	-68.161057423509	-67.6064503551291	-67.0924414230672
-67.3058705057641	-67.7002475328726	NaN	-67.7177162958539	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.5625	39028.5486111111	39028.9861111111	39028.5902777778	39028.9583333333	39028.9618055555
39028.9618055555	39028.96875	39029.2708333333	39028.9513888889	39029.2534722221	39029.2569444444
39029.2534722221	39029.2569444444	39030.1840277778	39029.2465277778	39030.1215277778	39030.1111111111
39030.1736111111	39030.1770833334	NaN	39030.1805555555	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
