Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-70.4125337035905	-69.7916275436812	-69.0576792288852	-69.6341984339576	-68.6679974421638	-70.6397695866407
-68.7687027466415	-68.5716564862766	-70.563196813276	-68.5416058052641	-70.7812219860825	-69.0445837279443
-70.8785265449652	-70.7230319617428	NaN	-70.9086821343121	NaN	-71.0517727287711
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.6493055555	39028.6493055555	39029.0972222221	39028.6527777778	39029.1145833333	39028.6354166666
39029.1041666666	39029.1284722221	39029.5763888889	39029.1145833333	39029.59375	39029.1041666666
39029.6006944445	39029.5972222222	NaN	39029.5833333334	NaN	39029.5902777778
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
