Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.985617817306775	-1.03984922500968	-1.15915931781637	-1.27678601441585	-0.261754395949538	-1.87800063140457
-0.517392824629496	-0.296258124835731	-0.168578192853602	-0.779345269904297	-0.368796667295101	-1.8799156585228
-5.25828299570276	-0.512809084124456	-0.548565845914709	-0.900872516845993	-0.0629230086778989	-1.34062560772873
-0.935843390579976	0.48009655016358	-0.358040246966993	-0.404969004586746	-0.582042823414668	-1.86361316635157
-9.30208345094434	-0.224474898517656	-0.367562182887923	-0.559106043154316	-0.473593019232794	-0.31991413605283
-5.92132925336773	-0.411298326107499	-0.163908322392672	-0.301527759213059	-1.30095082888874	NaN
-1.23166534441407	NaN	NaN	NaN	-1.11926494084764	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.5798611111	39028.6354166666	39028.6215277778	39028.6041666666	39028.6284722221	39028.7986111111
39028.7881944444	39028.8993055555	39028.8993055555	39028.90625	39028.8680555555	39029.1423611111
39029.0798611111	39029.2673611111	39029.3993055555	39029.2152777778	39029.0729166666	39029.5347222222
39029.4409722221	39029.7743055555	39029.7986111111	39029.4965277778	39029.3645833333	39029.9548611111
39029.8506944445	39030.0486111111	39030.1215277778	39029.9548611111	39029.7673611111	39030.2256944445
39030.0833333334	39030.3506944445	39030.3993055555	39030.3159722222	39030.0208333334	NaN
39030.4305555555	NaN	NaN	NaN	39030.375	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
