Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.0953199227786854	0.0955761102639201	0.071840971723617	0.106190849143246	0.207577237820345	0.222571482511057
0.114328516362718	0.0770783024473189	0.086215820595072	0.0999084837700366	0.103867640659814	0.0924383417668366
0.423136471396532	0.417915995930741	0.349924078354064	0.474402226102001	0.441648740661208	0.486976587543239
0.0673587246217267	0.0445624415554278	0.01711048838132	0.0441061253796704	0.0429324818262558	0.0517733281377559
0.482124508081483	0.461963555674458	0.403768632212461	0.548610257695572	0.477784889315615	0.536878592874757
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.53125	39028.5034722221	39028.5277777778	39028.5069444444	39028.4930555555	39028.4791666666
39029.0208333333	39029.03125	39029.03125	39029.0208333333	39029.0208333333	39029.0277777778
39029.375	39029.3819444444	39029.3888888889	39029.3784722221	39029.3819444444	39029.3784722221
39029.9305555555	39029.9305555555	39029.9270833334	39029.9375	39029.9340277778	39029.9305555555
39030.3229166666	39030.3125	39030.3159722222	39030.3229166666	39030.3194444445	39030.3194444445
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
