Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.0558958863328485	-0.0395238983232673	-0.689680532497334	-0.104425705234831	-0.0744866681144458	0.0181511394695519
-0.0464436269621729	-0.0401313039875504	-0.0801064849886188	-0.026205548000604	0.00101797770071244	-0.0125920239593995
-0.0560696035145725	-0.038537314347252	-0.025627453148104	0.0097643893874988	-0.0131978063365068	-0.0317512695004325
-0.00418214919307047	0.0125066290170253	-0.0386613188074421	-0.0151660582134241	-0.0246913748125053	-0.0883252396293415
-0.0339097594874147	-0.0386020944408756	-0.0187011621001716	NaN	-0.0359952882977836	-0.0340985928274335
-0.0255944992030095	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.8090277778	39028.8090277778	39028.4652777778	39028.7881944444	39028.7951388889	39028.65625
39029.1875	39029.3333333333	39028.8125	39029.3402777778	39029.1979166666	39028.8611111111
39029.4722222221	39029.8125	39029.2013888889	39029.8472222222	39029.5451388889	39029.3958333333
39029.8055555555	39030.0763888889	39029.7430555555	39030.3125	39029.7986111111	39030
39030.0555555555	39030.3715277778	39030.0729166666	NaN	39030.0451388889	39030.3576388889
39030.4270833334	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
