Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
0.036783169725993	0.0268167015351963	0.0336159926819306	0.0307442112557794	0.0357378603731604	0.0388356527509615
0.0221206457741374	0.0103194141096594	0.0201002498232157	0.0154562170789774	0.0169090843613873	0.0239906141988797
0.0473170548325044	0.0403364426194059	0.0471757852495216	0.0409440148905418	0.0399664971489813	0.0501423453388554
0.0283074169849726	0.0234025115916694	0.0262301332880526	0.0223307525473189	0.0293249632567125	0.0377458844471903
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.8263888889	39028.7986111111	39028.8194444444	39028.8125	39028.8263888889	39028.84375
39029.1805555555	39029.1944444444	39029.1909722221	39029.1840277778	39029.1840277778	39029.1840277778
39029.7222222222	39029.7256944445	39029.71875	39029.71875	39029.71875	39029.7152777778
39030.0208333334	39030.0729166666	39030.0555555555	39030.0069444445	39029.9930555555	39029.9895833334
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
