Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6
-0.006355976474822	-0.00732579322895788	0.0113308129509875	-0.00361708229954161	0.0028690919063763	-0.0203023102985895
-0.0180943773994215	-0.012684564629339	-0.00792556062270933	-0.0190383985025449	-0.0197103720352345	-0.0456897451760199
-0.0436667875018628	-0.0385175322559803	-0.0391038445844316	-0.0485726512617646	-0.0434969934218259	0.00908148866871272
0.00515857200210235	0.00135611894057774	0.00735309147120233	0.00701051985409151	0.00799399738518503	-0.0319338236372886
-0.0392980881467651	-0.0419749305591779	-0.0398148782019661	-0.0470140130548202	-0.0354621194414761	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
39028.6006944444	39028.59375	39028.5694444444	39028.6180555555	39028.6111111111	39029.03125
39029.0277777778	39029.0451388889	39029.0416666666	39029.03125	39029.03125	39029.375
39029.375	39029.4027777778	39029.3993055555	39029.375	39029.3784722221	39029.8611111111
39029.8819444445	39029.90625	39029.8958333334	39029.8784722222	39029.8645833334	39030.3645833334
39030.3402777778	39030.2986111111	39030.3125	39030.3402777778	39030.3576388889	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN
