Row	intPAR1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_PAR1	ratiopH_PAR1	ratioORP_PAR1	ratioTC_PAR1	PARmax1	DOXYmax1	pHmax1	ORPmax1	TCmax1	PARmin1	DOXYmin1	pHmin1	ORPmin1	TCmin1	PARmean1	DOXYmean1	pHmean1	ORPmean1	TCmean1	PARstd1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_PAR1	rsqDOXY_PAR1	slopespH_PAR1	rsqpH_PAR1	slopesORP_PAR1	rsqORP_PAR1	slopesTC_PAR1	rsqTC_PAR1																																				
Sensor1	6809816.787	551767.9919	1774.5	68549.99997	709869.3235	0.08102538	0.00026058	0.01006635	0.104242059	779.21	211.667286	8.030947957	263.7781475	26.08484701	1.6047	189.7197264	7.990947957	256.7781475	25.91484701	250.7381271	205.7939287	8.025730566	258.3216258	26.00169484	206.3851139	4.156763429	0.006708738	1.020806003	0.062193059	0.011447832	0.323067029	7.27E-06	0.050030636	0.00050968	0.01061857	-0.000223507	0.550115																																				
Sensor2	NaN	523975.5217	1033.5	59999.99994	709796.6222	0.076944144	0.000151766	0.00881081	0.104231383	NaN	214.0810674	8.028202533	265.0061009	26.07092023	NaN	188.8858768	7.998202533	253.0061009	25.91092023	NaN	204.9198242	8.01602862	255.2778401	25.9991811	NaN	4.377765903	0.005512441	2.551031938	0.059974513	0.016127671	0.578089399	7.46E-06	0.078056132	0.002813667	0.051816787	-0.000219421	0.57013559																																				
Sensor3	NaN	518806.3045	1929	152850	709845.6554	0.076185061	0.000283268	0.022445538	0.104238583	NaN	210.8686814	8.058069421	272.1408763	26.07908994	NaN	190.3019985	7.998069421	257.1408763	25.90908994	NaN	204.6269248	8.0386129	261.7604415	26.00093777	NaN	3.550086416	0.009061952	4.105323242	0.061464353	0.011417114	0.440546304	3.47E-05	0.623831312	0.013006378	0.427538016	-0.000224933	0.570449473																																				
Sensor4	NaN	663836.8332	1308	103049.9999	709920.014	0.097482334	0.000192076	0.015132566	0.104249503	NaN	214.0260441	8.027969588	274.9794787	26.08186864	NaN	189.4350645	7.987969588	254.9794786	25.90186865	NaN	205.7974709	8.015795675	257.8381743	26.00360778	NaN	4.931217502	0.006925996	4.73607043	0.061583655	0.017547308	0.539348435	1.86E-05	0.30557629	0.01157057	0.25423186	-0.000219415	0.540700903																																				
Sensor5	NaN	615924.5496	1867.5	74100.00087	709961.9666	0.090446567	0.000274236	0.01088135	0.104255663	NaN	214.3489801	8.036904696	267.0543539	26.0869768	NaN	190.4248325	7.996904696	257.0543538	25.8969768	NaN	205.9658995	8.025165565	259.7934843	26.00502028	NaN	4.534109206	0.007929455	2.904598726	0.06249816	0.014960067	0.463702928	2.65E-05	0.476406815	0.009654727	0.470613581	-0.000222068	0.537765947																																				
Sensor6	NaN	655083.898	2242.5	339149.9992	709922.43	0.096196993	0.000329304	0.049803102	0.104249858	NaN	214.2800827	8.036289055	261.9844703	26.08899011	NaN	188.5062063	7.996289055	236.9844704	25.90899011	NaN	206.8475417	8.028245577	249.4083834	26.00366402	NaN	4.869472223	0.006832233	3.748211864	0.064899772	0.01607698	0.464303412	9.34E-06	0.079617816	-0.014517508	0.638987921	-0.000234519	0.556196272																																				
																																																																									
	intPAR2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_PAR2	ratiopH_PAR2	ratioORP_PAR2	ratioTC_PAR2	PARmax2	DOXYmax2	pHmax2	ORPmax2	TCmax2	PARmin2	DOXYmin2	pHmin2	ORPmin2	TCmin2	PARmean2	DOXYmean2	pHmean2	ORPmean2	TCmean2	PARstd2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_PAR2	rsqDOXY_PAR2	slopespH_PAR2	rsqpH_PAR2	slopesORP_PAR2	rsqORP_PAR2	slopesTC_PAR2	rsqTC_PAR2																																				
	18711006.22	907529.3448	2542.5	85799.99998	1132068.845	0.048502434	0.000135883	0.004585536	0.060502831	1069.1	221.1641966	8.040947957	260.7781475	26.17484701	1.6968	185.6637185	7.980947957	255.7781475	25.89484701	427.2061749	206.3974569	8.019167135	257.7644489	26.02416208	298.5259428	9.404118586	0.015343647	1.132505925	0.064022168	0.02034677	0.417175595	3.26E-05	0.402277499	-0.002536333	0.446988015	3.34E-05	0.024320147																																				
	NaN	874388.7348	1764	258150	1131605.53	0.046731251	9.43E-05	0.013796693	0.060478069	NaN	218.5227999	8.038202533	265.0061009	26.15092023	NaN	185.7834685	7.978202533	256.0061009	25.91092023	NaN	205.7573063	8.018579245	258.9547311	26.0136942	NaN	8.519777357	0.01424037	2.157368648	0.052876012	0.019829811	0.482775034	2.84E-05	0.354262616	-0.003900237	0.291271146	1.76E-05	0.009916607																																				
	NaN	837880.9325	2079	102900	1131513.913	0.044780111	0.000111111	0.005499437	0.060473173	NaN	215.8808078	8.038069421	259.1408763	26.14908994	NaN	185.6879033	7.968069421	256.1408763	25.90908994	NaN	204.8334066	8.015637914	258.4970407	26.0115557	NaN	7.655826916	0.013432286	0.915308322	0.052424812	0.015885143	0.383673848	3.23E-05	0.515786542	0.001898458	0.383381526	1.13E-05	0.004136878																																				
	NaN	1109306.029	2322	96449.99998	1131889.786	0.059286284	0.000124098	0.00515472	0.060493261	NaN	220.9924723	8.047969587	262.9794786	26.16186864	NaN	181.5653607	7.977969588	253.9794786	25.90186864	NaN	206.9189334	8.021120273	256.2192047	26.02015632	NaN	9.463186664	0.015120364	2.068832068	0.05723948	0.023101642	0.531098445	3.47E-05	0.468894176	-0.003970729	0.328287403	3.37E-05	0.030924632																																				
	NaN	1002418.767	2740.5	108150.0015	1131967.991	0.05357375	0.000146465	0.005780021	0.060497441	NaN	220.3172086	8.036904696	261.0543539	26.1669768	NaN	183.5015716	7.976904696	258.0543539	25.8969768	NaN	206.4115546	8.019712915	259.5338059	26.0219083	NaN	9.269124345	0.014703654	0.735495872	0.058818793	0.021304568	0.470795401	3.18E-05	0.417758874	0.00097221	0.155712518	3.55E-05	0.032428604																																				
	NaN	1068574.737	3288	1069049.999	1132172.57	0.057109421	0.000175725	0.057134821	0.060508374	NaN	223.3225611	8.046289055	264.9844703	26.17899011	NaN	182.9541138	7.976289055	259.9844703	25.89899011	NaN	207.3698113	8.021631521	261.5700868	26.0265586	NaN	10.53705716	0.015275149	1.172029757	0.065582894	0.024565545	0.484371173	3.30E-05	0.415825973	-0.002940124	0.560813005	4.49E-05	0.04172708																																				
																																																																									
	intPAR3	intDOXY3	intpH3	intORP3	intTC3	ratioDOXY_PAR3	ratiopH_PAR3	ratioORP_PAR3	ratioTC_PAR3	PARmax3	DOXYmax3	pHmax3	ORPmax3	TCmax3	PARmin3	DOXYmin3	pHmin3	ORPmin3	TCmin3	PARmean3	DOXYmean3	pHmean3	ORPmean3	TCmean3	PARstd3	DOXYstd3	pHstd3	ORPstd3	TCstd3	slopesDOXY_PAR3	rsqDOXY_PAR3	slopespH_PAR3	rsqpH_PAR3	slopesORP_PAR3	rsqORP_PAR3	slopesTC_PAR3	rsqTC_PAR3																																				
	4314956.188	209905.8573	535.4999998	103800	405831.6134	0.048646116	0.000124103	0.024055864	0.094052314	605.35	209.4237525	8.020947957	262.7781475	26.06484701	2.4648	185.6637185	7.960947957	260.7781475	25.93484701	274.4070697	199.0203085	7.99528758	262.419657	26.01484701	177.174959	8.034446833	0.015380987	0.557961247	0.039613517	0.042243993	0.867805983	5.49E-05	0.399596499	0.001670402	0.281344667	0.00015139	0.458470658																																				
