Row	intdayDOXY1	intdaypH1	intdayORP1	intdayTC1	maxdayDOXY1	maxdaypH1	maxdayORP1	maxdayTC1	mindayDOXY1	mindaypH1	mindayORP1	mindayTC1	meandayDOXY1	meandaypH1	meandayORP1	meandayTC1	intDOXY1	intpH1	intORP1	intTC1	ratioDOXY_pH1	ratioDOXY_ORP1	ratioDOXY_TC1	DOXYmax1	pHmax1	ORPmax1	TCmax1	DOXYmin1	pHmin1	ORPmin1	TCmin1	DOXYmean1	pHmean1	ORPmean1	TCmean1	DOXYstd1	pHstd1	ORPstd1	TCstd1	slopesDOXY_pH1	rsqDOXY_pH1	slopesDOXY_ORP1	rsqDOXY_ORP1	slopesDOXY_TC1	rsqDOXY_TC1
Sensor1	624282.7296	1738.5	599550	686283.4612	211.667286	8.040947957	266.7781475	26.08484701	185.878382	7.990947957	256.7781475	25.90484701	3.832233975	0.006376028	1.714118505	0.063191628	388822.4914	2086.5	109650	1115547.937	0.005366202	0.282005291	2.869041687	200.5128708	8.020947957	260.7781475	26.08484701	181.7558275	7.970947957	255.7781475	25.92484701	190.520001	7.999697957	258.3406475	26.00394424	3.91903633	0.010436287	1.249999999	0.036887908	314.3830714	0.700893033	1.297681253	0.171315835	54.21162933	0.260372068
Sensor2	519998.5541	1017	145800	686202.294	214.0810675	8.028202533	266.0061009	26.07092023	186.4985271	7.988202533	253.0061009	25.90092023	4.1505401	0.005819028	3.19701246	0.061026083	418309.8904	1627.5	83699.99999	1115679.478	0.003890656	0.200090894	2.667112357	200.2140303	8.018202533	265.0061009	26.08092023	183.0603149	7.978202533	254.0061009	25.95092023	190.7568617	7.996258088	255.9852676	26.00696189	3.103514378	0.006822195	1.619240735	0.033704158	380.470522	0.699492046	0.284408346	0.022019122	47.21033445	0.262865506
Sensor3	557318.8452	1893	165000.0001	686255.9745	210.8686814	8.058069421	280.1408763	26.07908994	187.9316372	7.988069421	256.1408763	25.89908994	3.389503604	0.009238083	4.944224146	0.06281448	428797.6626	2502	84900.00003	1115720.959	0.00583492	0.197995482	2.601975374	201.4112271	8.028069421	259.1408763	26.07908994	184.3917802	7.988069421	255.1408763	25.94908994	192.2198993	8.006472199	257.1339319	26.00790939	3.218403986	0.009286669	0.904507188	0.032890931	274.1153198	0.625612589	2.856417952	0.64444586	46.57414111	0.226548359
Sensor4	747436.5377	1300.5	127650.0001	686327.8322	214.0260441	8.037969588	292.9794786	26.08186864	186.9871415	7.987969588	254.9794786	25.90186864	4.483006503	0.006610034	7.063823304	0.063372208	421483.4894	1537.5	54900.00001	1115600.165	0.00364783	0.130254213	2.646841912	199.9406531	8.017969588	260.9794786	26.08186864	181.8902563	7.967969588	253.9794786	25.95186864	190.5682944	7.99394181	255.2780898	26.00513253	3.471633949	0.008389091	1.031529932	0.032919267	341.8410267	0.682354894	1.545512208	0.210882575	48.56795365	0.212095798
Sensor5	694993.0468	1834.5	559950.0001	686363.6875	214.3489801	8.036904696	271.0543539	26.0869768	187.1148092	7.986904696	257.0543539	25.8969768	4.220836185	0.0078041	3.406304619	0.064424458	431380.6895	2133	96750.00001	1115622.805	0.004944589	0.224279858	2.586167697	200.1570121	8.016904696	260.0543539	26.0769768	181.1854663	7.966904696	254.0543539	25.9469768	190.918246	7.996765807	256.3251872	26.00565735	3.862677973	0.010443729	1.380274372	0.033973386	322.2560339	0.759165269	1.146749754	0.167915642	52.83837385	0.215973041
Sensor6	703734.634	2172	838050	686323.8389	214.2800827	8.036289055	260.9844703	26.08899011	184.9903255	7.996289055	235.9844703	25.89899011	4.489846522	0.006938001	4.211801845	0.066242736	436021.2456	2485.5	262650	1115578.676	0.00570041	0.602378904	2.558542013	199.0900225	8.026289055	263.9844703	26.08899011	179.5345617	7.976289055	249.9844703	25.93899011	189.7616736	8.004344611	256.1233592	26.00468455	4.09981625	0.01136045	3.680626108	0.036711934	305.5833292	0.717004063	-0.066371711	0.003550427	61.08033506	0.2991497
																																													
	intdayDOXY2	intdaypH2	intdayORP2	intdayTC2	maxdayDOXY2	maxdaypH2	maxdayORP2	maxdayTC2	mindayDOXY2	mindaypH2	mindayORP2	mindayTC2	meandayDOXY2	meandaypH2	meandayORP2	meandayTC2	intDOXY2	intpH2	intORP2	intTC2	ratioDOXY_pH2	ratioDOXY_ORP2	ratioDOXY_TC2	DOXYmax2	pHmax2	ORPmax2	TCmax2	DOXYmin2	pHmin2	ORPmin2	TCmin2	DOXYmean2	pHmean2	ORPmean2	TCmean2	DOXYstd2	pHstd2	ORPstd2	TCstd2	slopesDOXY_pH2	rsqDOXY_pH2	slopesDOXY_ORP2	rsqDOXY_ORP2	slopesDOXY_TC2	rsqDOXY_TC2
	1013911.371	2509.5	953250	1131813.845	221.1641966	8.040947957	260.7781475	26.17484701	184.4364249	7.980947957	255.7781475	25.89484701	9.98654644	0.016223085	1.064056107	0.064623469	309402.0599	1648.5	134850	1109817.983	0.005328019	0.435840667	3.58697671	200.800702	8.010947957	260.7781475	26.12484701	181.3941914	7.950947957	256.7781475	25.97484701	188.6923682	7.989689216	258.9529727	26.05197988	3.633087788	0.013731178	0.898470416	0.038375872	214.4394913	0.656860831	1.125303166	0.077445263	64.47433027	0.463808192
	858036.5687	1735.5	378600	1131371.53	218.5227999	8.038202533	265.0061009	26.15092023	186.106778	7.978202533	256.0061009	25.91092023	9.010222928	0.014950754	1.900006836	0.052309544	360453.1778	1537.5	321600	1109931.202	0.004265464	0.892210195	3.079265963	200.2140303	8.018202533	265.0061009	26.11092023	180.9432916	7.958202533	260.0061009	25.97092023	189.4410123	7.994356379	261.5725345	26.05462652	3.659010912	0.011501566	1.091319401	0.036049229	272.8732398	0.735713031	-0.190470605	0.003227247	76.07674431	0.561782746
