SDN	PRES300	PRES500	RAIN	WSPD
2013-10-18 0:00	300.3	502.32	NaN	NaN
2013-10-18 0:10	300.72	501.9	NaN	NaN
2013-10-18 0:20	300.72	501.9	NaN	NaN
2013-10-18 0:30	300.58	502.18	NaN	NaN
2013-10-18 0:40	300.72	502.18	NaN	NaN
2013-10-18 0:50	301.14	502.6	NaN	NaN
2013-10-18 1:00	300.3	501.9	NaN	NaN
2013-10-18 1:10	300.58	502.46	NaN	NaN
2013-10-18 1:20	299.88	501.48	NaN	NaN
2013-10-18 1:30	300.86	501.9	NaN	NaN
2013-10-18 1:40	300.3	501.48	NaN	NaN
2013-10-18 1:50	300.02	500.78	NaN	NaN
2013-10-18 2:00	300.16	501.48	NaN	NaN
2013-10-18 2:10	299.88	501.34	NaN	NaN
2013-10-18 2:20	300.44	501.2	NaN	NaN
2013-10-18 2:30	300.16	500.78	NaN	NaN
2013-10-18 2:40	300.16	500.64	NaN	NaN
2013-10-18 2:50	299.88	500.64	NaN	NaN
2013-10-18 3:00	300.02	500.08	NaN	NaN
2013-10-18 3:10	299.32	499.66	NaN	NaN
2013-10-18 3:20	299.74	500.64	NaN	NaN
2013-10-18 3:30	300.02	500.08	NaN	NaN
2013-10-18 3:40	299.32	500.08	NaN	NaN
2013-10-18 3:50	299.6	499.94	NaN	NaN
2013-10-18 4:00	300.02	501.06	NaN	NaN
2013-10-18 4:10	300.3	500.92	NaN	NaN
2013-10-18 4:20	300.16	501.06	NaN	NaN
2013-10-18 4:30	300.02	500.64	NaN	NaN
2013-10-18 4:40	299.6	500.36	NaN	NaN
2013-10-18 4:50	299.88	500.92	NaN	NaN
2013-10-18 5:00	300.86	501.76	NaN	NaN
2013-10-18 5:10	300.16	501.2	NaN	NaN
2013-10-18 5:20	300.16	500.92	NaN	NaN
2013-10-18 5:30	300.3	501.62	NaN	NaN
2013-10-18 5:40	299.88	501.2	NaN	NaN
2013-10-18 5:50	300.86	501.9	NaN	NaN
2013-10-18 6:00	300.58	501.62	NaN	NaN
2013-10-18 6:10	300.44	502.18	NaN	NaN
2013-10-18 6:20	300.72	502.46	NaN	NaN
2013-10-18 6:30	300.3	501.76	NaN	NaN
2013-10-18 6:40	301.14	502.04	NaN	NaN
2013-10-18 6:50	300.72	502.04	NaN	NaN
2013-10-18 7:00	301	502.18	NaN	NaN
2013-10-18 7:10	300.86	502.04	NaN	NaN
2013-10-18 7:20	301.14	502.6	NaN	NaN
2013-10-18 7:30	300.72	502.32	NaN	NaN
2013-10-18 7:40	301.28	502.6	NaN	NaN
2013-10-18 7:50	301.42	502.74	NaN	NaN
2013-10-18 8:00	301.14	502.74	NaN	NaN
2013-10-18 8:10	300.72	502.6	NaN	NaN
2013-10-18 8:20	301	502.46	NaN	NaN
2013-10-18 8:30	301.56	503.02	NaN	NaN
2013-10-18 8:40	301.28	502.88	NaN	NaN
2013-10-18 8:50	301.42	503.3	NaN	NaN
2013-10-18 9:00	301.42	503.16	NaN	NaN
2013-10-18 9:10	300.72	502.88	NaN	NaN
2013-10-18 9:20	301	503.16	NaN	NaN
2013-10-18 9:30	301.56	503.3	NaN	NaN
2013-10-18 9:40	301.56	502.88	NaN	NaN
