SDN	PRES300	PRES500	RAIN	WSPD
2010-10-24 00:00	289.71	481.48	NaN	6.7
2010-10-24 00:10	289.15	480.62	NaN	6.9
2010-10-24 00:20	289.19	480.7	NaN	6.7
2010-10-24 00:30	289.29	480.83	NaN	6.9
2010-10-24 00:40	289.08	480.77	NaN	7
2010-10-24 00:50	290.25	481.87	NaN	7.4
2010-10-24 01:00	289.96	481.43	NaN	7.2
2010-10-24 01:10	288.65	480.23	NaN	7.1
2010-10-24 01:20	287.97	479.29	NaN	7.3
2010-10-24 01:30	289.29	480.38	NaN	7.7
2010-10-24 01:40	289.17	480.68	NaN	7.8
2010-10-24 01:50	289.23	480.98	NaN	7.3
2010-10-24 02:00	288.47	479.78	NaN	7.9
2010-10-24 02:10	287.99	479.48	NaN	7.9
2010-10-24 02:20	288.12	479.48	NaN	8.4
2010-10-24 02:30	288.27	479.16	NaN	8.4
2010-10-24 02:40	288.47	479.11	NaN	8.7
2010-10-24 02:50	287.26	477.84	NaN	8.6
2010-10-24 03:00	287.1	477.84	NaN	7.7
2010-10-24 03:10	288.45	478.9	NaN	6.9
2010-10-24 03:20	288.55	478.92	NaN	7.3
2010-10-24 03:30	287.02	477.01	NaN	7.3
2010-10-24 03:40	287.71	477.8	NaN	7.7
2010-10-24 03:50	288.06	478.12	NaN	7.8
2010-10-24 04:00	287.13	477.05	NaN	7.2
2010-10-24 04:10	286.65	476.85	NaN	7.8
2010-10-24 04:20	286.84	476.94	NaN	6.9
2010-10-24 04:30	286.89	476.7	NaN	7.3
2010-10-24 04:40	286.91	477.07	NaN	6.9
2010-10-24 04:50	286.91	477.2	NaN	7.1
2010-10-24 05:00	287.41	478.29	NaN	7.5
2010-10-24 05:10	287.32	478.02	NaN	7.5
2010-10-24 05:20	287.43	478.06	NaN	6.9
2010-10-24 05:30	287.76	478.4	NaN	7.5
2010-10-24 05:40	288.27	479.03	NaN	7.5
2010-10-24 05:50	287.69	478.27	NaN	7.3
2010-10-24 06:00	288.45	479.03	NaN	6.9
2010-10-24 06:10	287.82	478.6	NaN	7.5
2010-10-24 06:20	287.71	478.32	NaN	6.5
2010-10-24 06:30	287.45	478.36	NaN	6.9
2010-10-24 06:40	287.99	479.07	NaN	6.9
2010-10-24 06:50	287.63	478.17	NaN	7.7
2010-10-24 07:00	287.32	478.16	NaN	8
2010-10-24 07:10	287.52	477.86	NaN	7.3
2010-10-24 07:20	286.57	477.18	NaN	7.1
2010-10-24 07:30	287.24	477.78	NaN	7.5
2010-10-24 07:40	287.17	477.67	NaN	7.5
2010-10-24 07:50	287.74	478.1	NaN	7.1
2010-10-24 08:00	286.8	477.48	NaN	6.6
2010-10-24 08:10	287.63	478.34	NaN	7.1
2010-10-24 08:20	287.82	478.77	NaN	6.4
2010-10-24 08:30	288	478.64	NaN	6.5
2010-10-24 08:40	286.37	476.73	NaN	6.5
2010-10-24 08:50	286.89	477.46	NaN	6.9
2010-10-24 09:00	287.05	477.69	NaN	6.7
2010-10-24 09:10	286.74	477.05	NaN	6.4
2010-10-24 09:20	286.07	476.17	NaN	6.6
2010-10-24 09:30	286.46	476.7	NaN	7.3
2010-10-24 09:40	286.39	476.64	NaN	6.9
2010-10-24 09:50	286.72	477.33	NaN	7.1
2010-10-24 10:00	287.2	477.78	NaN	7
2010-10-24 10:10	286.72	477.16	NaN	7.7
2010-10-24 10:20	286.87	477.57	NaN	6.9
2010-10-24 10:30	287.74	478.45	NaN	6.9
2010-10-24 10:40	287.74	478.62	NaN	7.3
2010-10-24 10:50	287.91	478.73	NaN	7.1
2010-10-24 11:00	288.41	479.44	NaN	6.6
2010-10-24 11:10	287.74	478.75	NaN	6.4
2010-10-24 11:20	288.45	480.12	NaN	6.3
2010-10-24 11:30	288.39	479.44	NaN	6.2
2010-10-24 11:40	288.56	480.45	NaN	5.8
2010-10-24 11:50	288.36	479.8	NaN	6.2
2010-10-24 12:00	288.73	479.95	NaN	6.5
2010-10-24 12:10	289.08	480.45	NaN	6.2
2010-10-24 12:20	288.95	480.19	NaN	6.4
2010-10-24 12:30	287.78	479.13	NaN	6.7
2010-10-24 12:40	288.22	479.07	NaN	6.6
2010-10-24 12:50	286.92	477.93	NaN	6.8
2010-10-24 13:00	288.07	478.83	NaN	6.2
2010-10-24 13:10	287.87	478.88	NaN	6
2010-10-24 13:20	288.82	479.87	NaN	6
2010-10-24 13:30	288.99	480.15	NaN	6.2
2010-10-24 13:40	288.86	479.97	NaN	6.2
2010-10-24 13:50	287.96	479.03	NaN	6
2010-10-24 14:00	289.21	480.32	NaN	6.2
2010-10-24 14:10	289.17	480.49	NaN	6.3
2010-10-24 14:20	288.5	479.65	NaN	5.8
2010-10-24 14:30	288.71	479.71	NaN	6.5
2010-10-24 14:40	288.09	479.31	NaN	6.2
2010-10-24 14:50	287.63	478.57	NaN	5.7
2010-10-24 15:00	287.82	478.86	NaN	6.2
2010-10-24 15:10	288.02	478.94	NaN	6.1
2010-10-24 15:20	288.11	479.31	NaN	6.1
2010-10-24 15:30	288.91	480.02	NaN	6.2
2010-10-24 15:40	288.99	480.32	NaN	6.7
2010-10-24 15:50	288.54	479.69	NaN	6.4
2010-10-24 16:00	287.93	479.39	NaN	6.5
2010-10-24 16:10	288.09	479.41	NaN	7
2010-10-24 16:20	289.58	480.85	NaN	6.6
2010-10-24 16:30	287.91	478.9	NaN	6.9
2010-10-24 16:40	289.32	480.38	NaN	6.9
2010-10-24 16:50	288.26	479.46	NaN	7.2
2010-10-24 17:00	288.69	479.8	NaN	6.4
2010-10-24 17:10	289.54	480.83	NaN	6.6
2010-10-24 17:20	288.99	480.42	NaN	6.6
2010-10-24 17:30	288.41	479.72	NaN	6.6
2010-10-24 17:40	289.49	480.83	NaN	6.4
2010-10-24 17:50	289.02	480.57	NaN	6.6
2010-10-24 18:00	288.06	479.35	NaN	7.4
2010-10-24 18:10	288.86	480.15	NaN	6.7
2010-10-24 18:20	288.78	480.25	NaN	6.8
2010-10-24 18:30	288.56	479.86	NaN	6.8
2010-10-24 18:40	288.21	479.41	NaN	6.2
2010-10-24 18:50	288.32	479.59	NaN	6.4
2010-10-24 19:00	288.73	480.1	NaN	6.2
2010-10-24 19:10	288.82	479.99	NaN	6.1
2010-10-24 19:20	287.65	478.58	NaN	6.4
2010-10-24 19:30	288.52	479.78	NaN	5.8
2010-10-24 19:40	288.95	480.28	NaN	5.2
2010-10-24 19:50	289.62	480.79	NaN	5.6
2010-10-24 20:00	288.76	479.91	NaN	5.8
2010-10-24 20:10	287.35	478.55	NaN	5.9
2010-10-24 20:20	288.02	479.13	NaN	5.3
2010-10-24 20:30	288.09	479.16	NaN	5.3
2010-10-24 20:40	288.35	479.48	NaN	5.5
2010-10-24 20:50	288	479.18	NaN	5.1
2010-10-24 21:00	288.73	479.93	NaN	4.9
2010-10-24 21:10	289.13	480.43	NaN	4.7
2010-10-24 21:20	288.47	479.84	NaN	4.9
2010-10-24 21:30	288.09	479.42	NaN	4.9
2010-10-24 21:40	288.58	479.82	NaN	4.8
2010-10-24 21:50	288.37	479.57	NaN	4.6
2010-10-24 22:00	288.19	479.41	NaN	4.9
2010-10-24 22:10	289.36	480.73	NaN	4.7
2010-10-24 22:20	288.74	480.17	NaN	4.7
2010-10-24 22:30	288.67	480	NaN	4.9
2010-10-24 22:40	288.24	479.82	NaN	5
2010-10-24 22:50	289.67	481.56	NaN	5
2010-10-24 23:00	288.97	480.32	NaN	4.4
2010-10-24 23:10	289.17	480.7	NaN	4.3
2010-10-24 23:20	287.93	479.59	NaN	4.6
2010-10-24 23:30	288.87	480.34	NaN	4.7
2010-10-24 23:40	288.58	480.25	NaN	4.4
2010-10-24 23:50	287.87	479.35	NaN	4.5
2010-10-25 00:00	289.02	480.62	NaN	4.1
2010-10-25 00:10	289.1	480.56	NaN	4.6
2010-10-25 00:20	288.69	480.12	NaN	4.4
