SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH
wr15a	2014-08-15 14:35	25.58	51510	6.81	100.9	8.28	218	12.34	13.21
wr15a	2014-08-15 14:40	25.58	51720	7.71	114.3	8.24	192	12.38	-77.22
wr15a	2014-08-15 14:45	25.59	51600	7.78	115.4	8.24	185	12.38	-78.58
wr15a	2014-08-15 14:50	25.6	51680	7.79	115.6	8.24	181	12.33	-78.45
wr15a	2014-08-15 14:55	25.61	51640	7.79	115.5	8.24	178	12.38	-77.86
wr15a	2014-08-15 15:00	25.62	51650	7.8	115.6	8.24	175	12.34	-77.17
wr15a	2014-08-15 15:05	25.63	51600	7.79	115.5	8.24	171	12.38	-76.64
wr15a	2014-08-15 15:10	25.64	51600	7.79	115.5	8.24	168	12.34	-76.21
wr15a	2014-08-15 15:15	25.65	51620	7.79	115.7	8.24	164	12.33	-75.87
wr15a	2014-08-15 15:20	25.66	51750	7.8	115.8	8.24	161	12.33	-75.63
wr15a	2014-08-15 15:25	25.67	51620	7.79	115.7	8.24	157	12.31	-75.46
wr15a	2014-08-15 15:30	25.68	51690	7.8	115.8	8.24	153	12.33	-75.32
wr15a	2014-08-15 15:35	25.69	51680	7.79	115.7	8.24	149	12.33	-75.23
wr15a	2014-08-15 15:40	25.7	51670	7.8	115.9	8.24	146	12.31	-75.16
wr15a	2014-08-15 15:45	25.71	51630	7.78	115.6	8.24	142	12.29	-75.15
wr15a	2014-08-15 15:50	25.72	51630	7.78	115.6	8.24	139	12.26	-75.19
wr15a	2014-08-15 15:55	25.73	51640	7.8	115.9	8.24	136	12.24	-75.18
wr15a	2014-08-15 16:00	25.74	51700	7.78	115.7	8.24	133	12.26	-75.22
wr15a	2014-08-15 16:05	25.74	51720	7.78	115.7	8.24	130	12.28	-75.24
wr15a	2014-08-15 16:10	25.75	51580	7.78	115.6	8.24	128	12.17	-75.32
wr15a	2014-08-15 16:15	25.76	51620	7.79	115.8	8.24	125	12.23	-75.38
wr15a	2014-08-15 16:20	25.77	51620	7.77	115.5	8.24	123	12.23	-75.46
wr15a	2014-08-15 16:25	25.78	51620	7.78	115.7	8.24	121	12.23	-75.53
wr15a	2014-08-15 16:30	25.79	51690	7.76	115.5	8.24	120	12.23	-75.58
wr15a	2014-08-15 16:35	25.81	51620	7.78	115.7	8.24	118	12.24	-75.64
wr15a	2014-08-15 16:40	25.81	51670	7.77	115.7	8.24	117	12.23	-75.72
wr15a	2014-08-15 16:45	25.82	51690	7.77	115.7	8.24	115	12.21	-75.79
wr15a	2014-08-15 16:50	25.83	51700	7.76	115.5	8.24	114	12.16	-75.86
wr15a	2014-08-15 16:55	25.84	51600	7.78	115.8	8.24	113	12.17	-75.91
wr15a	2014-08-15 17:00	25.85	51630	7.76	115.5	8.24	112	12.19	-76.03
wr15a	2014-08-15 17:05	25.86	51550	7.77	115.8	8.24	111	12.19	-76.15
wr15a	2014-08-15 17:10	25.87	51680	7.75	115.5	8.24	110	12.16	-76.24
wr15a	2014-08-15 17:15	25.88	51610	7.75	115.5	8.24	110	12.16	-76.32
wr15a	2014-08-15 17:20	25.88	51650	7.76	115.6	8.24	109	12.16	-76.43
wr15a	2014-08-15 17:25	25.89	51650	7.74	115.4	8.24	108	12.14	-76.49
wr15a	2014-08-15 17:30	25.9	51640	7.74	115.4	8.24	108	12.17	-76.55
wr15a	2014-08-15 17:35	25.91	51710	7.75	115.6	8.24	107	12.14	-76.61
wr15a	2014-08-15 17:40	25.92	51630	7.76	115.7	8.24	107	12.14	-76.73
wr15a	2014-08-15 17:45	25.93	51730	7.75	115.6	8.24	106	12.11	-76.79
wr15a	2014-08-15 17:50	25.94	51650	7.74	115.4	8.24	106	12.12	-76.84
wr15a	2014-08-15 17:55	25.94	51720	7.72	115.2	8.24	105	12.12	-76.93
wr15a	2014-08-15 18:00	25.95	51570	7.72	115.1	8.24	105	12.12	-77.03
wr15a	2014-08-15 18:05	25.95	51630	7.71	115	8.24	105	12.12	-77.01
wr15a	2014-08-15 18:10	25.95	51630	7.63	113.8	8.24	105	12.11	-76.83
wr15a	2014-08-15 18:15	25.95	51660	7.54	112.5	8.24	105	12.09	-76.67
wr15a	2014-08-15 18:20	25.95	51720	7.46	111.3	8.24	105	12.11	-76.52
wr15a	2014-08-15 18:25	25.95	51580	7.38	110.1	8.24	104	12.09	-76.38
wr15a	2014-08-15 18:30	25.95	51630	7.32	109.1	8.24	104	12.09	-76.25
wr15a	2014-08-15 18:35	25.94	51630	7.28	108.5	8.24	104	12.09	-76.17
wr15a	2014-08-15 18:40	25.94	51590	7.2	107.4	8.24	104	12.09	-76.04
wr15a	2014-08-15 18:45	25.94	51650	7.18	107.1	8.24	104	12.06	-75.95
wr15a	2014-08-15 18:50	25.94	51660	7.11	106.1	8.24	103	12.04	-75.75
wr15a	2014-08-15 18:55	25.93	51620	7	104.4	8.24	103	12.06	-75.45
wr15a	2014-08-15 19:00	25.92	51640	6.88	102.5	8.24	103	12.06	-75.11
wr15a	2014-08-15 19:05	25.91	51570	6.76	100.7	8.24	102	12.04	-74.75
wr15a	2014-08-15 19:10	25.9	51650	6.65	99.1	8.24	102	12.04	-74.43
wr15a	2014-08-15 19:15	25.89	51560	6.55	97.6	8.24	102	12.04	-74.09
wr15a	2014-08-15 19:20	25.88	51570	6.47	96.4	8.24	102	12	-73.76
wr15a	2014-08-15 19:25	25.86	51640	6.38	95.1	8.24	102	12	-73.45
wr15a	2014-08-15 19:30	25.85	51690	6.31	93.9	8.24	101	12.02	-73.12
wr15a	2014-08-15 19:35	25.84	51630	6.24	92.9	8.24	101	12	-72.79
wr15a	2014-08-15 19:40	25.83	51630	6.16	91.7	8.24	101	12.02	-72.47
wr15a	2014-08-15 19:45	25.82	51620	6.11	90.9	8.24	101	11.99	-72.15
wr15a	2014-08-15 19:50	25.81	51620	6.05	90	8.24	101	11.99	-71.85
wr15a	2014-08-15 19:55	25.79	51580	6	89.2	8.24	101	11.97	-71.51
wr15a	2014-08-15 20:00	25.78	51580	5.95	88.6	8.25	101	12	-71.25
wr15a	2014-08-15 20:05	25.78	51610	5.9	87.8	8.25	101	12	-70.96
wr15a	2014-08-15 20:10	25.76	51590	5.86	87.1	8.25	101	11.95	-70.62
wr15a	2014-08-15 20:15	25.75	51640	5.82	86.6	8.25	101	11.97	-70.36
wr15a	2014-08-15 20:20	25.74	51620	5.79	86	8.25	101	11.97	-70.05
wr15a	2014-08-15 20:25	25.72	51630	5.76	85.6	8.25	101	11.94	-69.76
wr15a	2014-08-15 20:30	25.71	51640	5.74	85.2	8.25	101	11.97	-69.45
wr15a	2014-08-15 20:35	25.7	51630	5.71	84.8	8.25	101	11.94	-69.19
wr15a	2014-08-15 20:40	25.69	51560	5.68	84.4	8.25	101	11.89	-68.83
wr15a	2014-08-15 20:45	25.68	51600	5.66	84.1	8.25	101	11.95	-68.58
wr15a	2014-08-15 20:50	25.67	51510	5.64	83.7	8.25	101	11.94	-68.34
wr15a	2014-08-15 20:55	25.66	51760	5.62	83.4	8.25	101	11.9	-68.07
wr15a	2014-08-15 21:00	25.65	51530	5.61	83.2	8.25	101	11.95	-67.75
wr15a	2014-08-15 21:05	25.64	51490	5.59	82.9	8.25	102	11.9	-67.51
wr15a	2014-08-15 21:10	25.63	51640	5.57	82.6	8.25	102	11.83	-67.27
wr15a	2014-08-15 21:15	25.62	51640	5.56	82.5	8.25	102	11.9	-67.01
wr15a	2014-08-15 21:20	25.61	51630	5.55	82.3	8.25	102	11.92	-66.76
wr15a	2014-08-15 21:25	25.6	51590	5.53	82	8.25	102	11.92	-66.47
wr15a	2014-08-15 21:30	25.59	51550	5.53	81.9	8.25	102	11.77	-66.24
wr15a	2014-08-15 21:35	25.58	51710	5.52	81.8	8.25	102	11.9	-65.99
wr15a	2014-08-15 21:40	25.57	51610	5.51	81.7	8.25	102	11.89	-65.74
wr15a	2014-08-15 21:45	25.56	51540	5.5	81.4	8.25	100	11.87	-65.48
wr15a	2014-08-15 21:50	25.54	51610	5.49	81.3	8.25	100	11.87	-65.25
wr15a	2014-08-15 21:55	25.54	51610	5.49	81.3	8.25	100	11.89	-65.05
wr15a	2014-08-15 22:00	25.53	51660	5.47	81.1	8.25	100	11.85	-64.82
wr15a	2014-08-15 22:05	25.52	51630	5.48	81.2	8.25	100	11.85	-64.55
wr15a	2014-08-15 22:10	25.51	51570	5.47	81	8.25	101	11.89	-64.35
wr15a	2014-08-15 22:15	25.5	51620	5.47	81	8.25	101	11.87	-64.13
wr15a	2014-08-15 22:20	25.49	51610	5.46	80.9	8.25	102	11.82	-63.88
wr15a	2014-08-15 22:25	25.48	51630	5.45	80.7	8.25	102	11.89	-63.66
wr15a	2014-08-15 22:30	25.47	51610	5.46	80.8	8.25	102	11.85	-63.43
wr15a	2014-08-15 22:35	25.46	51600	5.45	80.7	8.25	103	11.87	-63.2
wr15a	2014-08-15 22:40	25.45	51580	5.45	80.7	8.25	103	11.85	-63.02
wr15a	2014-08-15 22:45	25.44	51610	5.45	80.6	8.25	103	11.83	-62.81
wr15a	2014-08-15 22:50	25.43	51610	5.45	80.5	8.25	103	11.8	-62.6
wr15a	2014-08-15 22:55	25.42	51630	5.46	80.7	8.25	103	11.85	-62.39
wr15a	2014-08-15 23:00	25.41	51640	5.45	80.6	8.25	103	11.8	-62.17
wr15a	2014-08-15 23:05	25.4	51620	5.46	80.7	8.25	103	11.83	-62
wr15a	2014-08-15 23:10	25.39	51630	5.47	80.8	8.25	104	11.83	-61.81
wr15a	2014-08-15 23:15	25.38	51630	5.46	80.7	8.25	104	11.8	-61.6
wr15a	2014-08-15 23:20	25.37	51630	5.47	80.8	8.25	104	11.8	-61.43
wr15a	2014-08-15 23:25	25.36	51570	5.47	80.8	8.25	104	11.82	-61.21
wr15a	2014-08-15 23:30	25.35	51560	5.48	80.9	8.25	104	11.8	-61.05
wr15a	2014-08-15 23:35	25.34	51570	5.48	80.8	8.25	104	11.82	-60.84
wr15a	2014-08-15 23:40	25.34	51580	5.48	80.8	8.25	104	11.78	-60.68
wr15a	2014-08-15 23:45	25.32	51600	5.48	80.9	8.25	104	11.78	-60.49
wr15a	2014-08-15 23:50	25.32	51610	5.48	80.9	8.25	104	11.78	-60.31
wr15a	2014-08-15 23:55	25.31	51660	5.47	80.8	8.25	105	11.8	-60.12
wr15a	2014-08-16 00:00	25.3	51650	5.48	80.9	8.25	105	11.8	-59.99
wr15a	2014-08-16 00:05	25.29	51650	5.49	81	8.25	105	11.78	-59.8
wr15a	2014-08-16 00:10	25.29	51550	5.5	81.1	8.25	105	11.78	-59.68
wr15a	2014-08-16 00:15	25.28	51640	5.49	81	8.25	105	11.77	-59.45
