SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH
1	6/16/15 15:36	24.68	54400	5.06	76.6	10.35	15	12.5	-50.09
1	6/16/15 15:37	24.67	54640	5.11	77.4	10.33	19	12.46	-49.35
1	6/16/15 15:38	24.67	55000	5.13	77.9	10.32	23	12.4	-48.82
1	6/16/15 15:39	24.67	54870	5.16	78.3	10.31	25	12.48	-48.45
1	6/16/15 15:40	24.66	54400	5.19	78.6	10.3	28	12.46	-48.06
1	6/16/15 15:41	24.66	54230	5.2	78.7	10.29	30	12.46	-47.77
1	6/16/15 15:42	24.66	54270	5.21	78.8	10.28	32	12.45	-47.39
1	6/16/15 15:43	24.67	54290	5.22	78.9	10.27	33	12.41	-46.97
1	6/16/15 15:44	24.67	54310	5.23	79.1	10.26	35	12.45	-46.56
1	6/16/15 15:45	24.67	53490	5.27	79.4	10.25	36	12.41	-46.35
1	6/16/15 15:46	24.67	54140	5.27	79.7	10.25	38	12.41	-46.18
1	6/16/15 15:47	24.67	54500	5.27	79.8	10.24	39	12.41	-45.92
1	6/16/15 15:48	24.67	54550	5.28	80.1	10.24	40	12.41	-45.74
1	6/16/15 15:49	24.67	54490	5.3	80.3	10.23	41	12.38	-45.55
1	6/16/15 15:50	24.67	54300	5.31	80.4	10.22	42	12.38	-45.26
1	6/16/15 15:51	24.67	55100	5.3	80.5	10.22	43	12.38	-45.13
1	6/16/15 15:52	24.67	54600	5.32	80.6	10.21	44	12.4	-44.84
1	6/16/15 15:53	24.68	55380	5.3	80.6	10.2	45	12.38	-44.34
1	6/16/15 15:54	24.68	54830	5.31	80.6	10.18	46	12.38	-43.63
1	6/16/15 15:55	24.68	54290	5.32	80.5	10.19	47	12.36	-43.88
1	6/16/15 15:56	24.68	54750	5.3	80.4	10.2	48	12.36	-44.32
1	6/16/15 15:57	24.68	54460	5.3	80.3	10.17	49	12.34	-43.41
1	6/16/15 15:58	24.68	54960	0	0	10.17	49	12.29	-43.22
1	6/16/15 15:59	24.67	53960	5.31	80.2	10.16	50	12.36	-43.08
1	6/16/15 16:00	24.66	54460	5.28	80	10.14	51	12.34	-42.13
