SENS_ID	SDN	O2	O2satper	TC	VpH	pHinsitu	COND	PSAL	ORP	Vbatt
1	5/19/15 19:17	6.16	95.5	27.02	-74.17	8.24	56570	37.56	74	9.2
1	5/19/15 19:18	5.95	92.2	27.01	-73.2	8.24	56520	37.52	73	9.17
1	5/19/15 19:19	5.9	91.5	27.02	-72.98	8.24	56510	37.52	72	9.17
1	5/19/15 19:20	5.88	91.1	27	-72.97	8.24	56580	37.57	72	9.17
1	5/19/15 19:21	5.89	91.4	27.01	-72.94	8.24	56620	37.6	72	9.17
1	5/19/15 19:22	5.9	91.4	27	-72.9	8.24	56550	37.55	72	9.17
1	5/19/15 19:23	5.86	90.9	27	-72.75	8.24	56630	37.61	72	9.15
1	5/19/15 19:24	5.84	90.5	27	-72.64	8.24	56580	37.57	72	9.17
1	5/19/15 19:25	5.83	90.4	26.99	-72.5	8.24	56600	37.59	72	9.15
1	5/19/15 19:26	5.81	90	26.99	-72.38	8.24	56540	37.54	72	9.17
1	5/19/15 19:27	5.79	89.7	26.98	-72.35	8.24	56530	37.53	72	9.15
1	5/19/15 19:28	5.77	89.4	26.98	-72.32	8.24	56510	37.52	72	9.15
1	5/19/15 19:29	5.75	89.1	26.97	-72.22	8.24	56580	37.57	72	9.13
1	5/19/15 19:30	5.72	88.6	26.97	-72.17	8.24	56630	37.61	72	9.17
1	5/19/15 19:31	5.7	88.3	26.97	-72.14	8.24	56530	37.53	72	9.12
1	5/19/15 19:32	5.7	88.3	26.97	-72.15	8.24	56500	37.51	72	9.13
1	5/19/15 19:33	5.67	87.8	26.97	-72.02	8.24	56470	37.49	72	9.12
1	5/19/15 19:34	5.66	87.6	26.96	-71.97	8.24	56540	37.54	72	9.12
1	5/19/15 19:35	5.67	87.7	26.96	-72.02	8.24	56500	37.51	71	9.12
1	5/19/15 19:36	5.66	87.6	26.95	-72.04	8.24	56570	37.56	72	9.1
1	5/19/15 19:37	5.64	87.3	26.95	-72.11	8.24	56500	37.51	71	9.1
1	5/19/15 19:38	5.66	87.6	26.95	-72.06	8.24	56590	37.58	71	9.08
1	5/19/15 19:39	5.61	86.9	26.95	-71.97	8.24	56460	37.48	71	9.1
1	5/19/15 19:40	5.6	86.7	26.94	-71.92	8.24	56470	37.49	71	9.1
1	5/19/15 19:41	5.56	86.1	26.94	-71.93	8.24	56540	37.54	71	9.1
1	5/19/15 19:42	5.57	86.2	26.94	-71.82	8.24	56480	37.49	71	9.1
1	5/19/15 19:43	5.54	85.8	26.95	-71.66	8.24	56510	37.52	71	9.1
1	5/19/15 19:44	5.54	85.8	26.93	-71.67	8.24	56570	37.57	71	9.08
1	5/19/15 19:45	5.54	85.7	26.93	-71.71	8.24	56540	37.54	71	9.1
1	5/19/15 19:46	5.52	85.5	26.93	-71.59	8.24	56570	37.56	71	9.1
1	5/19/15 19:47	5.49	85	26.93	-71.44	8.24	56600	37.59	71	9.05
1	5/19/15 19:48	5.48	84.8	26.93	-71.35	8.24	56450	37.47	71	9.08
1	5/19/15 19:49	5.47	84.6	26.93	-71.25	8.24	56570	37.56	71	9.07
1	5/19/15 19:50	5.43	84	26.92	-71.25	8.24	56560	37.56	71	9.07
1	5/19/15 19:51	5.44	84.2	26.91	-71.17	8.24	56520	37.53	71	9.07
1	5/19/15 19:52	5.42	83.9	26.91	-71.07	8.24	56570	37.56	71	9.03
1	5/19/15 19:53	5.41	83.7	26.91	-71.08	8.24	56490	37.51	71	9.05
1	5/19/15 19:54	5.4	83.5	26.91	-71.04	8.24	56530	37.54	71	9.03
1	5/19/15 19:55	5.37	83	26.91	-70.97	8.24	56580	37.57	71	9.05
1	5/19/15 19:56	5.35	82.8	26.9	-70.9	8.24	56510	37.52	71	9.05
1	5/19/15 19:57	5.33	82.5	26.9	-70.88	8.24	56560	37.56	71	9.01
1	5/19/15 19:58	5.34	82.5	26.9	-70.85	8.24	56560	37.56	71	9.01
1	5/19/15 19:59	5.32	82.3	26.9	-70.76	8.24	56590	37.58	71	9.05
1	5/19/15 20:00	5.29	81.8	26.9	-70.71	8.24	56560	37.56	71	9.03
1	5/19/15 20:01	5.28	81.7	26.9	-70.64	8.24	56480	37.5	71	9.03
1	5/19/15 20:02	5.28	81.6	26.9	-70.64	8.24	56490	37.51	71	8.98
1	5/19/15 20:03	5.25	81.3	26.89	-70.59	8.24	56570	37.57	71	9.03
1	5/19/15 20:04	5.27	81.4	26.89	-70.65	8.24	56420	37.46	71	9.01
1	5/19/15 20:05	5.27	81.5	26.88	-70.62	8.24	56520	37.53	71	8.98
1	5/19/15 20:06	5.26	81.4	26.89	-70.55	8.24	56580	37.57	71	9.01
1	5/19/15 20:07	5.23	80.8	26.89	-70.45	8.24	56550	37.55	71	9
1	5/19/15 20:08	5.22	80.7	26.89	-70.41	8.24	56410	37.45	71	9
1	5/19/15 20:09	5.23	80.8	26.88	-70.4	8.24	56500	37.51	71	9
1	5/19/15 20:10	5.2	80.3	26.88	-70.37	8.24	56470	37.49	71	8.95
1	5/19/15 20:11	5.18	80.1	26.88	-70.28	8.24	56530	37.54	71	8.98
1	5/19/15 20:12	5.16	79.7	26.88	-70.23	8.24	56550	37.55	71	8.96
1	5/19/15 20:13	5.13	79.4	26.88	-70.11	8.24	56490	37.5	71	8.98
1	5/19/15 20:14	5.15	79.6	26.88	-70.04	8.24	56530	37.54	71	8.96
