
TimeAST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:00 AM,80.6,75.2,84,29.98,6.2,East,12.7,-,N/A,,Partly Cloudy,90,2015-04-17 04:00:00<br />
1:00 AM,80.6,75.2,84,29.95,6.2,East,12.7,-,N/A,,Partly Cloudy,100,2015-04-17 05:00:00<br />
2:00 AM,80,74,78,29.94,11,ESE,12.7,,,,Haze,110,2015-04-17 06:00:00<br />
2:00 AM,80.6,73.4,79,29.95,6.2,East,12.7,-,N/A,,Partly Cloudy,100,2015-04-17 06:00:00<br />
3:00 AM,78.8,73.4,83,29.92,6.2,ESE,12.7,-,N/A,,Partly Cloudy,110,2015-04-17 07:00:00<br />
4:00 AM,78.8,73.4,83,29.92,6.2,ESE,10.4,-,N/A,,Scattered Clouds,120,2015-04-17 08:00:00<br />
5:00 AM,80,73,74,29.94,11,ESE,10.4,,,,Partly Cloudy,120,2015-04-17 09:00:00<br />
5:00 AM,80.6,73.4,79,29.92,6.2,ESE,10.4,-,N/A,Rain,Light Rain Showers,110,2015-04-17 09:00:00<br />
6:00 AM,78.8,73.4,83,29.95,6.2,ESE,8.1,-,N/A,,Scattered Clouds,120,2015-04-17 10:00:00<br />
7:00 AM,78.8,73.4,83,29.95,6.2,ESE,12.7,-,N/A,,Partly Cloudy,110,2015-04-17 11:00:00<br />
8:00 AM,81,74,74,29.99,11,ESE,13.8,,,,Scattered Clouds,120,2015-04-17 12:00:00<br />
8:00 AM,80.6,73.4,79,29.98,6.2,ESE,12.7,-,N/A,,Partly Cloudy,110,2015-04-17 12:00:00<br />
9:00 AM,84.2,75.2,74,29.98,6.2,East,11.5,-,N/A,,Partly Cloudy,100,2015-04-17 13:00:00<br />
10:00 AM,86.0,75.2,70,30.01,6.2,East,11.5,-,N/A,,Scattered Clouds,100,2015-04-17 14:00:00<br />
11:00 AM,86,74,59,30.00,11,East,16.1,,,,Scattered Clouds,100,2015-04-17 15:00:00<br />
11:00 AM,86.0,73.4,66,30.01,6.2,East,13.8,-,N/A,,Partly Cloudy,100,2015-04-17 15:00:00<br />
12:00 PM,87.8,73.4,62,29.98,6.2,East,12.7,-,N/A,,Partly Cloudy,100,2015-04-17 16:00:00<br />
1:00 PM,87.8,73.4,62,29.98,6.2,East,13.8,-,N/A,,Partly Cloudy,100,2015-04-17 17:00:00<br />
2:00 PM,87,73,55,29.95,11,East,17.3,,,,Haze,100,2015-04-17 18:00:00<br />
2:00 PM,87.8,73.4,62,29.95,6.2,East,13.8,-,N/A,,Partly Cloudy,90,2015-04-17 18:00:00<br />
3:00 PM,87.8,71.6,58,29.92,6.2,East,13.8,-,N/A,,Partly Cloudy,100,2015-04-17 19:00:00<br />
4:00 PM,86.0,73.4,66,29.89,6.2,East,10.4,-,N/A,,Scattered Clouds,100,2015-04-17 20:00:00<br />
5:00 PM,83,73,66,29.88,11,East,16.1,,,,Haze,90,2015-04-17 21:00:00<br />
5:00 PM,84.2,73.4,70,29.89,6.2,East,12.7,-,N/A,,Scattered Clouds,80,2015-04-17 21:00:00<br />
6:00 PM,82.4,73.4,74,29.89,6.2,East,13.8,-,N/A,,Scattered Clouds,80,2015-04-17 22:00:00<br />
7:00 PM,80.6,73.4,79,29.89,6.2,East,13.8,-,N/A,,Scattered Clouds,80,2015-04-17 23:00:00<br />
8:00 PM,80,74,76,29.92,11,East,11.5,,,,Haze,100,2015-04-18 00:00:00<br />
8:00 PM,80.6,73.4,79,29.92,6.2,East,12.7,-,N/A,,Scattered Clouds,90,2015-04-18 00:00:00<br />
9:00 PM,80.6,73.4,79,29.95,6.2,East,12.7,-,N/A,,Scattered Clouds,100,2015-04-18 01:00:00<br />
10:00 PM,80.6,73.4,79,29.98,6.2,East,11.5,-,N/A,,Scattered Clouds,100,2015-04-18 02:00:00<br />
11:00 PM,80,74,76,29.99,11,ESE,11.5,,,,Haze,110,2015-04-18 03:00:00<br />
11:00 PM,80.6,73.4,79,29.98,6.2,East,12.7,-,N/A,,Partly Cloudy,100,2015-04-18 03:00:00<br />
