SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH
1	5/23/15 21:52	23.85	68880	5.12	81.4	10.1	127	10.53	-40.27
1	5/23/15 21:53	23.85	70500	5.08	81.4	10.09	126	10.54	-39.96
1	5/23/15 21:54	23.84	69230	5.1	81.3	10.08	126	10.54	-39.77
1	5/23/15 21:55	23.85	69560	5.09	81.3	10.08	126	10.51	-39.59
1	5/23/15 21:56	23.87	68400	5.1	81	10.07	126	10.53	-39.42
1	5/23/15 21:57	23.86	70190	5.04	80.6	10.07	126	10.49	-39.3
1	5/23/15 21:58	23.86	69520	5.04	80.5	10.07	125	10.49	-39.17
1	5/23/15 21:59	23.85	69220	5.04	80.3	10.06	125	10.49	-38.89
1	5/23/15 22:00	23.84	69300	5.02	80	10.05	124	10.51	-38.55
1	5/23/15 22:01	23.83	70750	4.96	79.5	10.04	123	10.48	-38.12
1	5/23/15 22:02	23.82	68570	4.99	79.3	10.03	123	10.48	-37.68
1	5/23/15 22:03	23.82	68840	4.99	79.3	10.01	122	10.51	-37.15
1	5/23/15 22:04	23.82	70040	4.96	79.3	10	122	10.46	-36.52
1	5/23/15 22:05	23.82	69910	4.97	79.3	9.99	121	10.44	-36.12
1	5/23/15 22:06	23.81	69750	4.98	79.4	9.98	121	10.51	-35.77
1	5/23/15 22:07	23.81	70150	4.96	79.4	9.97	121	10.48	-35.56
1	5/23/15 22:08	23.81	67580	5.01	79.3	9.97	120	10.48	-35.33
1	5/23/15 22:09	23.8	69900	4.95	79	9.96	120	10.44	-35.13
1	5/23/15 22:10	23.8	69820	4.91	78.4	9.96	120	10.48	-34.98
1	5/23/15 22:11	23.8	69610	4.86	77.5	9.95	120	10.44	-34.87
1	5/23/15 22:12	23.8	69890	4.78	76.4	9.96	120	10.44	-34.96
1	5/23/15 22:13	23.79	69570	4.69	74.8	9.96	120	10.46	-34.99
1	5/23/15 22:14	23.79	69880	4.55	72.7	9.96	119	10.44	-34.97
1	5/23/15 22:15	23.79	70640	4.37	70	9.96	119	10.46	-34.98
1	5/23/15 22:16	23.79	69270	4.22	67.2	9.96	119	10.46	-35
1	5/23/15 22:17	23.78	71100	4.01	64.3	9.96	119	10.42	-35.07
1	5/23/15 22:18	23.78	69360	3.89	62	9.96	119	10.48	-35.03
1	5/23/15 22:19	23.78	69570	3.75	59.8	9.96	119	10.42	-35.13
1	5/23/15 22:20	23.77	68660	3.65	58	9.96	119	10.41	-35.08
1	5/23/15 22:21	23.77	70550	3.52	56.3	9.96	119	10.48	-35.13
1	5/23/15 22:22	23.77	69560	3.43	54.7	9.96	119	10.46	-35.25
1	5/23/15 22:23	23.77	69570	3.33	53.1	9.96	119	10.46	-35.27
1	5/23/15 22:24	23.76	68320	3.25	51.5	9.97	119	10.44	-35.37
1	5/23/15 22:25	23.76	68870	3.14	49.9	9.97	119	10.41	-35.45
1	5/23/15 22:26	23.76	68780	3.05	48.4	9.97	118	10.42	-35.47
1	5/23/15 22:27	23.76	69470	2.94	46.9	9.97	118	10.44	-35.43
1	5/23/15 22:28	23.76	68190	2.87	45.5	9.97	118	10.44	-35.6
1	5/23/15 22:29	23.75	69050	2.79	44.3	9.97	118	10.42	-35.54
1	5/23/15 22:30	23.75	68890	2.71	43.1	9.98	118	10.41	-35.7
1	5/23/15 22:31	23.75	68920	2.64	42	9.98	118	10.42	-35.77
1	5/23/15 22:32	23.75	68090	2.57	40.7	9.98	118	10.39	-35.9
1	5/23/15 22:33	23.75	70460	2.46	39.4	9.99	118	10.37	-36.19
1	5/23/15 22:34	23.75	68460	2.4	38.1	9.99	117	10.37	-36.29
1	5/23/15 22:35	23.74	69380	2.31	36.7	10	117	10.37	-36.57
1	5/23/15 22:36	23.74	68350	2.23	35.4	10	117	10.39	-36.68
1	5/23/15 22:37	23.74	68770	2.16	34.2	10.01	117	10.39	-36.86
1	5/23/15 22:38	23.74	70080	2.07	33.1	10.02	117	10.41	-37.14
1	5/23/15 22:39	23.74	69620	2.01	32.1	10.02	117	10.39	-37.36
1	5/23/15 22:40	23.74	69200	1.95	31	10.03	117	10.41	-37.52
1	5/23/15 22:41	23.74	68410	1.89	30	10.03	117	10.39	-37.77
1	5/23/15 22:42	23.74	69260	1.82	29	10.04	117	10.36	-38.02
1	5/23/15 22:43	23.73	69330	1.76	28	10.04	116	10.37	-38.19
1	5/23/15 22:44	23.73	69230	1.7	27.1	10.05	116	10.39	-38.33
1	5/23/15 22:45	23.73	69620	1.64	26.2	10.05	116	10.37	-38.31
1	5/23/15 22:46	23.73	68420	1.61	25.5	10.04	116	10.34	-38.12
1	5/23/15 22:47	23.73	67770	1.57	24.9	10.04	116	10.37	-38.12
1	5/23/15 22:48	23.73	68640	1.53	24.3	10.04	116	10.32	-37.99
1	5/23/15 22:49	23.73	68070	1.5	23.8	10.04	116	10.34	-38.03
1	5/23/15 22:50	23.73	68540	1.47	23.3	10.04	116	10.34	-38.09
1	5/23/15 22:51	23.72	69300	1.43	22.8	10.04	116	10.36	-38.09
1	5/23/15 22:52	23.72	68030	1.41	22.4	10.04	116	10.32	-38.11
1	5/23/15 22:53	23.72	68610	1.38	21.9	10.04	116	10.37	-38.08
1	5/23/15 22:54	23.72	69040	1.35	21.4	10.05	116	10.36	-38.28
1	5/23/15 22:55	23.72	67840	1.33	21	10.05	116	10.34	-38.32
1	5/23/15 22:56	23.72	69070	1.29	20.5	10.05	116	10.34	-38.26
1	5/23/15 22:57	23.72	68230	1.27	20.1	10.04	116	10.34	-37.98
1	5/23/15 22:58	23.72	68730	1.25	19.8	10.04	116	10.32	-37.87
1	5/23/15 22:59	23.72	70510	1.22	19.5	10.03	116	10.31	-37.85
1	5/23/15 23:00	23.72	69660	1.21	19.2	10.04	116	10.32	-37.99
1	5/23/15 23:01	23.72	68050	1.2	18.9	10.04	116	10.34	-38.11
1	5/23/15 23:02	23.72	68090	1.18	18.6	10.04	116	10.31	-38.16
1	5/23/15 23:03	23.72	70250	1.15	18.4	10.04	116	10.31	-38.13
1	5/23/15 23:04	23.71	68150	1.16	18.3	10.04	116	10.34	-38.1
1	5/23/15 23:05	23.72	68260	1.15	18.2	10.04	116	10.34	-38.09
1	5/23/15 23:06	23.71	69990	1.14	18.2	10.04	116	10.29	-37.98
1	5/23/15 23:07	23.71	69080	1.14	18.2	10.04	116	10.31	-37.97
1	5/23/15 23:08	23.71	67650	1.15	18.2	10.04	116	10.32	-37.9
1	5/23/15 23:09	23.71	67300	1.15	18.2	10.03	116	10.31	-37.77
1	5/23/15 23:10	23.71	67180	1.15	18.2	10.03	117	10.32	-37.61
1	5/23/15 23:11	23.71	68720	1.14	18.1	10.02	117	10.27	-37.43
1	5/23/15 23:12	23.71	69160	1.13	18	10.02	117	10.27	-37.32
1	5/23/15 23:13	23.71	69000	1.13	17.9	10.02	117	10.32	-37.29
1	5/23/15 23:14	23.71	68830	1.12	17.8	10.02	117	10.29	-37.22
1	5/23/15 23:15	23.71	69600	1.12	17.8	10.02	117	10.29	-37.14
1	5/23/15 23:16	23.71	68640	1.12	17.8	10.02	117	10.29	-37.2
1	5/23/15 23:17	23.71	67260	1.13	17.8	10.02	117	10.32	-37.34
1	5/23/15 23:18	23.72	68810	1.11	17.7	10.02	117	10.31	-37.48
1	5/23/15 23:19	23.71	69540	1.1	17.5	10.02	117	10.27	-37.47
1	5/23/15 23:20	23.71	68800	1.09	17.4	10.03	117	10.31	-37.55
1	5/23/15 23:21	23.71	68230	1.09	17.2	10.03	117	10.29	-37.72
1	5/23/15 23:22	23.71	68290	1.08	17.1	10.03	117	10.29	-37.63
1	5/23/15 23:23	23.71	68870	1.07	17	10.03	117	10.27	-37.56
1	5/23/15 23:24	23.72	68890	1.06	16.8	10.03	117	10.27	-37.65
1	5/23/15 23:25	23.71	67940	1.05	16.7	10.03	117	10.27	-37.67
1	5/23/15 23:26	23.72	68480	1.04	16.5	10.03	117	10.27	-37.53
1	5/23/15 23:27	23.72	68810	1.03	16.3	10.03	117	10.27	-37.64
1	5/23/15 23:28	23.72	69110	1.02	16.2	10.03	117	10.25	-37.6
1	5/23/15 23:29	23.72	68510	1.01	16	10.03	117	10.24	-37.53
1	5/23/15 23:30	23.72	69200	0.99	15.8	10.03	117	10.31	-37.53
1	5/23/15 23:31	23.72	70010	0.98	15.6	10.02	117	10.27	-37.46
1	5/23/15 23:32	23.72	69550	0.97	15.4	10.02	117	10.25	-37.36
1	5/23/15 23:33	23.72	68190	0.96	15.2	10.02	117	10.25	-37.32
1	5/23/15 23:34	23.72	68410	0.94	15	10.02	117	10.25	-37.35
1	5/23/15 23:35	23.72	68980	0.93	14.7	10.02	117	10.29	-37.34
1	5/23/15 23:36	23.72	68220	0.92	14.5	10.02	117	10.25	-37.35
1	5/23/15 23:37	23.72	68820	0.9	14.4	10.02	117	10.24	-37.37
1	5/23/15 23:38	23.72	67850	0.9	14.2	10.02	117	10.29	-37.34
1	5/23/15 23:39	23.72	67920	0.89	14.1	10.02	117	10.25	-37.42
1	5/23/15 23:40	23.72	67530	0.88	13.9	10.02	117	10.25	-37.46
1	5/23/15 23:41	23.72	67680	0.87	13.8	10.04	117	10.25	-38.16
1	5/23/15 23:42	23.72	67890	0.86	13.7	10.03	117	10.25	-37.58
1	5/23/15 23:43	23.72	68880	0.85	13.6	10.03	117	10.24	-37.74
1	5/23/15 23:44	23.72	68190	0.85	13.4	10.03	117	10.24	-37.6
1	5/23/15 23:45	23.72	68660	0.84	13.3	10.03	117	10.29	-37.66
1	5/23/15 23:46	23.73	68760	0.83	13.2	10.03	117	10.24	-37.67
1	5/23/15 23:47	23.73	69810	0.82	13.1	10.03	117	10.22	-37.7
1	5/23/15 23:48	23.73	69250	0.81	12.9	10.03	117	10.2	-37.79
1	5/23/15 23:49	23.73	68280	0.81	12.8	10.03	117	10.24	-37.84
1	5/23/15 23:50	23.73	67400	0.8	12.7	10.04	117	10.27	-37.89
1	5/23/15 23:51	23.73	69570	0.79	12.5	10.04	117	10.24	-37.98
1	5/23/15 23:52	23.73	69330	0.78	12.4	10.04	117	10.24	-37.97
1	5/23/15 23:53	23.73	68570	0.78	12.3	10.04	117	10.25	-38.12
1	5/23/15 23:54	23.73	68180	0.77	12.3	10.04	117	10.24	-38.05
1	5/23/15 23:55	23.73	68420	0.77	12.2	10.04	117	10.22	-38.16
1	5/23/15 23:56	23.73	67860	0.77	12.1	10.04	117	10.24	-38.07
1	5/23/15 23:57	23.73	67840	0.76	12.1	10.04	117	10.22	-38.2
1	5/23/15 23:58	23.73	68480	0.76	12.1	10.04	117	10.22	-38.22
1	5/23/15 23:59	23.74	69150	0.76	12.1	10.04	117	10.24	-38.2
1	5/24/15 0:00	23.74	68680	0.76	12.1	10.04	117	10.2	-38.19
1	5/24/15 0:01	23.74	69150	0.76	12.1	10.04	117	10.22	-38.16
1	5/24/15 0:02	23.74	67950	0.77	12.1	10.04	117	10.24	-38.09
1	5/24/15 0:03	23.74	68110	0.77	12.2	10.04	117	10.22	-38.12
1	5/24/15 0:04	23.74	69130	0.77	12.2	10.04	117	10.25	-37.97
1	5/24/15 0:05	23.74	67640	0.77	12.2	10.04	117	10.2	-37.96
1	5/24/15 0:06	23.74	68260	0.77	12.2	10.04	117	10.22	-37.93
1	5/24/15 0:07	23.74	66620	0.78	12.3	10.03	117	10.2	-37.87
1	5/24/15 0:08	23.74	67140	0.78	12.3	10.04	117	10.25	-37.95
1	5/24/15 0:09	23.74	68670	0.77	12.3	10.03	117	10.2	-37.82
1	5/24/15 0:10	23.75	69040	0.77	12.3	10.03	117	10.24	-37.75
1	5/24/15 0:11	23.75	68010	0.78	12.3	10.03	117	10.2	-37.72
1	5/24/15 0:12	23.75	68390	0.77	12.3	10.03	117	10.22	-37.78
1	5/24/15 0:13	23.75	68060	0.77	12.3	10.03	117	10.2	-37.73
1	5/24/15 0:14	23.75	68310	0.77	12.2	10.03	117	10.2	-37.78
1	5/24/15 0:15	23.75	67860	0.77	12.1	10.03	117	10.2	-37.78
