Rise	Set	MaxIntensity
2015-14-04 02:49	2015-14-04 14:58	0.23
2015-15-04 03:40	2015-15-04 15:56	0.14
2015-16-04 04:30	2015-16-04 16:55	0.07
2015-17-04 05:20	2015-17-04 17:54	0.02
2015-18-04 06:11	2015-18-04 18:54	0
2015-19-04 07:03	2015-19-04 19:54	0.01
2015-20-04 07:56	2015-20-04 20:52	0.05
2015-21-04 08:50	2015-21-04 21:50	0.11
2015-22-04 09:44	2015-22-04 22:44	0.19
2015-23-04 10:38	2015-23-04 23:36	0.27
2015-24-04 11:30	2015-25-04 00:24	0.37
2015-25-04 12:20	2015-26-04 01:09	0.47
2015-26-04 13:09	2015-27-04 01:51	0.56
2015-27-04 13:56	2015-28-04 02:32	0.66
2015-28-04 14:42	2015-29-04 03:11	0.74
2015-29-04 15:28	2015-30-04 03:50	0.82
2015-30-04 16:14	2015-01-05 04:29	0.89
2015-01-05 17:00	2015-02-05 05:10	0.94
2015-02-05 17:48	2015-03-05 05:52	0.98
2015-03-05 18:38	2015-04-05 06:36	1
2015-04-05 19:28	2015-05-05 07:23	1
2015-05-05 20:21	2015-06-05 08:13	0.98
2015-06-05 21:14	2015-07-05 09:06	0.93
2015-07-05 22:08	2015-08-05 10:01	0.87
2015-08-05 23:01	2015-09-05 10:57	0.79
2015-09-05 23:54	2015-10-05 11:53	0.7
2015-11-05 00:45	2015-11-05 12:50	0.59
2015-12-05 01:34	2015-12-05 13:47	0.48
2015-13-05 02:23	2015-13-05 14:44	0.36
2015-14-05 03:11	2015-14-05 15:41	0.26
2015-15-05 04:00	2015-15-05 16:38	0.16
2015-16-05 04:51	2015-16-05 17:37	0.08
2015-17-05 05:43	2015-17-05 18:36	0.03
2015-18-05 06:36	2015-18-05 19:34	0
2015-19-05 07:30	2015-19-05 20:31	0
2015-20-05 08:25	2015-20-05 21:25	0.03
2015-21-05 09:19	2015-21-05 22:15	0.08
2015-22-05 10:11	2015-22-05 23:03	0.14
2015-23-05 11:01	2015-23-05 23:47	0.22
2015-24-05 11:49	2015-25-05 00:28	0.31
2015-25-05 12:36	2015-26-05 01:08	0.4
2015-26-05 13:22	2015-27-05 01:47	0.49
2015-27-05 14:08	2015-28-05 02:26	0.59
