SENS_ID	SDN	O2	O2satper	TC	pHinsitu	VpH	COND	ORP	Vbatt
1	2015-11-07 21:40	6.6	99.4	26	0.19	-127	53370	0	12.62
1	2015-11-07 21:42	6.58	99.1	26	0.13	-127.4	53300	-7	12.62
1	2015-11-07 21:44	6.57	99	26	0.17	-127.2	53310	-14	12.63
1	2015-11-07 21:46	6.56	98.8	26	0.24	-126.7	53350	-4	12.6
1	2015-11-07 21:48	6.55	98.5	25.99	0.33	-126.2	53260	-7	12.62
1	2015-11-07 21:50	6.54	98.5	25.99	0.41	-125.7	53380	-14	12.58
1	2015-11-07 21:52	6.53	98.3	25.99	0.51	-125.2	53310	-21	12.6
1	2015-11-07 21:54	6.52	98.1	25.99	0.58	-124.8	53310	-12	12.58
1	2015-11-07 21:56	6.51	98	25.99	0.66	-124.3	53330	-6	12.58
1	2015-11-07 21:58	6.5	97.8	25.98	0.73	-123.9	53250	-23	12.57
1	2015-11-07 22:00	6.5	97.8	25.98	0.8	-123.5	53260	-35	12.55
1	2015-11-07 22:02	6.48	97.5	25.98	0.86	-123.2	53240	-12	12.46
1	2015-11-07 22:04	6.48	97.5	25.98	0.91	-122.9	53290	-24	12.55
1	2015-11-07 22:06	6.46	97.2	25.98	0.97	-122.5	53290	-19	12.55
1	2015-11-07 22:08	6.47	97.3	25.98	1.03	-122.2	53210	-16	12.55
1	2015-11-07 22:10	6.46	97.2	25.97	1.08	-121.9	53280	-21	12.53
1	2015-11-07 22:12	6.44	96.9	25.97	1.13	-121.6	53260	-18	12.51
1	2015-11-07 22:14	6.43	96.7	25.97	1.18	-121.3	53320	-7	12.53
1	2015-11-07 22:16	6.42	96.6	25.96	1.22	-121.1	53350	-9	12.5
1	2015-11-07 22:18	6.42	96.6	25.96	1.25	-120.9	53250	-8	12.51
1	2015-11-07 22:20	6.41	96.4	25.96	1.3	-120.7	53360	-15	12.51
1	2015-11-07 22:22	6.41	96.4	25.96	1.34	-120.4	53290	-13	12.5
1	2015-11-07 22:24	6.4	96.3	25.95	1.39	-120.1	53280	-22	12.48
1	2015-11-07 22:26	6.39	96.1	25.95	1.43	-119.9	53230	-16	12.5
1	2015-11-07 22:28	6.38	96	25.95	1.47	-119.7	53280	-14	12.48
1	2015-11-07 22:30	6.37	95.9	25.95	1.51	-119.4	53260	-15	12.46
1	2015-11-07 22:32	6.37	95.8	25.94	1.55	-119.2	53290	-21	12.43
1	2015-11-07 22:34	6.36	95.6	25.94	1.58	-119	53340	-5	12.46
1	2015-11-07 22:36	6.36	95.7	25.94	1.61	-118.9	53320	-13	12.46
