SENS_ID	SDN	O2	O2satper	TC	VpH	pHinsitu	COND	ORP	Vbatt
1	2015-11-08 21:24	5.11	77.1	26.15	0.81	-123.5	53110	37	11.48
1	2015-11-08 21:26	5.35	80.6	26.14	1.05	-122.1	53180	41	11.44
1	2015-11-08 21:28	5.45	82.3	26.13	1.26	-120.9	53290	44	11.48
1	2015-11-08 21:30	5.52	83.2	26.12	1.45	-119.8	53270	47	11.48
1	2015-11-08 21:32	5.63	85	26.14	1.63	-118.8	53360	48	11.44
1	2015-11-08 21:34	5.69	85.8	26.14	1.8	-117.8	53320	50	11.44
1	2015-11-08 21:36	5.73	86.5	26.14	1.96	-116.9	53300	51	11.46
1	2015-11-08 21:38	5.72	86.4	26.13	2.11	-116	53290	52	11.46
1	2015-11-08 21:40	5.72	86.3	26.13	2.25	-115.2	53380	53	11.43
1	2015-11-08 21:42	5.75	86.7	26.14	2.39	-114.4	53330	54	11.43
1	2015-11-08 21:44	5.76	87	26.14	2.51	-113.7	53300	55	11.41
1	2015-11-08 21:46	5.74	86.7	26.13	2.63	-113	53340	56	11.41
1	2015-11-08 21:48	5.78	87.2	26.14	2.74	-112.4	53350	56	11.43
1	2015-11-08 21:50	5.78	87.2	26.13	2.85	-111.7	53310	57	11.41
1	2015-11-08 21:52	5.79	87.3	26.12	2.94	-111.2	53330	58	11.43
1	2015-11-08 21:54	5.77	87.1	26.13	3.04	-110.6	53370	58	11.43
1	2015-11-08 21:56	5.77	87	26.12	3.13	-110.1	53280	59	11.43
1	2015-11-08 21:58	5.78	87.2	26.12	3.21	-109.7	53320	59	11.41
1	2015-11-08 22:00	5.8	87.6	26.12	3.28	-109.2	53250	60	11.41
1	2015-11-08 22:02	5.82	87.8	26.12	3.36	-108.8	53270	60	11.29
1	2015-11-08 22:04	5.79	87.3	26.11	3.42	-108.4	53410	60	11.39
1	2015-11-08 22:06	5.79	87.3	26.11	3.49	-108	53310	60	11.41
