SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH
3	2015-11-10 19:42	25.39	64.2	8.44	103	7.75	277	11.04	-39.97
3	2015-11-10 19:44	26.82	54760	7	107.5	8.31	283	11.07	-73.19
3	2015-11-10 19:46	26.84	54820	7.16	110	8.31	256	11.07	-73.05
3	2015-11-10 19:48	26.85	54740	7.24	111.3	8.31	249	11.07	-72.88
3	2015-11-10 19:50	26.83	54740	7.29	112	8.3	248	11.05	-72.71
3	2015-11-10 19:52	26.83	54620	7.32	112.4	8.3	248	11.07	-72.51
3	2015-11-10 19:54	26.82	54760	7.31	112.2	8.3	247	11.05	-72.57
3	2015-11-10 19:56	26.84	54740	7.3	112.1	8.3	246	11.05	-72.46
3	2015-11-10 19:58	26.83	54780	7.28	111.9	8.3	247	11.04	-72.38
3	2015-11-10 20:00	26.82	54820	7.26	111.5	8.3	245	11.07	-72.3
3	2015-11-10 20:02	26.83	54840	7.24	111.2	8.3	245	11.05	-72.2
3	2015-11-10 20:04	26.83	54790	7.21	110.7	8.29	246	11.05	-72.18
3	2015-11-10 20:06	26.81	54830	7.18	110.3	8.29	246	11.05	-72.08
3	2015-11-10 20:08	26.8	54890	7.16	110	8.29	247	11.05	-71.97
3	2015-11-10 20:10	26.8	54800	7.13	109.5	8.29	247	11.05	-71.89
3	2015-11-10 20:12	26.81	54880	7.1	109	8.29	245	11.05	-71.78
3	2015-11-10 20:14	26.81	54650	7.09	108.8	8.29	246	11.04	-71.73
3	2015-11-10 20:16	26.8	54820	7.06	108.5	8.29	245	11.02	-71.68
3	2015-11-10 20:18	26.8	54830	7.05	108.2	8.28	246	11.05	-71.62
3	2015-11-10 20:20	26.79	54750	7.02	107.7	8.28	246	11.02	-71.42
3	2015-11-10 20:22	26.79	54680	6.99	107.2	8.28	246	11.05	-71.22
3	2015-11-10 20:24	26.78	54740	6.95	106.6	8.28	245	11.04	-71.23
3	2015-11-10 20:26	26.78	54790	6.91	106.1	8.28	246	11.04	-71.09
3	2015-11-10 20:28	26.78	54810	6.87	105.5	8.27	246	11.02	-71.01
3	2015-11-10 20:30	26.74	54750	6.82	104.6	8.27	249	11.02	-70.75
3	2015-11-10 20:32	26.74	54690	6.76	103.6	8.27	249	11.05	-70.48
3	2015-11-10 20:34	26.74	54820	6.72	103.1	8.27	248	11.05	-70.43
3	2015-11-10 20:36	26.73	54670	6.7	102.7	8.27	249	11.02	-70.48
3	2015-11-10 20:38	26.72	54650	6.67	102.2	8.27	248	11.04	-70.4
3	2015-11-10 20:40	26.72	54780	6.65	102	8.27	248	11.04	-70.37
3	2015-11-10 20:42	26.71	54750	6.65	101.8	8.27	249	11.02	-70.48
3	2015-11-10 20:44	26.71	54780	6.63	101.6	8.26	249	11.02	-70.37
3	2015-11-10 20:46	26.71	54920	6.61	101.3	8.26	248	11	-70.36
3	2015-11-10 20:48	26.7	54730	6.58	100.9	8.26	249	11.02	-70.3
