SENS_ID	SDN	O2	O2satper	TC	VpH	pHinsitu	COND	ORP	Vbatt
3	11/8/2015 14:44	8.56	107.4	25.87	-57.55	8.05	6045	225	11.02
3	11/8/2015 14:46	7	106.2	25.98	-56.26	8.04	54970	216	10.99
3	11/8/2015 14:48	6.97	107.2	26.89	-56.69	8.04	55080	198	11.02
3	11/8/2015 14:50	6.72	105.4	28.34	-57.7	8.09	53920	180	10.97
3	11/8/2015 14:52	6.44	98.9	26.9	-71.3	8.28	54330	176	11.02
3	11/8/2015 14:54	6.2	95.2	26.88	-69.46	8.25	54380	162	11
3	11/8/2015 14:56	6.12	94.1	26.95	-69.74	8.25	54340	151	11.04
3	11/8/2015 14:58	6.1	93.6	26.93	-69.44	8.25	54260	143	10.95
3	11/8/2015 15:00	6.09	93.4	26.9	-69.34	8.25	54310	136	10.99
3	11/8/2015 15:02	6.05	93	26.91	-68.96	8.24	54470	131	11.02
3	11/8/2015 15:04	6.05	92.9	26.92	-69.04	8.24	54350	128	11.02
3	11/8/2015 15:06	6.04	92.8	26.93	-69.09	8.24	54330	125	11.02
3	11/8/2015 15:08	6.05	93	26.96	-68.97	8.24	54430	122	11
3	11/8/2015 15:10	6.06	93.1	26.91	-68.84	8.24	54400	121	11.02
3	11/8/2015 15:12	6.07	93.2	26.91	-68.86	8.24	54450	119	11.02
3	11/8/2015 15:14	6.06	93.2	26.95	-68.84	8.24	54440	117	11.02
3	11/8/2015 15:16	6.07	93.2	26.94	-68.91	8.24	54400	117	11.04
3	11/8/2015 15:18	6.07	93.2	26.95	-68.88	8.24	54320	116	11
3	11/8/2015 15:20	6.07	93.3	26.95	-68.88	8.24	54390	115	11
3	11/8/2015 15:22	6.08	93.3	26.93	-68.9	8.24	54330	115	10.99
3	11/8/2015 15:24	6.08	93.4	26.95	-68.87	8.24	54290	114	10.99
3	11/8/2015 15:26	6.08	93.4	26.99	-68.8	8.24	54420	113	11
3	11/8/2015 15:28	6.12	94	26.96	-68.89	8.24	54420	113	11
3	11/8/2015 15:30	6.12	94.1	26.95	-68.87	8.24	54430	113	10.99
3	11/8/2015 15:32	6.16	94.7	26.96	-68.96	8.24	54330	113	11
3	11/8/2015 15:34	6.19	95.1	26.95	-68.9	8.24	54460	113	10.99
3	11/8/2015 15:36	6.21	95.4	26.94	-68.89	8.24	54450	113	10.99
3	11/8/2015 15:38	6.22	95.6	26.94	-68.84	8.24	54370	113	11.02
3	11/8/2015 15:40	6.25	95.9	26.93	-68.8	8.24	54360	112	11
3	11/8/2015 15:42	6.26	96.2	26.92	-68.79	8.24	54560	112	10.99
3	11/8/2015 15:44	6.28	96.4	26.91	-68.79	8.24	54370	111	11
3	11/8/2015 15:46	6.29	96.6	26.92	-68.8	8.24	54400	111	11
3	11/8/2015 15:48	6.3	96.7	26.93	-68.79	8.24	54440	111	10.99
3	11/8/2015 15:50	6.31	96.8	26.94	-68.82	8.24	54350	111	11
3	11/8/2015 15:52	6.3	96.8	26.95	-68.88	8.24	54390	111	11
3	11/8/2015 15:54	6.31	96.9	26.96	-68.97	8.24	54290	110	10.99
3	11/8/2015 15:56	6.32	97.1	26.99	-69.04	8.24	54390	110	10.99
3	11/8/2015 15:58	6.32	97.2	27	-69.26	8.24	54410	110	10.99
3	11/8/2015 16:00	6.34	97.4	26.96	-69.27	8.24	54420	110	11.02
3	11/8/2015 16:02	6.32	97.1	26.98	-69.19	8.24	54400	110	10.99
3	11/8/2015 16:04	6.33	97.2	26.97	-69.06	8.24	54320	110	11
3	11/8/2015 16:06	6.33	97.3	26.96	-69	8.24	54440	110	11.02
3	11/8/2015 16:08	6.35	97.5	26.97	-69.03	8.24	54420	110	10.99
3	11/8/2015 16:10	6.38	98	26.98	-69.14	8.24	54320	110	10.97
3	11/8/2015 16:12	6.38	98.1	26.96	-69.11	8.24	54460	110	10.99
3	11/8/2015 16:14	6.37	97.8	26.95	-68.97	8.24	54330	110	10.97
3	11/8/2015 16:16	6.36	97.7	26.95	-68.86	8.24	54400	110	11.02
3	11/8/2015 16:18	6.34	97.4	26.95	-68.8	8.24	54480	110	10.99
3	11/8/2015 16:20	6.35	97.5	26.94	-68.78	8.24	54420	110	10.99
3	11/8/2015 16:22	6.33	97.3	26.94	-68.75	8.24	54410	110	10.99
