Rise	Set	MaxIntensity
2010-24-10 18:06	2010-25-10 6:19	0.99
2010-25-10 18:55	2010-26-10 7:07	0.97
2010-26-10 19:47	2010-27-10 7:58	0.92
2010-27-10 20:41	2010-28-10 8:53	0.85
2010-28-10 21:37	2010-29-10 9:49	0.77
2010-29-10 22:32	2010-30-10 10:45	0.67
2010-30-10 23:27	2010-31-10 11:41	0.57
2010-01-11 00:19	2010-01-11 12:35	0.46
2010-02-11 01:10	2010-02-11 13:28	0.34
2010-03-11 01:59	2010-03-11 14:21	0.24
2010-04-11 02:48	2010-04-11 15:13	0.15
2010-05-11 03:37	2010-05-11 16:07	0.07
2010-06-11 04:28	2010-06-11 17:02	0.02
2010-07-11 05:22	2010-07-11 18:00	0
2010-08-11 06:18	2010-08-11 18:59	0.01
2010-09-11 07:16	2010-09-11 19:59	0.04
2010-11-11 08:14	2010-11-11 20:56	0.09
2010-11-11 09:11	2010-11-11 21:51	0.16
2010-12-11 10:04	2010-12-11 22:41	0.24
2010-13-11 10:55	2010-13-11 23:27	0.33
2010-14-11 11:42	2010-15-11 0:10	0.43
2010-15-11 12:26	2010-16-11 0:51	0.52
2010-16-11 13:08	2010-17-11 1:30	0.61
2010-17-11 13:50	2010-18-11 2:09	0.7
2010-18-11 14:32	2010-19-11 2:48	0.79
2010-19-11 15:15	2010-20-11 3:29	0.86
2010-20-11 16:00	2010-21-11 4:13	0.92
2010-21-11 16:48	2010-22-11 5:01	0.97
2010-22-11 17:40	2010-23-11 5:51	0.99
