DateTime	Wind	WaveHt	WavePd	Temperature	Rain	Cloud
2011-09-01 02:00	5.5	1.7	10	25	0	7
2011-09-01 05:00	5.5	1.8	10	25	0	14
2011-09-01 08:00	6.4	1.8	10	25	0	15
2011-09-01 11:00	6.5	1.9	10	25	0	27
2011-09-01 14:00	6.5	1.9	10	25	0	17
2011-09-01 17:00	5.7	1.9	10	25	0	6
2011-09-01 20:00	6.3	1.9	9	25	0	5
2011-09-01 23:00	6.1	1.9	9	25	0	0
2011-09-02 02:00	6.5	1.8	9	25	0	0
2011-09-02 05:00	5.6	1.8	9	25	0	0
2011-09-02 08:00	6	1.8	9	25	0	0
2011-09-02 11:00	6.5	1.8	9	25	0	0
2011-09-02 14:00	6.6	1.8	9	25	0	0
2011-09-02 17:00	5.4	1.8	9	25	0	13
2011-09-02 20:00	7.1	1.8	9	25	0	8
2011-09-02 23:00	6.8	1.8	9	25	0	9
2011-09-03 02:00	6.6	1.7	9	25	0	12
2011-09-03 05:00	6.4	1.7	9	25	0	10
2011-09-03 08:00	6.7	1.7	9	25	0	6
2011-09-03 11:00	6	1.6	9	25	0	0
2011-09-03 14:00	6.9	1.6	9	26	0	8
2011-09-03 17:00	6.4	1.6	9	26	0	12
2011-09-03 20:00	6.4	1.6	9	26	0	17
2011-09-03 23:00	7	1.6	9	26	0	54
2011-09-04 02:00	7.6	1.5	9	26	0	67
2011-09-04 05:00	7.9	1.5	11	26	0	29
2011-09-04 08:00	7.3	1.5	9	26	0	31
2011-09-04 11:00	7.1	1.6	9	25	0	25
2011-09-04 14:00	6.5	1.6	9	25	0.3	16
2011-09-04 17:00	6.9	1.6	9	25	1.5	32
2011-09-04 20:00	8	1.6	5	26	2	65
2011-09-04 23:00	8.4	1.7	6	26	0	69
2011-09-05 02:00	8.2	1.7	6	25	0	49
2011-09-05 05:00	7.7	1.7	6	26	0	76
2011-09-05 08:00	7.7	1.7	6	26	0	82
2011-09-05 11:00	7.2	1.7	6	26	0	98
2011-09-05 14:00	6	1.7	9	26	0	95
2011-09-05 17:00	4.1	1.7	10	26	0	33
2011-09-05 20:00	3.2	1.7	10	26	0	32
2011-09-05 23:00	3.8	1.8	16	25	0	22
2011-09-06 02:00	3.4	2.1	16	25	0	19
2011-09-06 05:00	3.4	2.3	16	25	0	19
2011-09-06 08:00	2.6	2.6	16	25	0	14
2011-09-06 11:00	2.9	2.8	15	25	0	9
2011-09-06 14:00	2.3	2.9	15	25	0	0
2011-09-06 17:00	1.8	3	15	25	0	0
2011-09-06 20:00	1.2	3	15	25	0	0
2011-09-06 23:00	1.6	2.9	15	25	0	0
2011-09-07 02:00	2	2.9	15	25	0	0
2011-09-07 05:00	3.4	2.9	14	25	0	0
2011-09-07 08:00	3.6	2.8	14	25	0	0
2011-09-07 11:00	3.6	2.8	14	25	0	0
2011-09-07 14:00	3.5	2.9	14	25	0	0
2011-09-07 17:00	1.4	2.9	14	25	0	0
2011-09-07 20:00	3.3	2.9	14	25	0	0
2011-09-07 23:00	5	2.9	14	25	0	0
2011-09-08 02:00	5	2.9	14	25	0	0
2011-09-08 05:00	4.9	2.8	14	25	0	0
2011-09-08 08:00	4.9	2.8	14	25	0	0
2011-09-08 11:00	5.3	2.7	13	26	0	0
2011-09-08 14:00	5.5	2.7	13	26	0	0
2011-09-08 17:00	5.8	2.6	13	26	0	0
2011-09-08 20:00	7.4	2.6	13	25	0	0
2011-09-08 23:00	8.8	2.6	13	25	0	11
2011-09-09 02:00	8.9	2.5	13	25	0	30
2011-09-09 05:00	7.5	2.5	13	25	0	7
2011-09-09 08:00	8.3	2.5	12	25	0	23
2011-09-09 11:00	10.3	2.6	12	26	0	16
2011-09-09 14:00	9.3	2.6	12	26	0.3	10
2011-09-09 17:00	6.2	2.6	12	26	0	30
2011-09-09 20:00	7.7	2.6	12	26	0	33
2011-09-09 23:00	8.7	2.6	12	26	0	24
2011-09-10 02:00	8	2.5	12	26	0	15
2011-09-10 05:00	6.2	2.5	12	26	0	13
2011-09-10 08:00	6.7	2.5	12	26	0	7
2011-09-10 11:00	7.9	2.5	12	26	0	0
2011-09-10 14:00	7.4	2.5	12	26	0	0
2011-09-10 17:00	6.6	2.5	12	26	0	0
2011-09-10 20:00	7.4	2.5	12	26	0	0
2011-09-10 23:00	7.6	2.5	12	26	0	0
2011-09-11 02:00	7.4	2.5	12	26	0	6
2011-09-11 05:00	6.4	2.5	11	25	0	0
2011-09-11 08:00	6.2	2.5	10	26	0	9
2011-09-11 11:00	5.8	2.5	9	26	0	5
2011-09-11 14:00	6.6	2.4	9	26	0	0
2011-09-11 17:00	4.6	2.3	9	26	0	0
2011-09-11 20:00	5.1	2.2	9	26	0	0
2011-09-11 23:00	5.5	2.2	9	26	0.3	0
2011-09-12 02:00	6	2.1	9	26	0	10
2011-09-12 05:00	5.6	2	9	26	0	17
2011-09-12 08:00	5.8	2	9	26	0	9
2011-09-12 11:00	5.8	1.9	9	26	0	0
2011-09-12 14:00	5.6	1.9	9	26	0	0
2011-09-12 17:00	4.6	1.9	9	26	0	8
2011-09-12 20:00	3.7	1.9	9	26	0	11
