
TimeTAHT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br />
12:00 AM,77.0,68.0,74,30.06,6.2,ESE,3.5,-,N/A,,Scattered Clouds,110,2011-09-10 10:00:00<br />
1:00 AM,75.2,68.0,78,30.04,6.2,Variable,1.2,-,N/A,,Partly Cloudy,0,2011-09-10 11:00:00<br />
2:00 AM,75,67,69,30.03,16,SSE,2.3,,,,Scattered Clouds,160,2011-09-10 12:00:00<br />
2:00 AM,75.2,66.2,73,30.01,6.2,Variable,2.3,-,N/A,,Partly Cloudy,0,2011-09-10 12:00:00<br />
3:00 AM,75.2,66.2,73,30.01,6.2,Variable,3.5,-,N/A,,Partly Cloudy,0,2011-09-10 13:00:00<br />
3:30 AM,75.2,66.2,73,30.01,6.2,Variable,2.3,-,N/A,,Mostly Cloudy,0,2011-09-10 13:30:00<br />
4:00 AM,75.2,68.0,78,30.01,6.2,Calm,Calm,-,N/A,Rain,Light Rain,0,2011-09-10 14:00:00<br />
4:30 AM,75.2,68.0,78,30.01,6.2,South,3.5,-,N/A,,Partly Cloudy,170,2011-09-10 14:30:00<br />
5:00 AM,75,67,69,30.03,37,SSE,13.4,,,,Clear,150,2011-09-10 15:00:00<br />
5:00 AM,75.2,66.2,73,30.01,6.2,SSE,6.9,-,N/A,,Partly Cloudy,150,2011-09-10 15:00:00<br />
5:30 AM,75.2,68.0,78,30.01,6.2,Variable,2.3,-,N/A,,Scattered Clouds,0,2011-09-10 15:30:00<br />
6:00 AM,75.2,66.2,73,30.04,6.2,Variable,3.5,-,N/A,,Scattered Clouds,0,2011-09-10 16:00:00<br />
7:00 AM,77.0,66.2,69,30.06,6.2,Variable,1.2,-,N/A,,Scattered Clouds,0,2011-09-10 17:00:00<br />
8:00 AM,79,69,63,30.08,16,South,5.8,,,,Partly Cloudy,190,2011-09-10 18:00:00<br />
8:00 AM,78.8,68.0,69,30.06,6.2,South,5.8,-,N/A,,Scattered Clouds,190,2011-09-10 18:00:00<br />
9:00 AM,80.6,68.0,65,30.06,6.2,WSW,4.6,-,N/A,,Mostly Cloudy,250,2011-09-10 19:00:00<br />
10:00 AM,82.4,68.0,62,30.06,6.2,NE,5.8,-,N/A,,Mostly Cloudy,40,2011-09-10 20:00:00<br />
10:28 AM,80.6,66.2,61,30.06,6.2,Variable,9.2,25.3,N/A,,Mostly Cloudy,0,2011-09-10 20:28:00<br />
11:00 AM,82,70,60,30.06,16,NE,20.1,,,,Mostly Cloudy,50,2011-09-10 21:00:00<br />
11:00 AM,82.4,69.8,66,30.06,6.2,NE,10.4,-,N/A,,Mostly Cloudy,50,2011-09-10 21:00:00<br />
12:00 PM,82.4,66.2,58,30.04,6.2,ENE,12.7,-,N/A,,Mostly Cloudy,60,2011-09-10 22:00:00<br />
1:00 PM,82.4,64.4,54,30.01,6.2,ENE,5.8,-,N/A,,Mostly Cloudy,60,2011-09-10 23:00:00<br />
2:00 PM,83,70,57,30.00,12,NE,17.9,,,,Mostly Cloudy,40,2011-09-11 00:00:00<br />
2:00 PM,82.4,69.8,66,29.98,6.2,NE,9.2,-,N/A,,Mostly Cloudy,40,2011-09-11 00:00:00<br />
3:00 PM,82.4,66.2,58,29.98,6.2,Variable,6.9,-,N/A,,Mostly Cloudy,0,2011-09-11 01:00:00<br />
4:00 PM,82.4,68.0,62,29.98,6.2,SSW,8.1,-,N/A,,Scattered Clouds,210,2011-09-11 02:00:00<br />
5:00 PM,83,68,52,29.99,19,South,6.9,,,,Scattered Clouds,170,2011-09-11 03:00:00<br />
5:00 PM,82.4,68.0,62,29.98,6.2,South,6.9,-,N/A,,Partly Cloudy,170,2011-09-11 03:00:00<br />
6:00 PM,80.6,66.2,61,30.01,6.2,SSW,9.2,-,N/A,,Partly Cloudy,200,2011-09-11 04:00:00<br />
7:00 PM,78.8,69.8,74,30.01,6.2,SW,4.6,-,N/A,,Partly Cloudy,230,2011-09-11 05:00:00<br />
8:00 PM,78,68,63,30.03,12,SSE,6.7,,,,Scattered Clouds,150,2011-09-11 06:00:00<br />
8:00 PM,77.0,68.0,74,30.01,6.2,SSE,3.5,-,N/A,,Partly Cloudy,150,2011-09-11 06:00:00<br />
9:00 PM,75.2,66.2,73,30.01,6.2,East,3.5,-,N/A,,Partly Cloudy,90,2011-09-11 07:00:00<br />
10:00 PM,75.2,66.2,73,30.01,6.2,Variable,2.3,-,N/A,,Partly Cloudy,0,2011-09-11 08:00:00<br />
11:00 PM,74,67,71,30.01,12,NE,3.5,,,,Scattered Clouds,50,2011-09-11 09:00:00<br />
11:00 PM,73.4,66.2,78,30.01,6.2,NE,3.5,-,N/A,,Partly Cloudy,50,2011-09-11 09:00:00<br />
