SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	COVER
1	9/5/11 11:55	22.48	197.4	7.79	90	8.03	184	11	-89.76	Algae
1	9/5/11 12:00	22.64	198.7	7.73	89.6	8.02	190	11.02	-89.2	Algae
1	9/5/11 12:05	22.81	199.1	7.71	89.6	8.01	193	11	-88.8	Algae
1	9/5/11 12:10	22.95	199.6	7.68	89.5	8	196	11.02	-88.36	Algae
1	9/5/11 12:15	23.32	203.6	7.71	90.5	8	195	11.04	-88.5	Algae
1	9/5/11 12:20	23.61	203.7	7.7	90.8	7.99	196	11.05	-87.88	Algae
1	9/5/11 12:25	23.98	204.1	7.67	91.1	7.97	196	11.07	-86.73	Algae
1	9/5/11 12:30	24.35	204.4	7.66	91.6	7.95	196	11.05	-85.85	Algae
1	9/5/11 12:35	24.67	204.9	7.67	92.3	7.93	195	11.07	-84.67	Algae
1	9/5/11 12:40	25.07	204.8	7.66	92.8	7.92	194	11.07	-84.16	Algae
1	9/5/11 12:45	25.38	205	7.64	93.2	7.9	193	11.09	-83.41	Algae
1	9/5/11 12:50	25.91	205.3	7.65	94.3	7.89	192	11.05	-82.77	Algae
1	9/5/11 12:55	26.25	205.7	7.68	95.1	7.88	190	11.1	-82.43	Algae
1	9/5/11 13:00	26.49	231.5	7.66	95.3	7.88	189	11.05	-82.12	Algae
1	9/5/11 13:05	26.66	242.2	7.66	95.6	7.87	188	11.09	-81.69	Algae
1	9/5/11 13:10	26.98	55000	7.15	110.1	7.99	225	11.07	-88.28	Algae
1	9/5/11 13:15	26.95	54880	7.23	111.1	7.99	218	11.02	-88.32	Algae
1	9/5/11 13:20	26.98	55040	7.25	111.6	7.98	211	11	-87.95	Algae
1	9/5/11 13:25	27.01	55200	7.32	112.8	7.98	205	11.04	-87.89	Algae
1	9/5/11 13:30	27.21	54750	7.37	113.7	7.98	199	10.99	-87.78	Algae
1	9/5/11 13:35	27.18	54950	7.39	114.1	7.97	195	11.02	-87.71	Algae
1	9/5/11 13:40	27.24	54990	7.43	114.8	7.97	190	10.99	-87.7	Algae
1	9/5/11 13:45	27.29	54930	7.48	115.7	7.98	187	11.02	-87.77	Algae
1	9/5/11 13:50	27.25	54890	7.56	116.8	7.98	184	10.99	-88.05	Algae
1	9/5/11 13:55	27.29	54870	7.59	117.3	7.98	181	10.97	-88.04	Algae
1	9/5/11 14:00	27.24	55060	7.62	117.8	7.98	178	10.97	-88.03	Algae
1	9/5/11 14:05	27.21	54990	7.65	118.1	7.98	176	10.99	-88.1	Algae
1	9/5/11 14:10	27.28	54970	7.58	117.2	7.98	175	10.99	-87.94	Algae
1	9/5/11 14:15	27.22	54600	7.62	117.6	7.98	173	10.95	-87.95	Algae
1	9/5/11 14:20	27.2	54880	7.79	120.2	7.99	171	10.97	-88.32	Algae
1	9/5/11 14:25	27.26	55010	7.63	117.9	7.98	170	10.97	-88.11	Algae
1	9/5/11 14:30	27.27	54990	7.63	118	7.98	169	10.93	-87.94	Algae
1	9/5/11 14:35	27.33	55010	7.67	118.7	7.99	168	10.95	-88.39	Algae
1	9/5/11 14:40	27.35	54690	7.73	119.5	7.98	167	10.93	-88.2	Algae
1	9/5/11 14:45	27.32	54900	7.73	119.6	7.98	166	10.95	-88.07	Algae
1	9/5/11 14:50	27.33	55000	7.78	120.5	7.98	164	10.93	-88.25	Algae
1	9/5/11 14:55	27.34	55010	7.76	120.1	7.99	164	10.93	-88.45	Algae
1	9/5/11 15:00	27.36	54830	7.66	118.6	7.98	163	10.95	-88.16	Algae
1	9/5/11 15:05	27.28	54970	7.71	119.2	7.98	162	10.92	-88.12	Algae
1	9/5/11 15:10	27.34	55000	7.66	118.6	7.98	161	10.95	-87.81	Algae
1	9/5/11 15:15	27.32	54910	7.73	119.6	7.98	160	10.93	-87.94	Algae
1	9/5/11 15:20	27.34	54910	7.71	119.4	7.98	160	10.92	-88.21	Algae
1	9/5/11 15:25	27.33	54910	7.62	117.9	7.98	159	10.9	-88.02	Algae
1	9/5/11 15:30	27.25	55070	7.66	118.4	7.99	159	10.78	-88.32	Algae
1	9/5/11 15:35	27.27	55020	7.68	118.7	7.98	158	10.92	-88.28	Algae
1	9/5/11 15:40	27.22	54880	7.53	116.2	7.98	158	10.9	-87.93	Algae
1	9/5/11 15:45	27.2	54920	7.53	116.2	7.98	157	10.9	-87.95	Algae
1	9/5/11 15:50	27.17	55020	7.54	116.4	7.98	157	10.88	-88.17	Algae
1	9/5/11 15:55	27.13	54960	7.47	115.2	7.98	157	10.88	-87.97	Algae
1	9/5/11 16:00	27.1	55000	7.37	113.6	7.97	156	10.9	-87.59	Algae
1	9/5/11 16:05	27.11	55020	7.3	112.6	7.98	156	10.9	-87.78	Algae
1	9/5/11 16:10	27.07	54930	7.28	112.2	7.97	156	10.88	-87.6	Algae
1	9/5/11 16:15	27.07	55010	7.3	112.6	7.98	155	10.87	-87.72	Algae
1	9/5/11 16:20	27.03	55020	7.25	111.7	7.97	155	10.88	-87.53	Algae
1	9/5/11 16:25	26.99	55020	7.13	109.8	7.97	155	10.87	-87.35	Algae
1	9/5/11 16:30	27.01	54920	7.03	108.3	7.97	155	10.85	-87.2	Algae
1	9/5/11 16:35	26.97	54990	6.94	106.8	7.96	154	10.88	-87.06	Algae
1	9/5/11 16:40	26.96	55000	6.85	105.4	7.96	154	10.88	-86.73	Algae
1	9/5/11 16:45	26.96	55010	6.83	105.1	7.96	154	10.88	-86.8	Algae
1	9/5/11 16:50	26.95	54940	6.73	103.5	7.95	153	10.83	-86.49	Algae
1	9/5/11 16:55	26.95	55040	6.68	102.7	7.95	153	10.88	-86.28	Algae
1	9/5/11 17:00	26.92	54930	6.63	101.8	7.95	153	10.83	-86.28	Algae
1	9/5/11 17:05	26.93	55010	6.57	101	7.95	152	10.88	-86.24	Algae
1	9/5/11 17:10	26.91	54940	6.52	100.2	7.95	152	10.83	-86.16	Algae
1	9/5/11 17:15	26.89	54930	6.47	99.4	7.94	152	10.87	-86.01	Algae
1	9/5/11 17:20	26.89	54970	6.4	98.4	7.94	152	10.85	-85.92	Algae
1	9/5/11 17:25	26.87	54920	6.4	98.3	7.94	151	10.83	-85.95	Algae
1	9/5/11 17:30	26.83	55010	6.35	97.6	7.94	151	10.85	-85.76	Algae
1	9/5/11 17:35	26.82	54960	6.28	96.4	7.94	151	10.83	-85.55	Algae
1	9/5/11 17:40	26.81	55100	6.18	94.9	7.94	151	10.83	-85.51	Algae
1	9/5/11 17:45	26.81	54910	6.13	94.1	7.93	151	10.85	-85.4	Algae
1	9/5/11 17:50	26.79	55010	6.05	92.7	7.93	151	10.85	-85.25	Algae
1	9/5/11 17:55	26.77	54930	5.98	91.7	7.93	150	10.85	-84.92	Algae
1	9/5/11 18:00	26.79	54940	5.93	91	7.93	150	10.83	-85	Algae
1	9/5/11 18:05	26.78	54970	5.86	89.8	7.93	150	10.82	-84.9	Algae
1	9/5/11 18:10	26.77	55050	5.83	89.4	7.92	150	10.83	-84.58	Algae
1	9/5/11 18:15	26.77	54980	5.74	88	7.91	150	10.82	-84.28	Algae
1	9/5/11 18:20	26.77	54940	5.68	87	7.92	149	10.82	-84.37	Algae
1	9/5/11 18:25	26.77	54960	5.67	87	7.91	149	10.82	-84.21	Algae
1	9/5/11 18:30	26.77	54950	5.59	85.6	7.91	149	10.82	-84.17	Algae
1	9/5/11 18:35	26.76	54960	5.55	85.1	7.91	149	10.82	-83.94	Algae
1	9/5/11 18:40	26.75	54960	5.54	84.9	7.91	149	10.83	-84.01	Algae
1	9/5/11 18:45	26.75	55010	5.54	85	7.91	148	10.83	-83.93	Algae
1	9/5/11 18:50	26.74	54930	5.49	84.1	7.9	148	10.8	-83.76	Algae
1	9/5/11 18:55	26.72	55100	5.47	83.9	7.9	148	10.83	-83.74	Algae
1	9/5/11 19:00	26.72	54940	5.42	83.1	7.9	148	10.82	-83.72	Algae
1	9/5/11 19:05	26.71	54980	5.37	82.2	7.9	146	10.8	-83.6	Algae
