Rise	Set	MaxIntensity
2011-01-09 08:43	2011-01-09 21:53	0.2
2011-02-09 09:33	2011-02-09 22:55	0.3
2011-03-09 10:27	2011-03-09 23:56	0.41
2011-04-09 11:23	2011-05-09 00:55	0.52
2011-05-09 12:20	2011-06-09 01:49	0.63
2011-06-09 13:17	2011-07-09 02:39	0.73
2011-07-09 14:13	2011-08-09 03:24	0.81
2011-08-09 15:07	2011-09-09 04:05	0.89
2011-09-09 15:58	2011-10-09 04:43	0.94
2011-10-09 16:48	2011-11-09 05:19	0.98
2011-11-09 17:36	2011-12-09 05:55	1
2011-12-09 18:23	2011-13-09 06:30	1
2011-13-09 19:11	2011-14-09 07:06	0.98
2011-14-09 20:00	2011-15-09 07:44	0.94
2011-15-09 20:49	2011-16-09 08:24	0.89
2011-16-09 21:39	2011-17-09 09:07	0.83
2011-17-09 22:30	2011-18-09 09:54	0.75
2011-18-09 23:22	2011-19-09 10:43	0.66
2011-20-09 00:14	2011-20-09 11:36	0.56
2011-21-09 01:04	2011-21-09 12:32	0.46
2011-22-09 01:53	2011-22-09 13:29	0.36
