SENS_ID	SDN	O2	O2satper	TC	pHinsitu	VpH	COND	PSAL	ORP	Vbatt
1	4/14/15 16:00	6.25	96.1	26.76	8.23	-101.6	55680	36.9	138	12.38
1	4/14/15 16:15	6.25	96.2	26.77	8.23	-101.8	55610	36.85	144	12.36
1	4/14/15 16:30	6.24	95.8	26.75	8.23	-101.5	55570	36.82	149	12.34
1	4/14/15 16:45	6.23	95.8	26.77	8.23	-101.2	55580	36.83	152	12.31
1	4/14/15 17:00	6.22	95.6	26.77	8.23	-101	55700	36.91	155	12.31
1	4/14/15 17:15	6.21	95.6	26.79	8.23	-100.7	55680	36.9	158	12.31
1	4/14/15 17:30	6.17	94.9	26.8	8.23	-100.4	55580	36.83	160	12.28
1	4/14/15 17:45	6.13	94.3	26.8	8.23	-100	55660	36.89	161	12.26
1	4/14/15 18:00	6.12	94.2	26.81	8.23	-99.85	55670	36.9	163	12.21
1	4/14/15 18:15	6.05	93	26.8	8.23	-99.35	55610	36.85	164	12.24
1	4/14/15 18:30	6.01	92.5	26.81	8.23	-99	55650	36.88	166	12.21
1	4/14/15 18:45	5.92	91.1	26.81	8.23	-98.54	55610	36.85	166	12.21
1	4/14/15 19:00	5.85	90	26.8	8.23	-98.17	55660	36.89	167	12.17
1	4/14/15 19:15	5.88	90.4	26.8	8.23	-98.1	55510	36.77	169	12.19
1	4/14/15 19:30	5.9	90.7	26.79	8.23	-98.05	55500	36.76	170	12.17
1	4/14/15 19:45	5.89	90.6	26.78	8.23	-97.85	55560	36.81	171	12.17
1	4/14/15 20:00	5.93	91.1	26.75	8.23	-97.84	55650	36.88	172	12.12
1	4/14/15 20:15	6	92.2	26.74	8.23	-98.05	55660	36.88	173	12.12
1	4/14/15 20:30	5.92	90.9	26.74	8.23	-97.6	55550	36.81	175	12.11
1	4/14/15 20:45	5.88	90.4	26.73	8.23	-97.45	55620	36.86	175	12.11
1	4/14/15 21:00	5.9	90.7	26.73	8.23	-97.54	55640	36.87	176	12.07
1	4/14/15 21:15	5.94	91.2	26.72	8.23	-97.46	55630	36.87	176	12.07
1	4/14/15 21:30	5.84	89.8	26.72	8.23	-97.17	55660	36.89	177	12.09
1	4/14/15 21:45	5.94	91.2	26.72	8.23	-97.5	55580	36.83	177	12.04
1	4/14/15 22:00	5.84	89.8	26.72	8.23	-97.14	55570	36.82	178	12.06
1	4/14/15 22:15	5.92	90.9	26.72	8.23	-97.28	55490	36.76	178	12.06
1	4/14/15 22:30	5.87	90.2	26.71	8.23	-97.04	55630	36.87	179	12.04
1	4/14/15 22:45	5.76	88.5	26.72	8.23	-96.64	55620	36.86	179	12.04
1	4/14/15 23:00	5.8	89	26.7	8.23	-96.32	55590	36.84	179	12
1	4/14/15 23:15	5.8	89.1	26.7	8.23	-96.24	55680	36.9	179	12
1	4/14/15 23:30	5.71	87.7	26.7	8.23	-95.92	55570	36.82	179	11.99
1	4/14/15 23:45	5.69	87.4	26.69	8.23	-96.06	55700	36.92	179	11.99
1	4/15/15 0:00	5.67	87.1	26.69	8.23	-95.9	55580	36.83	179	11.99
1	4/15/15 0:15	5.7	87.6	26.69	8.23	-95.93	55640	36.88	180	11.99
1	4/15/15 0:30	5.61	86.1	26.7	8.23	-95.67	55590	36.83	180	11.95
1	4/15/15 0:45	5.71	87.7	26.69	8.23	-96.08	55610	36.85	180	11.94
