SENS_ID	SDN	O2	O2satper	TC	pHinsitu	ORP	COND	PSAL	VpH	Vbatt
1	5/7/15 11:00	5.82	93.7	26.8	8.09	199	58430	38.97	-87.87	11.17
1	5/7/15 11:15	5.94	95.6	26.81	8.13	187	58500	39.02	-89.82	11.61
1	5/7/15 11:30	5.94	95.7	26.82	8.14	186	58410	38.95	-90.24	11.56
1	5/7/15 11:45	5.92	95.3	26.82	8.14	187	58510	39.03	-90.35	11.58
1	5/7/15 12:00	5.93	95.4	26.83	8.14	187	58430	38.97	-90.54	11.61
1	5/7/15 12:15	5.96	96.1	26.84	8.14	188	58560	39.07	-90.71	11.56
1	5/7/15 12:30	5.94	95.7	26.84	8.15	188	58490	39.02	-90.87	11.51
1	5/7/15 12:45	5.96	96	26.84	8.15	189	58520	39.03	-90.99	11.58
1	5/7/15 13:00	5.96	96	26.84	8.15	189	58410	38.95	-90.99	11.55
1	5/7/15 13:15	5.98	96.3	26.85	8.15	189	58450	38.98	-91.04	11.6
1	5/7/15 13:30	5.96	96	26.85	8.15	190	58460	38.99	-91.12	11.6
1	5/7/15 13:45	5.98	96.3	26.86	8.15	190	58390	38.93	-91.06	11.6
1	5/7/15 14:00	5.97	96.2	26.85	8.15	190	58440	38.98	-91.28	11.6
1	5/7/15 14:15	5.95	96	26.86	8.15	191	58520	39.03	-91.24	11.6
1	5/7/15 14:30	5.97	96.2	26.87	8.16	191	58540	39.05	-91.47	11.58
1	5/7/15 14:45	5.97	96.1	26.87	8.16	191	58380	38.93	-91.29	11.58
1	5/7/15 15:00	5.97	96.2	26.88	8.16	191	58560	39.06	-91.3	11.61
1	5/7/15 15:15	5.99	96.4	26.88	8.16	191	58380	38.93	-91.44	11.58
1	5/7/15 15:30	5.94	95.7	26.89	8.15	192	58440	38.98	-91.2	11.6
1	5/7/15 15:45	5.93	95.5	26.89	8.16	192	58490	39.01	-91.51	11.6
1	5/7/15 16:00	5.93	95.6	26.9	8.16	192	58390	38.93	-91.48	11.6
1	5/7/15 16:15	5.91	95.2	26.9	8.15	192	58340	38.9	-91.27	11.63
1	5/7/15 16:30	5.87	94.7	26.88	8.15	192	58530	39.04	-91.24	11.56
1	5/7/15 16:45	5.84	94.1	26.87	8.15	192	58430	38.97	-91.11	11.6
1	5/7/15 17:00	5.81	93.6	26.86	8.15	192	58440	38.98	-91	11.58
1	5/7/15 17:15	5.79	93.3	26.85	8.15	193	58460	38.99	-90.98	11.6
1	5/7/15 17:30	5.78	93.2	26.86	8.15	193	58670	39.15	-90.91	11.61
1	5/7/15 17:45	5.71	92	26.85	8.14	194	58460	38.99	-90.71	11.58
1	5/7/15 18:00	5.71	92	26.85	8.15	195	58510	39.03	-90.76	11.61
1	5/7/15 18:15	5.64	90.8	26.84	8.14	196	58490	39.01	-90.47	11.63
1	5/7/15 18:30	5.63	90.6	26.84	8.14	196	58500	39.02	-90.46	11.63
1	5/7/15 18:45	5.59	90.1	26.83	8.14	196	58570	39.07	-90.34	11.58
1	5/7/15 19:00	5.57	89.7	26.83	8.14	196	58520	39.04	-90.26	11.61
1	5/7/15 19:15	5.56	89.6	26.83	8.14	197	58450	38.98	-90.36	11.63
1	5/7/15 19:30	5.56	89.5	26.83	8.13	197	58500	39.02	-90.15	11.58
1	5/7/15 19:45	5.52	89	26.82	8.13	197	58580	39.08	-90.1	11.56
1	5/7/15 20:00	5.58	89.9	26.82	8.14	198	58430	38.97	-90.31	11.61
1	5/7/15 20:15	5.55	89.4	26.82	8.13	198	58480	39.01	-90.09	11.58
1	5/7/15 20:30	5.53	89	26.82	8.14	198	58420	38.96	-90.16	11.6
1	5/7/15 20:45	5.53	89	26.81	8.14	199	58470	39	-90.17	11.58
1	5/7/15 21:00	5.56	89.5	26.81	8.14	199	58480	39.01	-90.18	11.61
1	5/7/15 21:15	5.57	89.8	26.81	8.14	199	58500	39.02	-90.36	11.6
1	5/7/15 21:30	5.56	89.5	26.81	8.13	199	58520	39.04	-90.15	11.61
1	5/7/15 21:45	5.59	90	26.8	8.14	199	58360	38.92	-90.29	11.61
1	5/7/15 22:00	5.61	90.3	26.8	8.14	199	58380	38.93	-90.37	11.58
1	5/7/15 22:15	5.55	89.3	26.79	8.13	200	58420	38.96	-90.11	11.56
1	5/7/15 22:30	5.6	90.1	26.79	8.14	200	58460	38.99	-90.25	11.58
1	5/7/15 22:45	5.6	90.1	26.8	8.14	200	58390	38.94	-90.35	11.6
1	5/7/15 23:00	5.57	89.6	26.79	8.14	200	58510	39.03	-90.25	11.56
1	5/7/15 23:15	5.54	89.1	26.79	8.13	200	58550	39.06	-90.03	11.63
1	5/7/15 23:30	5.52	88.8	26.78	8.13	200	58470	39	-90.01	11.6
1	5/7/15 23:45	5.53	88.9	26.78	8.13	200	58460	38.99	-89.99	11.58
1	5/8/15 0:00	5.51	88.6	26.78	8.13	200	58480	39.01	-89.95	11.55
1	5/8/15 0:15	5.5	88.5	26.78	8.13	200	58510	39.03	-89.89	11.61
1	5/8/15 0:30	5.54	89	26.77	8.13	201	58380	38.93	-90.03	11.63
1	5/8/15 0:45	5.52	88.8	26.77	8.13	201	58590	39.09	-89.96	11.55
1	5/8/15 1:00	5.52	88.8	26.76	8.13	201	58370	38.92	-89.81	11.58
1	5/8/15 1:15	5.51	88.7	26.76	8.13	201	58490	39.02	-89.76	11.6
1	5/8/15 1:30	5.46	87.9	26.76	8.13	201	58500	39.02	-89.71	11.6
1	5/8/15 1:45	5.48	88.1	26.76	8.13	201	58380	38.93	-89.94	11.55
1	5/8/15 2:00	5.5	88.4	26.77	8.13	202	58470	39	-89.93	11.56
1	5/8/15 2:15	5.5	88.6	26.77	8.13	202	58570	39.08	-89.98	11.61
1	5/8/15 2:30	5.52	88.7	26.77	8.13	202	58430	38.97	-90.13	11.56
1	5/8/15 2:45	5.58	89.8	26.76	8.14	202	58540	39.06	-90.23	11.51
1	5/8/15 3:00	5.55	89.3	26.76	8.14	203	58460	38.99	-90.19	11.58
1	5/8/15 3:15	5.51	88.7	26.77	8.14	203	58540	39.06	-90.15	11.6
