SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	FLUOR
1	11/4/10 10:00	25.58	52920	5.93	88.5	7.94	190	12.21	-64.7	NaN
1	11/4/10 10:05	25.58	52940	5.9	88	7.94	188	12.21	-64.51	NaN
1	11/4/10 10:10	25.57	52890	5.87	87.5	7.93	187	12.21	-64.03	NaN
1	11/4/10 10:15	25.57	52910	5.85	87.2	7.93	185	12.17	-63.97	NaN
1	11/4/10 10:20	25.58	52860	5.81	86.6	7.93	184	12.17	-64.02	NaN
1	11/4/10 10:25	25.58	52930	5.84	87.1	7.93	183	12.21	-64.02	NaN
1	11/4/10 10:30	25.59	52870	5.92	88.2	7.93	183	12.19	-64.31	NaN
1	11/4/10 10:35	25.6	52860	5.97	89	7.93	182	12.16	-64.49	NaN
1	11/4/10 10:40	25.59	52960	5.98	89.1	7.94	181	12.16	-64.61	NaN
1	11/4/10 10:45	25.6	52790	6.03	89.9	7.94	181	12.17	-64.7	NaN
1	11/4/10 10:50	25.6	52930	6.03	90	7.94	181	12.14	-64.69	NaN
1	11/4/10 10:55	25.61	52860	6.07	90.5	7.94	180	12.16	-64.85	NaN
1	11/4/10 11:00	25.6	52910	6.07	90.5	7.94	180	12.16	-65.01	NaN
1	11/4/10 11:05	25.61	52950	6.09	90.9	7.95	180	12.17	-65.19	NaN
1	11/4/10 11:10	25.6	52890	6.09	90.9	7.95	180	12.17	-65.11	NaN
1	11/4/10 11:15	25.6	52880	6.12	91.2	7.95	179	12.16	-65.13	NaN
1	11/4/10 11:20	25.59	52920	6.2	92.4	7.95	180	12.12	-65.55	NaN
1	11/4/10 11:25	25.59	52950	6.25	93.2	7.96	180	12.12	-65.86	NaN
1	11/4/10 11:30	25.59	52940	6.31	94.1	7.96	180	12.11	-66.12	NaN
1	11/4/10 11:35	25.58	52960	6.33	94.4	7.97	180	12.12	-66.35	NaN
1	11/4/10 11:40	25.58	52940	6.34	94.5	7.97	179	12.12	-66.35	NaN
1	11/4/10 11:45	25.6	52940	6.37	94.9	7.97	179	12.12	-66.53	NaN
1	11/4/10 11:50	25.58	52740	6.39	95.1	7.97	179	12.12	-66.4	NaN
1	11/4/10 11:55	25.57	52980	6.35	94.6	7.97	179	12.12	-66.44	NaN
1	11/4/10 12:00	25.58	52930	6.4	95.4	7.97	179	12.14	-66.51	NaN
1	11/4/10 12:05	25.57	52990	6.42	95.8	7.97	179	12.11	-66.59	NaN
1	11/4/10 12:10	25.57	52910	6.45	96	7.97	178	12.14	-66.71	NaN
1	11/4/10 12:15	25.56	53020	6.44	96.1	7.97	179	12.12	-66.7	NaN
1	11/4/10 12:20	25.57	52960	6.45	96.2	7.97	178	12.11	-66.73	NaN
1	11/4/10 12:25	25.57	52950	6.46	96.2	7.98	179	12.09	-67.05	NaN
1	11/4/10 12:30	25.56	52860	6.44	95.9	7.99	184	12.11	-67.52	NaN
1	11/4/10 12:35	25.55	52990	6.45	96.1	7.99	187	12.11	-67.68	NaN
1	11/4/10 12:40	25.56	52940	6.47	96.4	7.99	190	12.11	-67.86	NaN
1	11/4/10 12:45	25.56	52880	6.43	95.8	7.99	192	12.11	-67.88	NaN
1	11/4/10 12:50	25.55	52950	6.48	96.5	8	194	12.09	-67.99	NaN
1	11/4/10 12:55	25.55	52880	6.47	96.3	7.99	195	12.07	-67.8	NaN
1	11/4/10 13:00	25.57	52930	6.38	95.1	7.99	197	12.09	-67.5	NaN
1	11/4/10 13:05	25.59	52920	6.31	94.1	7.99	198	12.09	-67.45	NaN
1	11/4/10 13:10	25.61	52850	6.34	94.5	7.99	199	12.06	-67.45	NaN
1	11/4/10 13:15	25.61	52960	6.33	94.4	7.99	200	12.07	-67.5	NaN
1	11/4/10 13:20	25.62	52930	6.37	95	7.99	201	12.07	-67.76	NaN
1	11/4/10 13:25	25.61	52910	6.4	95.5	7.99	202	12.06	-67.72	NaN
1	11/4/10 13:30	25.62	52750	6.42	95.6	7.99	202	12.06	-67.72	NaN
1	11/4/10 13:35	25.64	52830	6.4	95.4	7.99	203	12.07	-67.62	NaN
1	11/4/10 13:40	25.62	52910	6.33	94.5	7.99	203	12.06	-67.56	NaN
1	11/4/10 13:45	25.63	52870	6.35	94.6	7.99	204	12.04	-67.7	NaN
1	11/4/10 13:50	25.62	52880	6.38	95.2	7.99	204	12.04	-67.54	NaN
1	11/4/10 13:55	25.63	52840	6.4	95.4	7.99	204	12.04	-67.89	NaN
1	11/4/10 14:00	25.62	52870	6.41	95.6	7.99	205	12.06	-67.67	NaN
1	11/4/10 14:05	25.62	52800	6.35	94.6	7.99	205	12.06	-67.75	NaN
1	11/4/10 14:10	25.62	52890	6.41	95.6	7.99	205	12.06	-67.82	NaN
1	11/4/10 14:15	25.61	52890	6.39	95.3	7.99	205	12.02	-67.75	NaN
1	11/4/10 14:20	25.6	52860	6.39	95.3	7.99	205	12.04	-67.73	NaN
1	11/4/10 14:25	25.6	52840	6.36	94.9	7.99	206	12	-67.68	NaN
1	11/4/10 14:30	25.61	52830	6.38	95.2	7.99	206	12	-67.8	NaN
1	11/4/10 14:35	25.61	52740	6.41	95.6	7.99	206	12	-67.75	NaN
1	11/4/10 14:40	25.6	52860	6.39	95.2	7.99	206	12	-67.81	NaN
1	11/4/10 14:45	25.59	52950	6.36	94.8	7.99	206	12.04	-67.75	NaN
1	11/4/10 14:50	25.6	52910	6.39	95.2	8	206	11.99	-68.19	NaN
1	11/4/10 14:55	25.6	52890	6.42	95.8	8	207	12.02	-68.14	NaN
1	11/4/10 15:00	25.6	52930	6.42	95.8	8	207	12.02	-68.1	NaN
1	11/4/10 15:05	25.59	52790	6.42	95.7	8	207	12.02	-68	NaN
1	11/4/10 15:10	25.61	52870	0	0	8	207	11.97	-68.18	NaN
1	11/4/10 15:15	25.64	52800	6.44	96	8	207	11.99	-68.29	NaN
1	11/4/10 15:20	25.66	52900	6.45	96.2	8	207	11.99	-68.31	NaN
1	11/4/10 15:25	25.67	52860	6.46	96.5	8	207	12	-68.22	NaN
1	11/4/10 15:30	25.67	52810	6.45	96.2	8	208	11.97	-68.14	NaN
1	11/4/10 15:35	25.67	52900	6.48	96.8	8	208	11.97	-68.1	NaN
1	11/4/10 15:40	25.67	52820	6.47	96.5	8	208	12	-68.31	NaN
1	11/4/10 15:45	25.67	52800	6.46	96.5	8	208	11.99	-68.36	NaN
