SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	FLUOR
1	10/18/2013 10:00	28.45	53760	6.27	98.3	8.27	153	12.16	-72.96	NaN
1	10/18/2013 10:05	28.44	53840	6.23	97.8	8.27	148	12.12	-72.73	NaN
1	10/18/2013 10:10	28.46	53770	6.19	97.1	8.26	148	12.12	-72.43	NaN
1	10/18/2013 10:15	28.44	53840	6.24	97.8	8.26	147	12.14	-72.58	NaN
1	10/18/2013 10:20	28.45	53750	6.28	98.5	8.27	148	12.14	-72.74	NaN
1	10/18/2013 10:25	28.46	53790	6.23	97.6	8.26	145	12.14	-72.33	NaN
1	10/18/2013 10:30	28.48	53780	6.25	98	8.26	145	12.11	-72.31	NaN
1	10/18/2013 10:35	28.48	53830	6.29	98.7	8.26	145	12.11	-72.32	NaN
1	10/18/2013 10:40	28.46	53770	6.28	98.6	8.26	144	12.07	-72.38	NaN
1	10/18/2013 10:45	28.46	53770	6.28	98.5	8.26	143	12.11	-72.38	NaN
1	10/18/2013 10:50	28.47	53830	6.31	98.9	8.26	143	12.07	-72.41	NaN
1	10/18/2013 10:55	28.47	53830	6.3	98.9	8.26	141	12.07	-72.55	NaN
1	10/18/2013 11:00	28.48	53850	6.27	98.3	8.26	140	12.11	-72.25	NaN
1	10/18/2013 11:05	28.46	53860	6.28	98.5	8.26	139	12.09	-72.34	NaN
1	10/18/2013 11:10	28.46	53770	6.22	97.5	8.25	133	12.06	-71.8	NaN
1	10/18/2013 11:15	28.48	53900	6.19	97.2	8.25	129	12.07	-71.81	NaN
1	10/18/2013 11:20	28.48	53770	6.22	97.6	8.25	126	12.07	-71.77	NaN
1	10/18/2013 11:25	28.48	53780	6.21	97.4	8.25	124	12.04	-71.76	NaN
1	10/18/2013 11:30	28.48	53860	6.18	96.9	8.25	122	12	-71.72	NaN
1	10/18/2013 11:35	28.48	53820	6.15	96.5	8.25	121	12.06	-71.65	NaN
1	10/18/2013 11:40	28.47	53760	6.13	96.1	8.25	119	12.04	-71.64	NaN
1	10/18/2013 11:45	28.49	53750	6.15	96.5	8.25	118	12.02	-71.9	NaN
1	10/18/2013 11:50	28.48	53830	6.18	96.9	8.25	117	12.04	-71.84	NaN
