SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	FLUOR
1	11/12/10 10:30	24.67	54240	5.36	79.1	8.05	182	12.41	-68.11	NaN
1	11/12/10 10:35	24.66	54320	5.38	79.4	8.05	182	12.4	-68.02	NaN
1	11/12/10 10:40	24.66	54260	5.39	79.6	8.05	183	12.4	-67.98	NaN
1	11/12/10 10:45	24.65	54220	5.39	79.6	8.05	184	12.36	-67.95	NaN
1	11/12/10 10:50	24.65	54310	5.4	79.7	8.05	185	12.36	-67.93	NaN
1	11/12/10 10:55	24.66	54200	5.43	80.1	8.05	185	12.38	-67.9	NaN
1	11/12/10 11:00	24.67	54280	5.45	80.5	8.05	185	12.34	-67.91	NaN
1	11/12/10 11:05	24.68	54200	5.47	80.8	8.05	185	12.33	-67.83	NaN
1	11/12/10 11:10	24.6	54200	5.45	80.3	8.05	186	12.34	-67.77	NaN
1	11/12/10 11:15	24.44	54310	5.25	77.2	8.04	186	12.34	-67.42	NaN
1	11/12/10 11:20	24.47	54240	5.21	76.6	8.04	187	12.33	-67.48	NaN
1	11/12/10 11:25	24.56	54170	5.29	77.9	8.05	187	12.33	-67.72	NaN
1	11/12/10 11:30	24.6	54180	5.33	78.6	8.05	188	12.29	-67.78	NaN
1	11/12/10 11:35	24.61	54340	5.36	79	8.05	188	12.28	-67.72	NaN
1	11/12/10 11:40	24.64	54270	5.42	80	8.05	188	12.28	-67.84	NaN
1	11/12/10 11:45	24.65	54180	5.46	80.5	8.05	188	12.29	-67.78	NaN
1	11/12/10 11:50	24.62	54290	5.36	79.1	8.05	188	12.29	-67.61	NaN
1	11/12/10 11:55	24.61	54200	5.31	78.3	8.05	188	12.28	-67.57	NaN
1	11/12/10 12:00	24.61	54300	5.33	78.6	8.05	188	12.24	-67.53	NaN
1	11/12/10 12:05	24.62	54250	5.3	78.2	8.05	188	12.24	-67.67	NaN
1	11/12/10 12:10	24.59	54220	5.26	77.5	8.05	190	12.24	-67.71	NaN
1	11/12/10 12:15	24.59	54200	5.26	77.5	8.05	191	12.24	-67.76	NaN
1	11/12/10 12:20	24.59	54210	5.28	77.8	8.05	192	12.24	-67.81	NaN
1	11/12/10 12:25	24.57	54310	5.27	77.6	8.05	192	12.23	-67.73	NaN
1	11/12/10 12:30	24.57	54170	5.27	77.6	8.05	193	12.17	-67.79	NaN
1	11/12/10 12:35	24.56	54200	5.27	77.7	8.05	193	12.23	-67.65	NaN
