SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	FLUOR
1	11/20/10 11:05	25.09	51720	6.41	94.3	8.03	170	10.76	-69.79	NaN
1	11/20/10 11:10	25.11	51720	6.43	94.7	8.02	167	10.78	-69.39	NaN
1	11/20/10 11:15	25.14	51790	6.46	95.1	8	170	10.8	-68.45	NaN
1	11/20/10 11:20	25.16	51680	6.49	95.5	8	174	10.76	-68.51	NaN
1	11/20/10 11:25	25.14	51750	6.51	95.9	8	179	10.76	-68.29	NaN
1	11/20/10 11:30	25.14	51690	6.49	95.6	8	182	10.76	-68.1	NaN
1	11/20/10 11:35	25.14	51640	6.43	94.7	7.99	174	10.75	-67.64	NaN
1	11/20/10 11:40	25.16	51710	6.45	95	7.99	179	10.76	-67.7	NaN
1	11/20/10 11:45	25.17	51650	6.56	96.5	7.99	183	10.71	-67.99	NaN
1	11/20/10 11:50	25.16	51630	6.55	96.4	7.99	186	10.75	-67.82	NaN
1	11/20/10 11:55	25.18	51660	6.59	97.1	7.99	189	10.75	-67.96	NaN
1	11/20/10 12:00	25.18	51630	6.56	96.7	7.99	190	10.73	-67.79	NaN
1	11/20/10 12:05	25.18	51710	6.53	96.2	7.99	190	10.73	-67.7	NaN
1	11/20/10 12:10	25.18	51700	6.58	96.9	7.99	191	10.73	-67.72	NaN
1	11/20/10 12:15	25.19	51640	6.55	96.5	7.99	191	10.75	-67.76	NaN
1	11/20/10 12:20	25.19	51730	6.55	96.5	7.99	191	10.75	-67.72	NaN
1	11/20/10 12:25	25.2	51600	6.57	96.8	7.99	191	10.75	-67.71	NaN
1	11/20/10 12:30	25.19	51650	6.61	97.4	7.99	192	10.73	-67.59	NaN
1	11/20/10 12:35	25.22	51610	6.59	97.1	7.99	192	10.73	-67.65	NaN
1	11/20/10 12:40	25.2	51640	6.6	97.2	7.99	192	10.75	-67.71	NaN
1	11/20/10 12:45	25.2	51750	6.62	97.5	7.99	193	10.75	-67.65	NaN
1	11/20/10 12:50	25.19	51640	6.6	97.2	7.98	193	10.71	-67.49	NaN
1	11/20/10 12:55	25.2	51680	6.63	97.7	7.99	193	10.73	-67.68	NaN
1	11/20/10 13:00	25.21	51690	6.58	97	7.98	193	10.73	-67.39	NaN
