SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	FLUOR
1	10/30/2013 9:00	27.43	52250	6.4	98.1	8.11	174	10.9	-64.52	NaN
1	10/30/2013 9:05	27.51	53340	6.38	98.4	8.15	172	10.88	-66.49	NaN
1	10/30/2013 9:10	27.52	53450	6.23	96.1	8.15	170	10.88	-66.45	NaN
1	10/30/2013 9:15	27.52	53380	6.29	97	8.14	164	10.85	-65.92	NaN
1	10/30/2013 9:20	27.52	53290	6.23	96	8.14	162	10.83	-65.73	NaN
1	10/30/2013 9:25	27.53	53300	6.17	95.1	8.13	159	10.83	-65.41	NaN
1	10/30/2013 9:30	27.53	53320	6.14	94.7	8.13	156	10.82	-65.29	NaN
1	10/30/2013 9:35	27.54	53280	6.18	95.2	8.13	154	10.85	-65.36	NaN
1	10/30/2013 9:40	27.54	53350	6.17	95.2	8.13	151	10.82	-65.47	NaN
1	10/30/2013 9:45	27.55	53300	6.22	96	8.13	148	10.7	-65.57	NaN
1	10/30/2013 9:50	27.56	53370	6.24	96.2	8.13	146	10.83	-65.59	NaN
1	10/30/2013 9:55	27.57	53390	6.3	97.2	8.14	144	10.82	-65.74	NaN
1	10/30/2013 10:00	27.58	53390	6.35	98	8.14	142	10.83	-65.8	NaN
1	10/30/2013 10:05	27.57	53250	6.36	98.2	8.14	140	10.83	-65.82	NaN
1	10/30/2013 10:10	27.58	53370	6.38	98.4	8.14	138	10.8	-65.89	NaN
1	10/30/2013 10:15	27.57	53340	6.38	98.4	8.14	137	10.82	-65.86	NaN
1	10/30/2013 10:20	27.57	53380	6.37	98.3	8.14	135	10.82	-65.84	NaN
1	10/30/2013 10:25	27.57	53270	6.4	98.7	8.14	134	10.8	-65.86	NaN
1	10/30/2013 10:30	27.55	53380	6.45	99.5	8.14	133	10.76	-65.97	NaN
1	10/30/2013 10:35	27.57	53260	6.48	100	8.14	132	10.78	-65.98	NaN
1	10/30/2013 10:40	27.57	53360	6.47	99.8	8.14	131	10.8	-65.95	NaN
1	10/30/2013 10:45	27.57	53390	6.47	99.9	8.14	129	10.78	-65.95	NaN
1	10/30/2013 10:50	27.58	53350	6.46	99.7	8.14	129	10.78	-66.03	NaN
1	10/30/2013 10:55	27.59	53340	6.5	100.3	8.15	128	10.76	-66.14	NaN
1	10/30/2013 11:00	27.59	53270	6.48	100.1	8.14	127	10.76	-66.06	NaN
1	10/30/2013 11:05	27.58	53280	6.48	100	8.14	126	10.76	-66	NaN
1	10/30/2013 11:10	27.59	53440	6.47	100	8.14	125	10.78	-66.05	NaN
1	10/30/2013 11:15	27.61	53300	6.51	100.4	8.15	125	10.78	-66.25	NaN
1	10/30/2013 11:20	27.59	53320	6.53	100.8	8.15	125	10.73	-66.2	NaN
1	10/30/2013 11:25	27.6	53320	6.53	100.8	8.15	124	10.73	-66.25	NaN
1	10/30/2013 11:30	27.59	53280	6.52	100.7	8.14	124	10.73	-66.1	NaN
1	10/30/2013 11:35	27.6	53350	6.52	100.6	8.15	124	10.75	-66.21	NaN
1	10/30/2013 11:40	27.6	53310	6.55	101.1	8.15	123	10.76	-66.21	NaN
