SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	FLUOR
1	11/5/2013 9:30	28.75	54100	6.09	96.2	8.24	119	11.17	-68.2	NaN
1	11/5/2013 9:35	28.77	53970	6.11	96.4	8.24	117	11.16	-68.23	NaN
1	11/5/2013 9:40	28.77	54120	6.09	96	8.24	115	11.14	-68.15	NaN
1	11/5/2013 9:45	28.79	54080	6.11	96.5	8.24	113	11.16	-68.21	NaN
1	11/5/2013 9:50	28.79	54060	6.16	97.3	8.24	112	11.14	-68.16	NaN
1	11/5/2013 9:55	28.8	54060	6.17	97.4	8.24	110	11.12	-68.25	NaN
1	11/5/2013 10:00	28.79	54040	6.16	97.2	8.24	109	11.12	-68.28	NaN
1	11/5/2013 10:05	28.81	54110	6.14	97	8.25	108	11.17	-68.45	NaN
1	11/5/2013 10:10	28.79	54010	6.17	97.3	8.25	107	11.16	-68.57	NaN
1	11/5/2013 10:15	28.81	54040	6.2	97.8	8.25	107	11.1	-68.52	NaN
1	11/5/2013 10:20	28.79	54080	6.17	97.5	8.25	106	11.1	-68.55	NaN
1	11/5/2013 10:25	28.8	54080	6.15	97.1	8.25	105	11.07	-68.53	NaN
1	11/5/2013 10:30	28.8	53960	6.12	96.6	8.25	105	11.14	-68.53	NaN
1	11/5/2013 10:35	28.83	54030	6.15	97.1	8.25	104	11.09	-68.62	NaN
1	11/5/2013 10:40	28.8	54080	6.16	97.2	8.25	104	11.1	-68.64	NaN
1	11/5/2013 10:45	28.81	53990	6.18	97.6	8.25	103	11.09	-68.64	NaN
1	11/5/2013 10:50	28.81	54020	6.14	97	8.25	103	11.09	-68.74	NaN
1	11/5/2013 10:55	28.8	54090	6.14	97	8.25	103	11.07	-68.74	NaN
1	11/5/2013 11:00	28.79	54000	6.14	96.8	8.25	102	11.1	-68.71	NaN
1	11/5/2013 11:05	28.81	54020	6.16	97.2	8.26	102	11.09	-68.83	NaN
1	11/5/2013 11:10	28.81	54160	6.17	97.4	8.25	102	11.05	-68.77	NaN
1	11/5/2013 11:15	28.81	54030	6.16	97.3	8.26	101	11.09	-68.84	NaN
1	11/5/2013 11:20	28.82	54090	6.18	97.7	8.26	101	11.05	-68.83	NaN
1	11/5/2013 11:25	28.82	54030	6.2	97.9	8.26	101	11.07	-68.91	NaN
