SDN	out	tent2	LICOR	PAR
10/26/13 9:46	6200	462.9	32.3	426.16
10/26/13 9:47	333.7	559.7	430.6	401.9
10/26/13 9:48	1345.5	75.3	226	388.87
10/26/13 9:49	538.2	3961.1	592	140.44
10/26/13 9:50	645.8	2066.7	495.1	601.97
10/26/13 9:51	43.1	193.8	258.3	791.53
10/26/13 9:52	247.6	322.9	258.3	707.87
10/26/13 9:53	258.3	581.3	505.9	799.52
10/26/13 9:54	215.3	1367	86.1	780.81
10/26/13 9:55	2238.9	1894.5	1151.7	834.5
10/26/13 9:56	645.8	3788.9	1011.8	664.72
10/26/13 9:57	624.3	2755.6	19977.9	723.16
10/26/13 9:58	602.8	419.8	4994.5	839.07
10/26/13 9:59	387.5	527.4	9300.1	815.52
10/26/13 10:00	495.1	226	10677.8	901.64
10/26/13 10:01	3272.2	13089	6544.5	840.13
10/26/13 10:02	258.3	12400.1	7233.4	895.84
10/26/13 10:03	312.2	15844.5	6544.5	710.15
10/26/13 10:04	150.7	15155.7	11711.2	850.14
10/26/13 10:05	419.8	9644.5	8266.7	776.5
10/26/13 10:06	18600.1	15844.5	8611.2	958.59
10/26/13 10:07	570.5	5338.9	17911.2	1095.9
10/26/13 10:08	3616.7	13089	9644.5	900.85
10/26/13 10:09	12400.1	14466.8	11022.3	989.43
10/26/13 10:10	12400.1	12400.1	11022.3	991.4
10/26/13 10:11	13777.9	16533.4	13089	943.38
10/26/13 10:12	15844.5	5511.1	10677.8	920.71
10/26/13 10:13	22044.6	549	9644.5	1056.7
10/26/13 10:14	14466.8	5338.9	14466.8	809.89
10/26/13 10:15	19977.9	7233.4	10677.8	907.35
10/26/13 10:16	13777.9	2669.5	10333.4	757.61
10/26/13 10:17	16533.4	4133.4	13777.9	1052.3
10/26/13 10:18	17911.2	4822.3	11022.3	980.03
10/26/13 10:19	19289	3616.7	11711.2	975.63
10/26/13 10:20	18600.1	3272.2	13777.9	748.38
10/26/13 10:21	19289	4822.3	11711.2	746.36
10/26/13 10:22	15844.5	6200	11711.2	834.5
10/26/13 10:23	22044.6	4822.3	12400.1	1054.6
10/26/13 10:24	14466.8	6544.5	18600.1	775.62
10/26/13 10:25	21355.7	5166.7	14466.8	845.4
10/26/13 10:26	11022.3	8611.2	12400.1	782.92
10/26/13 10:27	19977.9	4477.8	9300.1	965.18
10/26/13 10:28	12400.1	6200	14466.8	793.11
10/26/13 10:29	13777.9	1367	15844.5	890.57
10/26/13 10:30	21355.7	1550	13089	714.72
10/26/13 10:31	17222.3	7577.8	16533.4	801.02
10/26/13 10:32	19977.9	5166.7	11022.3	906.56
10/26/13 10:33	14466.8	6200	12400.1	933.8
10/26/13 10:34	17911.2	7577.8	10333.4	961.13
10/26/13 10:35	23422.4	10677.8	10677.8	1036.2
10/26/13 10:36	22044.6	8611.2	14466.8	720.52
10/26/13 10:37	28933.5	6544.5	11022.3	910.08
10/26/13 10:38	16533.4	6544.5	17222.3	853.57
10/26/13 10:39	19977.9	10333.4	12400.1	1035.1
10/26/13 10:40	14466.8	8611.2	13777.9	956.39
10/26/13 10:41	13089	6200	12400.1	853.75
10/26/13 10:42	21355.7	7233.4	13089	903.57
10/26/13 10:43	15844.5	3616.7	17222.3	760.33
10/26/13 10:44	17222.3	9644.5	18600.1	959.11
10/26/13 10:45	11711.2	11022.3	16533.4	976.95
10/26/13 10:46	11022.3	13777.9	22044.6	952.79
10/26/13 10:47	20666.8	16533.4	19289	1049.5
10/26/13 10:48	13777.9	11022.3	12400.1	902.61
10/26/13 10:49	12400.1	12400.1	14466.8	896.37
10/26/13 10:50	15844.5	9300.1	17911.2	1016
10/26/13 10:51	15844.5	9644.5	9300.1	894.35
10/26/13 10:52	13777.9	7233.4	35822.5	893.38
10/26/13 10:53	11711.2	16533.4	15155.7	887.14
10/26/13 10:54	18600.1	8611.2	23422.4	902.61
10/26/13 10:55	15844.5	12400.1	20666.8	903.49
10/26/13 10:56	13089	8611.2	21355.7	931.34
10/26/13 10:57	22044.6	10677.8	22044.6	842.59
10/26/13 10:58	14466.8	12400.1	12400.1	726.23
10/26/13 10:59	22044.6	9644.5	22044.6	993.3
10/26/13 11:00	13089	10677.8	24800.2	1045.1
10/26/13 11:01	18600.1	10333.4	23422.4	927.92
10/26/13 11:02	16533.4	11711.2	20666.8	985.65
10/26/13 11:03	20666.8	11022.3	19977.9	965.62
10/26/13 11:04	19289	10333.4	20666.8	814.46
10/26/13 11:05	23422.4	10677.8	23422.4	940.22
10/26/13 11:06	18600.1	11022.3	20666.8	858.05
10/26/13 11:07	14466.8	7577.8	30311.3	1094
10/26/13 11:08	13089	9300.1	21355.7	1026.2
10/26/13 11:09	19289	10333.4	24800.2	962.72
10/26/13 11:10	9644.5	12400.1	18600.1	999.98
10/26/13 11:11	14466.8	11711.2	26178	1014.4
10/26/13 11:12	19289	9644.5	16533.4	1167.6
10/26/13 11:13	12400.1	13089	20666.8	948.74
10/26/13 11:14	12400.1	8266.7	18600.1	1282.2
10/26/13 11:15	17222.3	13777.9	12400.1	1053
10/26/13 11:16	24800.2	9644.5	19289	959.11
10/26/13 11:17	20666.8	7577.8	19289	1106.9
10/26/13 11:18	14466.8	15844.5	28933.5	1175.9
10/26/13 11:19	13777.9	11711.2	23422.4	970.63
10/26/13 11:20	17911.2	9300.1	24800.2	963.86
10/26/13 11:21	16533.4	13777.9	26178	1032.9
10/26/13 11:22	21355.7	10677.8	21355.7	985.48
