SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	FLUOR
1	10/26/2013 10:00	28.31	54090	6.48	101.5	8.23	148	12.31	-70.81	NaN
1	10/26/2013 10:05	28.31	53960	6.38	100	8.23	146	12.31	-70.98	NaN
1	10/26/2013 10:10	28.33	53930	6.42	100.6	8.23	141	12.33	-70.86	NaN
1	10/26/2013 10:15	28.33	53960	6.43	100.6	8.23	137	12.29	-70.86	NaN
1	10/26/2013 10:20	28.32	53950	6.45	101	8.23	133	12.31	-70.93	NaN
1	10/26/2013 10:25	28.31	53910	6.35	99.4	8.24	129	12.31	-71.11	NaN
1	10/26/2013 10:30	28.31	53940	6.34	99.3	8.23	125	12.29	-70.6	NaN
1	10/26/2013 10:35	28.34	53970	6.33	99.2	8.22	121	12.26	-70.37	NaN
1	10/26/2013 10:40	28.34	53940	6.3	98.7	8.22	118	12.26	-70.22	NaN
1	10/26/2013 10:45	28.34	54040	6.32	99.1	8.22	115	12.28	-70.46	NaN
1	10/26/2013 10:50	28.34	53940	6.4	100.3	8.22	114	12.28	-70.53	NaN
1	10/26/2013 10:55	28.37	53910	6.47	101.4	8.23	113	12.23	-70.65	NaN
1	10/26/2013 11:00	28.36	53980	6.45	101	8.23	112	12.26	-70.61	NaN
1	10/26/2013 11:05	28.36	53950	6.45	101	8.23	111	12.21	-70.71	NaN
1	10/26/2013 11:10	28.36	53920	6.48	101.5	8.23	110	12.24	-70.64	NaN
1	10/26/2013 11:15	28.36	54030	6.43	100.8	8.23	110	12.21	-70.63	NaN
1	10/26/2013 11:20	28.37	53980	6.45	101.1	8.22	109	12.23	-70.59	NaN
1	10/26/2013 11:25	28.38	53960	6.46	101.3	8.22	108	12.19	-70.57	NaN
1	10/26/2013 11:30	28.36	53920	6.45	101	8.22	107	12.17	-70.56	NaN
1	10/26/2013 11:35	28.37	53890	6.47	101.4	8.23	107	12.19	-70.84	NaN
1	10/26/2013 11:40	28.37	53920	6.48	101.5	8.23	106	12.17	-70.6	NaN
1	10/26/2013 11:45	28.37	53950	6.5	101.8	8.22	106	12.19	-70.55	NaN
1	10/26/2013 11:50	28.37	54030	6.43	100.7	8.22	105	12.17	-70.51	NaN
1	10/26/2013 11:55	28.37	54010	6.4	100.3	8.22	103	12.16	-70.37	NaN
1	10/26/2013 12:00	28.37	54030	6.4	100.4	8.22	103	12.14	-70.38	NaN
1	10/26/2013 12:05	28.38	53930	6.42	100.6	8.22	103	12.16	-70.41	NaN
1	10/26/2013 12:10	28.37	53960	6.45	101.1	8.23	103	12.12	-70.61	NaN
1	10/26/2013 12:15	28.37	53970	6.47	101.3	8.22	103	12.12	-70.53	NaN
1	10/26/2013 12:20	28.37	53940	6.44	101	8.22	103	12.12	-70.59	NaN
1	10/26/2013 12:25	28.37	53970	6.48	101.5	8.23	103	12.11	-70.79	NaN
1	10/26/2013 12:30	28.37	53900	6.46	101.2	8.22	103	12.14	-70.58	NaN
1	10/26/2013 12:35	28.36	53950	6.46	101.1	8.22	103	12.12	-70.56	NaN
1	10/26/2013 12:40	28.36	53930	6.44	100.9	8.23	102	12.11	-70.6	NaN
1	10/26/2013 12:45	28.36	54070	6.46	101.3	8.22	102	12.09	-70.53	NaN
1	10/26/2013 12:50	28.38	53950	6.49	101.7	8.23	102	12.07	-70.83	NaN
1	10/26/2013 12:55	28.39	54020	6.46	101.3	8.23	102	12.11	-70.63	NaN
1	10/26/2013 13:00	28.39	53910	6.49	101.7	8.22	102	12.09	-70.53	NaN
1	10/26/2013 13:05	28.4	53940	6.49	101.7	8.22	102	12.09	-70.52	NaN
1	10/26/2013 13:10	28.42	53890	6.47	101.4	8.22	103	12.07	-70.45	NaN
1	10/26/2013 13:15	28.42	53940	6.43	100.8	8.22	103	12.06	-70.53	NaN
1	10/26/2013 13:20	28.42	53930	6.44	101	8.22	102	12.06	-70.5	NaN
1	10/26/2013 13:25	28.43	53870	6.43	100.9	8.22	103	12.02	-70.55	NaN
1	10/26/2013 13:30	28.43	53950	6.45	101.1	8.22	102	12.07	-70.53	NaN
1	10/26/2013 13:35	28.43	53990	6.49	101.8	8.22	103	12.02	-70.48	NaN
1	10/26/2013 13:40	28.42	54050	6.46	101.3	8.22	102	12.04	-70.32	NaN
1	10/26/2013 13:45	28.41	53950	6.42	100.6	8.22	102	12.04	-70.35	NaN
1	10/26/2013 13:50	28.41	53970	6.45	101.2	8.22	102	12	-70.54	NaN
1	10/26/2013 13:55	28.4	53880	6.45	101	8.22	102	12.04	-70.54	NaN
1	10/26/2013 14:00	28.38	53910	6.39	100.1	8.22	102	12	-70.28	NaN
1	10/26/2013 14:05	28.37	53980	6.37	99.8	8.22	102	12	-70.2	NaN
1	10/26/2013 14:10	28.36	54000	6.38	100	8.22	102	11.99	-70.44	NaN
1	10/26/2013 14:15	28.36	53890	6.39	100	8.22	102	11.99	-70.26	NaN
1	10/26/2013 14:20	28.37	53960	6.43	100.8	8.22	102	11.99	-70.26	NaN
1	10/26/2013 14:25	28.36	53950	6.43	100.8	8.22	102	12	-70.23	NaN
