SENS_ID	SDN	PAR	StdDev
1	11/8/10 11:00	735.34	NaN
1	11/8/10 11:05	736.92	NaN
1	11/8/10 11:10	555.74	NaN
1	11/8/10 11:15	393.84	NaN
1	11/8/10 11:20	390.82	NaN
1	11/8/10 11:25	437.16	NaN
1	11/8/10 11:30	663.28	NaN
1	11/8/10 11:35	492.35	NaN
1	11/8/10 11:40	274.43	NaN
1	11/8/10 11:45	229.34	NaN
1	11/8/10 11:50	122.82	NaN
1	11/8/10 11:55	180.3	NaN
1	11/8/10 12:00	277.37	NaN
1	11/8/10 12:05	403.2	NaN
1	11/8/10 12:10	415.62	NaN
1	11/8/10 12:15	364.84	NaN
1	11/8/10 12:20	381.73	NaN
1	11/8/10 12:25	475.24	NaN
1	11/8/10 12:30	490.33	NaN
1	11/8/10 12:35	545.45	NaN
1	11/8/10 12:40	564.89	NaN
1	11/8/10 12:45	779.21	NaN
1	11/8/10 12:50	699.06	NaN
1	11/8/10 12:55	655.44	NaN
1	11/8/10 13:00	688.87	NaN
1	11/8/10 13:05	604.22	NaN
1	11/8/10 13:10	468.12	NaN
1	11/8/10 13:15	371.56	NaN
1	11/8/10 13:20	386.44	NaN
1	11/8/10 13:25	548.23	NaN
1	11/8/10 13:30	440.34	NaN
1	11/8/10 13:35	453.78	NaN
1	11/8/10 13:40	448.64	NaN
1	11/8/10 13:45	392.22	NaN
1	11/8/10 13:50	261.47	NaN
1	11/8/10 13:55	146.46	NaN
1	11/8/10 14:00	164.61	NaN
1	11/8/10 14:05	194.56	NaN
1	11/8/10 14:10	219.98	NaN
1	11/8/10 14:15	234.44	NaN
1	11/8/10 14:20	239.13	NaN
1	11/8/10 14:25	303.68	NaN
1	11/8/10 14:30	275.22	NaN
1	11/8/10 14:35	234.95	NaN
1	11/8/10 14:40	224.98	NaN
1	11/8/10 14:45	218.49	NaN
1	11/8/10 14:50	161.89	NaN
1	11/8/10 14:55	150.61	NaN
1	11/8/10 15:00	154.47	NaN
1	11/8/10 15:05	141.39	NaN
1	11/8/10 15:10	209.14	NaN
1	11/8/10 15:15	213.44	NaN
1	11/8/10 15:20	247.47	NaN
1	11/8/10 15:25	220.08	NaN
1	11/8/10 15:30	183.44	NaN
1	11/8/10 15:35	100.75	NaN
1	11/8/10 15:40	95.342	NaN
1	11/8/10 15:45	75.272	NaN
1	11/8/10 15:50	76.451	NaN
1	11/8/10 15:55	134.15	NaN
1	11/8/10 16:00	99.135	NaN
1	11/8/10 16:05	118.2	NaN
1	11/8/10 16:10	139.79	NaN
1	11/8/10 16:15	137.52	NaN
1	11/8/10 16:20	140	NaN
1	11/8/10 16:25	106.31	NaN
1	11/8/10 16:30	118.52	NaN
1	11/8/10 16:35	98.558	NaN
1	11/8/10 16:40	92.825	NaN
1	11/8/10 16:45	103.76	NaN
1	11/8/10 16:50	100.92	NaN
1	11/8/10 16:55	88.375	NaN
1	11/8/10 17:00	79.464	NaN
1	11/8/10 17:05	84.469	NaN
1	11/8/10 17:10	84.329	NaN
1	11/8/10 17:15	66.472	NaN
1	11/8/10 17:20	52.059	NaN
1	11/8/10 17:25	43.744	NaN
1	11/8/10 17:30	36.629	NaN
1	11/8/10 17:35	48.272	NaN
1	11/8/10 17:40	59.585	NaN
1	11/8/10 17:45	52.583	NaN
1	11/8/10 17:50	43.139	NaN
1	11/8/10 17:55	34.946	NaN
1	11/8/10 18:00	28.915	NaN
1	11/8/10 18:05	22.364	NaN
1	11/8/10 18:10	16.104	NaN
1	11/8/10 18:15	9.641	NaN
1	11/8/10 18:20	5.7269	NaN
1	11/8/10 18:25	3.2463	NaN
1	11/8/10 18:30	1.6047	NaN
1	11/8/10 18:35	0.65312	NaN
1	11/8/10 18:40	0.19615	NaN
1	11/8/10 18:45	0.046752	NaN
1	11/8/10 18:50	0.0084364	NaN
1	11/8/10 18:55	0.00070303	NaN
1	11/8/10 19:00	0.0035152	NaN
1	11/8/10 19:05	0.0035152	NaN
1	11/8/10 19:10	0.0035152	NaN
1	11/8/10 19:15	0.0038667	NaN
1	11/8/10 19:20	0.0038667	NaN
1	11/8/10 19:25	0.0035152	NaN
1	11/8/10 19:30	0.0042182	NaN
1	11/8/10 19:35	0.0038667	NaN
1	11/8/10 19:40	0.0038667	NaN
1	11/8/10 19:45	0.0035152	NaN
1	11/8/10 19:50	0.0035152	NaN
1	11/8/10 19:55	0.0035152	NaN
1	11/8/10 20:00	0.0038667	NaN
1	11/8/10 20:05	0.0042182	NaN
1	11/8/10 20:10	0.0042182	NaN
1	11/8/10 20:15	0.0042182	NaN
1	11/8/10 20:20	0.0038667	NaN
1	11/8/10 20:25	0.0038667	NaN
1	11/8/10 20:30	0.0042182	NaN
1	11/8/10 20:35	0.0042182	NaN
1	11/8/10 20:40	0.0042182	NaN
1	11/8/10 20:45	0.0042182	NaN
1	11/8/10 20:50	0.0038667	NaN
1	11/8/10 20:55	0.0035152	NaN
1	11/8/10 21:00	0.0042182	NaN
1	11/8/10 21:05	0.0049212	NaN
1	11/8/10 21:10	0.0038667	NaN
1	11/8/10 21:15	0.0035152	NaN
1	11/8/10 21:20	0.0042182	NaN
1	11/8/10 21:25	0.0038667	NaN
1	11/8/10 21:30	0.0042182	NaN
1	11/8/10 21:35	0.0049212	NaN
1	11/8/10 21:40	0.0045697	NaN
1	11/8/10 21:45	0.0045697	NaN
1	11/8/10 21:50	0.0045697	NaN
1	11/8/10 21:55	0.0049212	NaN
1	11/8/10 22:00	0.0038667	NaN
1	11/8/10 22:05	0.0038667	NaN
1	11/8/10 22:10	0.0038667	NaN
1	11/8/10 22:15	0.0038667	NaN
1	11/8/10 22:20	0.0035152	NaN
1	11/8/10 22:25	0.0042182	NaN
1	11/8/10 22:30	0.0035152	NaN
1	11/8/10 22:35	0.0035152	NaN
1	11/8/10 22:40	0.0042182	NaN
1	11/8/10 22:45	0.0035152	NaN
1	11/8/10 22:50	0.0042182	NaN
1	11/8/10 22:55	0.0035152	NaN
1	11/8/10 23:00	0.0035152	NaN
1	11/8/10 23:05	0.0035152	NaN
1	11/8/10 23:10	0.0038667	NaN
1	11/8/10 23:15	0.0035152	NaN
1	11/8/10 23:20	0.0035152	NaN
1	11/8/10 23:25	0.0035152	NaN
