SENS_ID	SDN	TC	COND	O2	O2satper	pHinsitu	ORP	Vbatt	VpH	FLUOR
1	11/8/10 10:45	26.07	52280	6.55	98.2	8.07	252	11.92	-69.51	NaN
1	11/8/10 10:50	26.07	52300	6.55	98.2	8.06	251	11.95	-69.19	NaN
1	11/8/10 10:55	26.08	52210	6.59	98.8	8.06	250	11.9	-69.19	NaN
1	11/8/10 11:00	26.08	52230	6.58	98.6	8.05	249	11.94	-68.6	NaN
1	11/8/10 11:05	26.1	52220	6.56	98.3	8.05	248	11.92	-68.59	NaN
1	11/8/10 11:10	26.09	52290	6.57	98.5	8.05	246	11.89	-68.53	NaN
1	11/8/10 11:15	26.1	52270	6.55	98.1	8.05	245	11.9	-68.41	NaN
1	11/8/10 11:20	26.1	52310	6.56	98.5	8.05	245	11.89	-68.35	NaN
1	11/8/10 11:25	26.1	52280	6.56	98.4	8.05	245	11.89	-68.45	NaN
1	11/8/10 11:30	26.1	52280	6.57	98.5	8.05	244	11.87	-68.41	NaN
1	11/8/10 11:35	26.1	52260	6.58	98.7	8.05	244	11.83	-68.44	NaN
1	11/8/10 11:40	26.09	52260	6.58	98.7	8.05	244	11.87	-68.48	NaN
1	11/8/10 11:45	26.08	52270	6.53	97.9	8.05	244	11.85	-68.49	NaN
1	11/8/10 11:50	26.08	52330	6.47	97.1	8.05	244	11.83	-68.3	NaN
1	11/8/10 11:55	26.08	52280	6.44	96.5	8.05	244	11.83	-68.32	NaN
1	11/8/10 12:00	26.08	52290	6.44	96.6	8.05	244	11.82	-68.36	NaN
1	11/8/10 12:05	26.08	52220	6.48	97.1	8.05	244	11.83	-68.44	NaN
1	11/8/10 12:10	26.08	52300	6.52	97.7	8.05	244	11.82	-68.56	NaN
1	11/8/10 12:15	26.09	52230	6.53	97.9	8.05	244	11.83	-68.58	NaN
1	11/8/10 12:20	26.09	52270	6.54	98	8.05	243	11.83	-68.58	NaN
1	11/8/10 12:25	26.09	52300	6.54	98.1	8.05	243	11.83	-68.63	NaN
1	11/8/10 12:30	26.09	52350	6.55	98.3	8.05	243	11.82	-68.62	NaN
1	11/8/10 12:35	26.1	52260	6.59	98.8	8.06	243	11.8	-68.81	NaN
1	11/8/10 12:40	26.1	52240	6.62	99.2	8.06	243	11.83	-68.86	NaN
1	11/8/10 12:45	26.11	52240	6.61	99.1	8.06	243	11.82	-68.91	NaN
1	11/8/10 12:50	26.12	52300	6.66	99.8	8.06	242	11.82	-69.03	NaN
1	11/8/10 12:55	26.12	52310	6.67	100.1	8.06	243	11.78	-69.1	NaN
1	11/8/10 13:00	26.12	52420	6.69	100.5	8.06	242	11.8	-69.16	NaN
1	11/8/10 13:05	26.13	52260	6.72	100.9	8.06	242	11.8	-69.16	NaN
1	11/8/10 13:10	26.12	52260	6.69	100.4	8.06	242	11.82	-69.15	NaN
1	11/8/10 13:15	26.12	52260	6.67	100	8.06	242	11.8	-69.04	NaN
1	11/8/10 13:20	26.12	52250	6.64	99.6	8.06	243	11.78	-69.02	NaN
1	11/8/10 13:25	26.12	52300	0	0	8.06	243	11.8	-69.08	NaN
1	11/8/10 13:30	26.12	52270	6.69	100.4	8.06	243	11.77	-69.1	NaN
1	11/8/10 13:35	26.12	52230	6.69	100.3	8.06	243	11.8	-69.13	NaN
1	11/8/10 13:40	26.12	52310	6.68	100.2	8.06	243	11.77	-69.1	NaN
1	11/8/10 13:45	26.12	52270	6.67	100	8.06	243	11.75	-69.02	NaN
1	11/8/10 13:50	26.12	52270	6.65	99.8	8.06	243	11.78	-68.98	NaN
1	11/8/10 13:55	26.12	52200	6.63	99.5	8.06	243	11.73	-68.86	NaN
1	11/8/10 14:00	26.12	52230	6.62	99.2	8.06	243	11.78	-68.9	NaN
1	11/8/10 14:05	26.13	52300	6.63	99.4	8.06	243	11.77	-69	NaN
1	11/8/10 14:10	26.13	52280	6.61	99.2	8.06	244	11.75	-68.83	NaN
1	11/8/10 14:15	26.13	52240	6.59	98.8	8.06	243	11.75	-68.8	NaN
1	11/8/10 14:20	26.14	52270	6.64	99.6	8.06	243	11.75	-68.82	NaN
1	11/8/10 14:25	26.14	52140	6.63	99.5	8.06	243	11.75	-68.8	NaN
1	11/8/10 14:30	26.14	52280	6.63	99.5	8.06	243	11.75	-68.84	NaN
1	11/8/10 14:35	26.14	52320	6.63	99.5	8.06	243	11.73	-68.81	NaN
1	11/8/10 14:40	26.15	52210	6.63	99.5	8.06	243	11.75	-68.74	NaN
1	11/8/10 14:45	26.14	52200	6.6	99	8.06	243	11.75	-68.8	NaN
1	11/8/10 14:50	26.15	52260	6.64	99.7	8.06	243	11.73	-68.91	NaN
1	11/8/10 14:55	26.16	52260	6.63	99.5	8.06	243	11.73	-69.05	NaN
1	11/8/10 15:00	26.17	52320	6.67	100.2	8.06	243	11.75	-69.12	NaN
1	11/8/10 15:05	26.19	52230	6.68	100.4	8.06	243	11.73	-69.14	NaN
1	11/8/10 15:10	26.21	52280	6.68	100.3	8.06	243	11.72	-69.09	NaN
1	11/8/10 15:15	26.21	52220	6.63	99.6	8.06	243	11.7	-68.81	NaN
1	11/8/10 15:20	26.21	52300	6.6	99.2	8.06	243	11.7	-68.79	NaN
1	11/8/10 15:25	26.22	52240	6.65	99.9	8.06	243	11.72	-68.93	NaN
1	11/8/10 15:30	26.22	52280	6.67	100.2	8.06	244	11.7	-68.99	NaN
1	11/8/10 15:35	26.22	52250	6.63	99.6	8.06	244	11.7	-68.89	NaN
1	11/8/10 15:40	26.23	52160	6.59	99	8.06	244	11.72	-68.75	NaN
1	11/8/10 15:45	26.23	52170	6.56	98.5	8.05	244	11.68	-68.71	NaN
1	11/8/10 15:50	26.22	52270	6.54	98.3	8.05	244	11.66	-68.61	NaN
1	11/8/10 15:55	26.23	52220	6.54	98.2	8.05	244	11.7	-68.61	NaN
1	11/8/10 16:00	26.23	52260	6.56	98.6	8.05	244	11.68	-68.7	NaN
1	11/8/10 16:05	26.23	52240	6.59	99	8.06	244	11.66	-68.82	NaN
1	11/8/10 16:10	26.24	52170	6.61	99.2	8.06	244	11.68	-68.82	NaN
1	11/8/10 16:15	26.24	52210	6.57	98.7	8.06	243	11.68	-68.81	NaN
1	11/8/10 16:20	26.24	52300	6.6	99.2	8.06	243	11.7	-68.97	NaN
1	11/8/10 16:25	26.25	52260	6.59	99	8.06	244	11.66	-68.9	NaN
1	11/8/10 16:30	26.25	52240	6.53	98.2	8.06	243	11.65	-68.74	NaN
1	11/8/10 16:35	26.24	52220	6.54	98.3	8.06	243	11.66	-68.84	NaN
1	11/8/10 16:40	26.24	52210	6.48	97.4	8.05	243	11.66	-68.68	NaN
1	11/8/10 16:45	26.24	52170	6.45	96.9	8.05	243	11.65	-68.65	NaN
1	11/8/10 16:50	26.24	52190	6.45	96.8	8.05	243	11.63	-68.67	NaN
1	11/8/10 16:55	26.24	52230	6.42	96.5	8.06	243	11.63	-68.73	NaN
1	11/8/10 17:00	26.24	52230	6.41	96.4	8.05	243	11.66	-68.7	NaN
1	11/8/10 17:05	26.24	52310	6.42	96.5	8.06	243	11.65	-68.74	NaN
1	11/8/10 17:10	26.24	52280	6.4	96.2	8.06	243	11.6	-68.73	NaN
1	11/8/10 17:15	26.24	52200	6.36	95.6	8.05	243	11.61	-68.56	NaN
1	11/8/10 17:20	26.24	52250	6.34	95.3	8.05	243	11.61	-68.5	NaN
1	11/8/10 17:25	26.24	52170	6.33	95	8.05	243	11.65	-68.51	NaN
1	11/8/10 17:30	26.24	52270	6.34	95.2	8.05	244	11.61	-68.45	NaN
1	11/8/10 17:35	26.24	52180	6.36	95.6	8.06	244	11.65	-68.73	NaN
1	11/8/10 17:40	26.24	52190	6.35	95.5	8.06	244	11.65	-68.82	NaN
1	11/8/10 17:45	26.24	52170	6.37	95.7	8.05	244	11.61	-68.69	NaN
1	11/8/10 17:50	26.23	52310	6.37	95.7	8.05	244	11.61	-68.57	NaN
1	11/8/10 17:55	26.23	52280	6.35	95.4	8.05	244	11.6	-68.35	NaN
1	11/8/10 18:00	26.23	52280	6.33	95.2	8.05	244	11.6	-68.34	NaN
1	11/8/10 18:05	26.23	52240	6.29	94.5	8.05	244	11.6	-68.16	NaN
1	11/8/10 18:10	26.23	52220	6.33	95.1	8.05	244	11.6	-68.2	NaN
1	11/8/10 18:15	26.23	52190	6.3	94.7	8.05	244	11.6	-68.16	NaN
1	11/8/10 18:20	26.22	52260	6.25	93.9	8.04	244	11.6	-68.01	NaN
1	11/8/10 18:25	26.22	52210	6.25	93.8	8.04	244	11.61	-68.01	NaN
1	11/8/10 18:30	26.22	52270	6.21	93.2	8.04	244	11.61	-67.99	NaN
1	11/8/10 18:35	26.22	52240	6.21	93.3	8.04	244	11.61	-68.08	NaN
1	11/8/10 18:40	26.22	52160	6.19	92.9	8.04	243	11.56	-67.97	NaN
1	11/8/10 18:45	26.22	52170	6.17	92.7	8.04	243	11.61	-67.87	NaN
1	11/8/10 18:50	26.22	52330	6.14	92.3	8.04	243	11.61	-67.79	NaN
1	11/8/10 18:55	26.22	52220	6.16	92.6	8.04	243	11.58	-67.78	NaN
1	11/8/10 19:00	26.22	52260	6.17	92.7	8.04	243	11.6	-67.85	NaN
1	11/8/10 19:05	26.22	52230	6.17	92.7	8.04	243	11.56	-67.78	NaN
1	11/8/10 19:10	26.22	52200	6.15	92.3	8.04	243	11.6	-67.74	NaN
1	11/8/10 19:15	26.22	52280	6.14	92.3	8.04	243	11.55	-67.64	NaN
1	11/8/10 19:20	26.22	52240	6.13	92.1	8.04	243	11.58	-67.69	NaN
1	11/8/10 19:25	26.21	52260	6.12	92	8.04	243	11.55	-67.62	NaN
1	11/8/10 19:30	26.21	52240	6.13	92.1	8.04	243	11.56	-67.69	NaN
1	11/8/10 19:35	26.21	52180	6.11	91.8	8.04	243	11.6	-67.57	NaN
1	11/8/10 19:40	26.21	52310	6.05	90.9	8.03	243	11.55	-67.48	NaN
1	11/8/10 19:45	26.21	52260	6.07	91.1	8.03	243	11.56	-67.53	NaN
1	11/8/10 19:50	26.21	52190	6.08	91.3	8.04	242	11.55	-67.71	NaN
1	11/8/10 19:55	26.22	52250	6.1	91.7	8.04	242	11.55	-67.84	NaN
1	11/8/10 20:00	26.22	52210	6.09	91.5	8.04	242	11.56	-67.73	NaN
1	11/8/10 20:05	26.22	52210	6.09	91.5	8.04	242	11.53	-67.86	NaN
1	11/8/10 20:10	26.22	52150	6.14	92.2	8.04	243	11.56	-67.9	NaN
1	11/8/10 20:15	26.21	52240	6.12	92	8.04	242	11.55	-67.79	NaN
1	11/8/10 20:20	26.21	52240	6.11	91.8	8.04	242	11.53	-67.66	NaN
1	11/8/10 20:25	26.21	52230	6.04	90.7	8.03	242	11.53	-67.49	NaN
1	11/8/10 20:30	26.21	52250	6.06	91	8.04	242	11.56	-67.58	NaN
1	11/8/10 20:35	26.21	52140	6.07	91.2	8.04	242	11.53	-67.54	NaN
1	11/8/10 20:40	26.21	52210	6.12	91.9	8.04	243	11.53	-67.67	NaN
1	11/8/10 20:45	26.21	52240	6.17	92.6	8.04	243	11.51	-67.77	NaN
1	11/8/10 20:50	26.21	52240	6.14	92.2	8.04	243	11.51	-67.71	NaN
1	11/8/10 20:55	26.21	52210	6.13	92	8.04	243	11.55	-67.69	NaN
1	11/8/10 21:00	26.21	52220	6.1	91.6	8.04	243	11.49	-67.55	NaN
1	11/8/10 21:05	26.21	52280	6.09	91.5	8.03	243	11.49	-67.49	NaN
1	11/8/10 21:10	26.21	52210	6.09	91.4	8.04	243	11.51	-67.58	NaN
1	11/8/10 21:15	26.21	52170	6.14	92.2	8.04	243	11.55	-67.67	NaN
1	11/8/10 21:20	26.21	52240	6.09	91.5	8.04	244	11.51	-67.57	NaN
1	11/8/10 21:25	26.21	52290	6.06	91.1	8.03	244	11.49	-67.45	NaN
1	11/8/10 21:30	26.21	52180	6.02	90.4	8.03	243	11.49	-67.3	NaN
1	11/8/10 21:35	26.2	52250	5.99	89.9	8.03	243	11.48	-67.28	NaN
1	11/8/10 21:40	26.2	52230	6.06	91	8.03	243	11.49	-67.41	NaN
1	11/8/10 21:45	26.2	52250	6.05	90.8	8.03	244	11.51	-67.38	NaN
1	11/8/10 21:50	26.2	52150	6.02	90.4	8.03	244	11.49	-67.31	NaN
1	11/8/10 21:55	26.2	52210	5.97	89.6	8.03	243	11.51	-67.18	NaN
1	11/8/10 22:00	26.2	52220	5.91	88.8	8.03	243	11.48	-67.03	NaN
1	11/8/10 22:05	26.2	52220	5.93	89	8.03	243	11.49	-67.07	NaN
1	11/8/10 22:10	26.19	52360	5.87	88.2	8.03	243	11.46	-66.94	NaN
1	11/8/10 22:15	26.19	52170	5.86	87.9	8.02	243	11.49	-66.82	NaN
